ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
911002,陈年普洱,位,RMB,28.00,135.0,"3,780.00"
911005,清香铁观音,位,RMB,28.00,40.0,"1,120.00"
901012,新西兰梅乐红,支,RMB,600.00,2.0,"1,200.00"
901013,澳洲奔富407,支,RMB,980.00,5.0,"4,900.00"
901016,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00
901017,杰卡斯梅洛干红,支,RMB,480.00,2.0,960.00
902003,大号轩尼诗XO,支,RMB,"2,380.00",1.0,"2,380.00"
903001,1990年梅鹿液53度,支,RMB,980.00,1.0,980.00
903004,高度茅台53度,支,RMB,"1,980.00",4.0,"7,920.00"
904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,1.0,480.00
909001,青岛,支,RMB,26.00,20.0,520.00
909002,喜力,支,RMB,28.00,10.0,280.00
910001,野生花旗参蜜枣茶,位,RMB,28.00,128.0,"3,584.00"
910002,博士养生茶,位,RMB,28.00,559.0,"15,652.00"
910003,红枣枸杞雪菊茶,位,RMB,28.00,209.0,"5,852.00"
910004,西藏甘草雪茶,位,RMB,28.00,125.0,"3,500.00"
910005,藏红花润肺茶,位,RMB,38.00,29.0,"1,102.00"
910006,冰冻清润茶,位,RMB,18.00,23.0,414.00
910009,日本芽茶,位,RMB,28.00,38.0,"1,064.00"
910010,博士养生茶(赠送）,位,RMB,0.00,"1,895.0",0.00
910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,110.0,"1,980.00"
910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,39.0,702.00
910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,48.0,864.00
910014,藏红花润肺茶（午市散台）,位,RMB,18.00,32.0,576.00
910015,日本芽茶（午市散台）,位,RMB,18.00,39.0,702.00
910016,博士养生茶(增加）,位,RMB,0.00,723.0,0.00
912001,纸巾,包,RMB,8.00,58.0,464.00
912002,扑克,副,RMB,10.00,8.0,80.00
912005,保温瓶,个,RMB,50.00,1.0,50.00
913001,软黑芙蓉王,包,RMB,88.00,14.0,"1,232.00"
913002,软云烟,包,RMB,138.00,2.0,276.00
913003,软中华,包,RMB,128.00,16.0,"2,048.00"
914001,鲜榨苹果汁,杯,RMB,20.00,1.0,20.00
914002,鲜榨哈蜜瓜汁,杯,RMB,20.00,1.0,20.00
914002,鲜榨哈蜜瓜汁,渣,RMB,98.00,1.0,98.00
914003,鲜榨甘笋汁,杯,RMB,20.00,2.0,40.00
914004,鲜榨西瓜汁,杯,RMB,20.00,1.0,20.00
914004,鲜榨西瓜汁,渣,RMB,98.00,13.0,"1,274.00"
914005,鲜榨红提子汁,杯,RMB,30.00,2.0,60.00
914006,鲜榨木瓜汁,杯,RMB,20.00,1.0,20.00
914006,鲜榨木瓜汁,渣,RMB,98.00,3.0,294.00
914010,水果（送）,位,RMB,0.00,"2,269.0",0.00
914011,水果,位,RMB,28.00,1.0,28.00
914012,餐前水果（送）,位,RMB,0.00,78.0,0.00
914014,鲜榨火龙果汁,杯,RMB,20.00,1.0,20.00
914014,鲜榨火龙果汁,渣,RMB,128.00,4.0,512.00
914015,鲜榨新奇士橙汁,杯,RMB,20.00,9.0,180.00
914015,鲜榨新奇士橙汁,渣,RMB,118.00,32.0,"3,776.00"
914016,杏仁汁,杯,RMB,35.00,1.0,35.00
914016,杏仁汁,渣,RMB,138.00,17.0,"2,346.00"
914019,柠檬,个,RMB,10.00,14.0,140.00
915002,苏打水,罐,RMB,13.00,24.0,312.00
915003,雪碧,罐,RMB,13.00,4.0,52.00
915004,可乐,罐,RMB,13.00,5.0,65.00
915005,大芙丝水,支,RMB,68.00,3.0,204.00
915007,小芙丝水,支,RMB,30.00,32.0,960.00
915008,意大利大普娜水（750ml）,支,RMB,38.00,65.0,"2,470.00"
915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,9.0,225.00
915010,意大利圣培露（橙汁）,瓶,RMB,25.00,2.0,50.00
918001,印象大红袍,盒,RMB,346.00,1.0,346.00
1001001,普通茶（散）,位,RMB,10.00,"1,081.0","10,810.00"
1001002,普通茶（厅）,位,RMB,12.00,876.0,"10,512.00"
1002004,自带茶叶,位,RMB,15.00,122.0,"1,830.00"
