ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401003,铁板低温和牛肉配味黄瓜,位,RMB,98.00,92.0,"9,016.00"
401003,铁板低温和牛肉配味黄瓜,位,RMB,118.00,372.0,"43,896.00"
401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,37.0,"6,216.00"
401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,10.0,880.00
402001,黑竹盐极品牛肉,位,RMB,280.00,188.0,"52,640.00"
402002,本草汤灼极品牛肉,位,RMB,280.00,3.0,840.00
402003,日本黑竹盐烧和牛膜,位,RMB,338.00,2.0,676.00
402006,五谷南瓜盅,位,RMB,48.00,280.0,"13,440.00"
402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,36.0,"10,080.00"
402017,红烧羊肚菌,位,RMB,128.00,2.0,256.00
402018,野米煮淮山,位,RMB,48.00,5.0,240.00
402028,黑松露吞拿鱼腩,位,RMB,128.00,18.0,"2,304.00"
402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,18.0,"1,224.00"
402047,鱼籽酱焖野生刺参,位,RMB,128.00,2.0,256.00
402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,35.0,"2,730.00"
402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,62.0,"5,456.00"
402053,夏日鲜茄局鲜莲,位,RMB,68.00,2.0,136.00
402055,香煎淮山炒带子,例,RMB,160.00,3.0,480.00
402057,什菌汁煮日本帆立贝,位,RMB,78.00,39.0,"3,042.00"
402067,日本翡翠黄金冻鲍,只,RMB,128.00,10.0,"1,280.00"
402069,五谷飞弹牛肉盏,位,RMB,128.00,12.0,"1,536.00"
402070,脆皮鲜虾荠菜卷,位,RMB,58.00,1.0,58.00
402071,金瓜五谷烩龙趸皮,位,RMB,138.00,4.0,552.00
402072,香煎飞弹和牛,位,RMB,480.00,5.0,"2,400.00"
402073,香煎匈牙利鹅肝,位,RMB,168.00,1.0,168.00
402074,香煎5A鹿儿岛和牛,位,RMB,280.00,1.0,280.00
402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,60.0,"10,140.00"
