ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401001,火山石窝龙趸扒,位,RMB,98.00,81.0,"7,938.00"
401002,法式香草煎龙虾扒,位,RMB,168.00,4.0,672.00
401007,美国燕麦局大连鲍,位,RMB,88.00,39.0,"3,432.00"
401008,脆烧星斑扒,位,RMB,138.00,104.0,"14,352.00"
401014,低温白雪龙虾仔,位,RMB,128.00,4.0,512.00
401017,咸柠檬灼鲜鲍,位,RMB,108.00,29.0,"3,132.00"
401018,金柚手撕龙虾,位,RMB,138.00,121.0,"16,698.00"
401018,金柚手撕龙虾,位,RMB,168.00,11.0,"1,848.00"
401019,火山石烧星斑头腩,位,RMB,128.00,23.0,"2,944.00"
401019,火山石烧星斑头腩,位,RMB,168.00,6.0,"1,008.00"
401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,46.0,"2,484.00"
401029,脆烧星斑扒（半价）,位,RMB,69.00,83.0,"5,727.00"
501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,7.0,"1,176.00"
1201033,法式龙虾扒（2月套餐）,位,RMB,119.59,23.0,"2,750.43"
1201040,泡椒石板野生龙趸（2月套餐）,例,RMB,158.98,5.0,794.90
1201113,二十年陈皮蒸龙趸球（3月套餐）,位,RMB,38.83,26.0,"1,009.48"
301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,111.0,"19,980.00"
606001,娃娃鱼,斤,RMB,980.00,4.2,"4,116.00"
601002,老鼠斑,斤,RMB,698.00,7.2,"5,025.60"
601003,东星斑,斤,RMB,698.00,4.8,"3,350.40"
601007,老虎斑,斤,RMB,238.00,4.7,"1,118.60"
601016,东星斑（半价）,斤,RMB,349.00,28.6,"9,981.40"
601016,东星斑（半价）,斤,RMB,398.00,3.9,"1,552.20"
601017,老鼠斑（半价）,斤,RMB,349.00,9.0,"3,141.00"
601017,老鼠斑（半价）,斤,RMB,398.00,4.5,"1,791.00"
601019,蓝东星斑（半价）,斤,RMB,149.00,73.6,"10,966.40"
601019,蓝东星斑（半价）,斤,RMB,188.00,1.5,282.00
601020,老虎斑（半价）,斤,RMB,119.00,25.7,"3,058.30"
601020,老虎斑（半价）,斤,RMB,138.00,1.5,207.00
601022,蓝东星,斤,RMB,298.00,16.5,"4,917.00"
601025,珍珠龙趸（特价）,斤,RMB,68.00,24.7,"1,679.60"
602003,龙虾仔,斤,RMB,598.00,2.5,"1,495.00"
602006,斑马虾,斤,RMB,397.00,0.6,238.20
602006,斑马虾,斤,RMB,398.00,1.2,477.60
602006,斑马虾,斤,RMB,498.00,13.2,"6,573.60"
602008,大虾皇,斤,RMB,450.00,3.4,"1,530.00"
602011,花龙虾（半价）,斤,RMB,398.00,4.1,"1,631.80"
602011,花龙虾（半价）,斤,RMB,438.00,19.3,"8,453.40"
602012,龙虾仔（半价）,斤,RMB,299.00,19.8,"5,920.20"
602013,波士顿龙虾（半价）,斤,RMB,149.00,3.6,536.40
602015,大虾皇（半价）,斤,RMB,225.00,5.9,"1,327.50"
602016,斑马虾(半价）,斤,RMB,298.00,10.8,"3,218.40"
603001,象拔蚌,斤,RMB,438.00,7.4,"3,241.20"
603001,象拔蚌,斤,RMB,598.00,15.0,"8,970.00"
603004,南非野生鲍,斤,RMB,600.00,12.4,"7,440.00"
603010,南非野生鲍（半价）,斤,RMB,398.00,20.1,"7,999.80"
603012,象拔蚌（半价）,斤,RMB,299.00,59.2,"17,700.80"
603012,象拔蚌（半价）,斤,RMB,368.00,9.8,"3,606.40"
699001,XO酱爆龙趸螺,斤,RMB,148.00,1.0,148.00
401015,泡椒私房焖龙趸,例,RMB,168.00,14.0,"2,352.00"
401015,泡椒私房焖龙趸,中,RMB,336.00,1.0,336.00
605002,开刀东星头腩,斤,RMB,538.00,7.0,"3,766.00"
605003,开刀苏眉咀,斤,RMB,880.00,0.5,440.00
605003,开刀苏眉咀,斤,RMB,"1,180.00",1.0,"1,180.00"
605006,开刀龙趸,斤,RMB,198.00,22.9,"4,534.20"
605007,开刀黄皮老虎斑,斤,RMB,536.00,1.2,643.20
605010,开刀东星头腩（半价）,斤,RMB,269.00,4.0,"1,076.00"
605010,开刀东星头腩（半价）,斤,RMB,298.00,0.6,178.80
605010,开刀东星头腩（半价）,斤,RMB,328.00,1.5,492.00
605011,开刀苏眉肉（半价）,斤,RMB,540.00,8.2,"4,428.00"
605011,开刀苏眉肉（半价）,斤,RMB,598.00,6.6,"3,946.80"
605012,开刀苏眉头腩（半价）,斤,RMB,540.00,13.6,"7,344.00"
605013,开刀苏眉咀（半价）,斤,RMB,590.00,4.5,"2,655.00"
605014,开刀龙趸(半价）,斤,RMB,99.00,72.9,"7,217.10"
605015,开刀黄皮老虎斑(半价）,斤,RMB,268.00,15.5,"4,154.00"
