ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,19.0,"1,672.00"
0102002,洋葱小木耳,份,RMB,28.00,143.0,"4,004.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,25.0,"2,200.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,45.0,"3,960.00"
0102006,虫草花素鲍卷,份,RMB,48.00,41.0,"1,968.00"
0102007,麻酱万年青,份,RMB,38.00,184.0,"6,992.00"
0102008,三文鱼,客,RMB,88.00,1.0,88.00
0102011,香醋花生配五香黑豆,份,RMB,28.00,54.0,"1,512.00"
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,1.0,48.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,20.0,"1,760.00"
0102016,桂花蜜拌五彩鲜花,份,RMB,48.00,18.0,864.00
0102023,三文鱼腩,件,RMB,25.00,4.0,100.00
0102028,拍青瓜,份,RMB,28.00,24.0,672.00
0102029,炸花生,份,RMB,28.00,25.0,700.00
0102031,炸腰果,例,RMB,28.00,35.0,980.00
0102036,开胃泡椒鸭舌,份,RMB,58.00,79.0,"4,582.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,36.0,"2,808.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,28.0,"2,184.00"
0102049,烟薰素鹅卷,份,RMB,48.00,25.0,"1,200.00"
0102051,水晶鸭舌,份,RMB,58.00,17.0,986.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,77.42,218.0,"16,898.46"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,27.05,53.0,"1,433.65"
1201175,风味凉菜三小碟(8月套餐),份,RMB,49.99,7.0,349.93
1201185,馆藏本草凉菜(8月套餐),位,RMB,19.56,68.0,"1,329.79"
