ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,42.0,"1,596.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,62.0,"2,356.00"
0801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,60.0,"1,140.00"
0802001,人参灌汤包,半打,RMB,48.00,124.0,"5,952.00"
0802003,黄耳野菌饺,件,RMB,10.00,177.0,"1,770.00"
0802004,青芥石蚝卷,件,RMB,10.00,57.0,570.00
0802005,松茸莲藕酥,件,RMB,12.00,235.0,"2,820.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,3.0,90.00
0802012,松皮菜肉包,件,RMB,10.00,164.0,"1,640.00"
0802013,洛神花果冻,件,RMB,10.00,5.0,50.00
0802015,寿桃（小）,只,RMB,8.00,24.0,192.00
0802036,栗子冻饼,位,RMB,16.00,5.0,80.00
0802037,核桃芭菲,位,RMB,20.00,7.0,140.00
0802038,朱古力心太软,位,RMB,20.00,36.0,720.00
0802039,巧克力黑白配慕斯,位,RMB,18.00,1.0,18.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,5.0,100.00
0802042,意大利提拉米苏,位,RMB,20.00,51.0,"1,020.00"
0802043,欧式芝士蛋糕,位,RMB,26.00,12.0,312.00
0802044,美式芝士饼,位,RMB,22.00,2.0,44.00
0802046,法式焦糖炖蛋,位,RMB,16.00,31.0,496.00
0802047,传统姜撞奶,位,RMB,16.00,33.0,528.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,2.0,136.00
0802052,黑芝麻雪芭,位,RMB,28.00,32.0,896.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,4.0,192.00
0802061,松茸莲藕酥（半价）,件,RMB,6.00,185.0,"1,110.00"
0802064,玫瑰花柠檬果冻,位,RMB,18.00,12.0,216.00
0803001,西藏甘草雪莲子,位,RMB,20.00,2.0,40.00
0803003,杨枝甘露,位,RMB,20.00,14.0,280.00
0806005,焦糖蜂巢糕（中）（半价）,份,RMB,9.00,379.0,"3,411.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,189.0,"4,914.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,78.0,"1,404.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,52.0,"1,560.00"
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,70.0,"1,820.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,100.0,"1,300.00"
0806013,法式蛋挞（中）(半价),份,RMB,9.00,395.0,"3,555.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,58.0,"1,044.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,63.0,"1,134.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,128.0,"2,816.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,56.0,"1,008.00"
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,90.0,"2,340.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,124.0,"2,728.00"
0806020,香草酱皇蒸凤爪（大）(半价）,份,RMB,11.00,3.0,33.00
0806021,健康麻薯包（中）,份,RMB,18.00,54.0,972.00
0807001,黑松露素粉果（特）(半价),份,RMB,13.00,548.0,"7,124.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,121.0,"3,630.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,103.0,"2,266.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,403.0,"10,478.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,109.0,"2,834.00"
0808004,脆皮野菌肠（大）(半价),份,RMB,11.00,410.0,"4,510.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,77.0,"1,001.00"
0808013,名酱红米肠（小）,份,RMB,13.00,82.0,"1,066.00"
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,32.0,416.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,54.0,972.00
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,76.0,"1,368.00"
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,44.0,968.00
0809007,洛神花果冻（中）,份,RMB,18.00,16.0,288.00
0899001,法式蛋挞,份,RMB,18.00,3.0,54.00
0899001,焦糖蜂巢糕,件,RMB,6.00,15.0,90.00
0899001,灵芝金瓜糕,位,RMB,4.00,1.0,4.00
0899001,绿茶蛋糕,位,RMB,5.00,1.0,5.00
0899001,美式芝士饼,位,RMB,5.00,1.0,5.00
0899001,提拉米苏,位,RMB,6.50,1.0,6.50
0899001,无花果炖雪莲子,位,RMB,38.00,2.0,76.00
0899001,杏仁芭菲,位,RMB,4.50,1.0,4.50
1201105,意大利提拉米苏（套餐）,位,RMB,21.51,178.0,"3,828.19"
1201139,雪山菜肉包（套餐）,份,RMB,10.41,53.0,551.73
1201184,美点双拼（8月套餐）,份,RMB,51.88,7.0,363.16
1201192,樱花虾葱油稻庭冷面（8月套餐）,位,RMB,24.89,68.0,"1,692.46"
1201193,松茸莲藕酥（8月套餐）,位,RMB,7.11,68.0,483.54
0801007,龙虾汤稻庭面,位,RMB,38.00,848.0,"32,224.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,100.0,"2,600.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,27.79,218.0,"6,066.18"
