ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,497.0,"68,586.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,2.0,336.00
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,31.0,"2,728.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,130.0,"36,400.00"
0402002,本草汤灼极品牛肉,位,RMB,198.00,1.0,198.00
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,3.0,"1,014.00"
0402006,五谷南瓜盅,位,RMB,48.00,163.0,"7,824.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,50.0,"14,000.00"
0402028,黑松露吞拿鱼腩,位,RMB,128.00,29.0,"3,712.00"
0402034,冻鹅肝,位,RMB,88.00,3.0,264.00
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,5.0,340.00
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,5.0,640.00
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,43.0,"3,354.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,37.0,"3,256.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,54.0,"3,672.00"
0402055,香煎淮山炒带子,例,RMB,160.00,8.0,"1,280.00"
0402066,珍菌煎西班牙火腿片,位,RMB,98.00,5.0,490.00
0402071,金瓜五谷烩龙趸皮,位,RMB,138.00,11.0,"1,518.00"
0402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,5.0,845.00
0402083,西班牙火腿片,位,RMB,88.00,2.0,176.00
0402085,夜香花银杏自磨豆腐,位,RMB,28.00,7.0,196.00
0402086,夜香花浸日本元贝北海道蟹钳,位,RMB,88.00,13.0,"1,144.00"
0402087,牛油果忌廉局节虾,位,RMB,48.00,3.0,144.00
0402089,温泉蛋脆皮雪花牛肉(半价）,位,RMB,140.00,60.0,"8,400.00"
