ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801002,日本鱼沼米饭,位,RMB,10.00,471.0,"4,710.00"
0912003,日本芥辣,支,RMB,20.00,3.0,60.00
0912004,樱花豉油,支,RMB,48.00,2.0,96.00
0801003,五彩杂粮饭,位,RMB,15.00,114.0,"1,710.00"
0803011,鲜无花果炖雪莲子,位,RMB,38.00,5.0,190.00
0206013,干烧鸡纵菌,例,RMB,180.00,3.0,540.00
0101002,蒜子辣酱油,碟,RMB,10.00,21.0,210.00
0101002,蒜子辣酱油,瓶,RMB,40.00,6.0,240.00
0101002,蒜子辣酱油,碗,RMB,15.00,12.0,180.00
0101007,日本樱花虾酱,碟,RMB,20.00,9.0,180.00
0101008,泰椒豉油,碗,RMB,10.00,4.0,40.00
0101011,瑶柱好味酱,碟,RMB,20.00,2.0,40.00
0101012,徐博馆香葱酱,碟,RMB,10.00,2.0,20.00
0101015,四宝小食（大厅）,份,RMB,30.00,23.0,690.00
0101019,VIP房四宝小食,份,RMB,40.00,323.0,"12,920.00"
0199001, 凉拌青瓜丝,份,RMB,28.00,1.0,28.00
0199001, 凉菜三拼（万年青、炸腰果、素鲍卷）,位,RMB,38.00,15.0,570.00
0199001, 西芹百合炒腰果,大,RMB,264.00,1.0,264.00
0199001,白粥,例,RMB,40.00,1.0,40.00
0199001,白灼露笋,例,RMB,78.00,1.0,78.00
0199001,鲍汁捞稻庭面,位,RMB,38.00,3.0,114.00
0199001,菜心粒炒饭,例,RMB,58.00,2.0,116.00
0199001,菜心粒滚粥,例,RMB,48.00,1.0,48.00
0199001,菜心粒肉碎鱼沼米泡饭,位,RMB,28.00,1.0,28.00
0199001,菜心粒粥,大,RMB,120.00,1.0,120.00
0199001,蛋炒饭,例,RMB,58.00,1.0,58.00
0199001,豆豉炒凉瓜,例,RMB,68.00,7.0,476.00
0199001,鹅肝粒炒饭,例,RMB,58.00,4.0,232.00
0199001,鹅肝粒炒饭,例,RMB,68.00,2.0,136.00
0199001,番茄炒蛋,例,RMB,68.00,2.0,136.00
0199001,番茄炒鸡蛋,例,RMB,68.00,1.0,68.00
0199001,番茄鸡蛋汤,位,RMB,48.00,1.0,48.00
0199001,干烧珍菌,例,RMB,98.00,1.0,98.00
0199001,荷塘炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,鸡蛋炒饭,例,RMB,68.00,1.0,68.00
0199001,京葱炒鸡蛋,例,RMB,68.00,1.0,68.00
0199001,凉拌番茄,份,RMB,38.00,1.0,38.00
0199001,凉瓜炒蛋,例,RMB,68.00,1.0,68.00
0199001,露笋百合炒木耳,位,RMB,48.00,1.0,48.00
0199001,露笋百合炒土猪肉,位,RMB,48.00,17.0,816.00
0199001,露笋炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,卤水鹅片,例,RMB,128.00,1.0,128.00
0199001,卤水鹅片,中,RMB,256.00,1.0,256.00
0199001,焖花腩,例,RMB,78.00,1.0,78.00
0199001,南乳炒连藕片,中,RMB,156.00,2.0,312.00
0199001,牛肉粒炒饭,例,RMB,68.00,1.0,68.00
0199001,荞麦野米,位,RMB,20.00,7.0,140.00
0199001,青椒圈,碗,RMB,10.00,1.0,10.00
0199001,青椒圈豉油,碗,RMB,10.00,1.0,10.00
0199001,青椒泰椒拍蒜芫茜梗炒牛肉片,件,RMB,128.00,1.0,128.00
0199001,清炒露笋,例,RMB,78.00,1.0,78.00
0199001,清炒藕片,例,RMB,68.00,1.0,68.00
0199001,清炒胜瓜,例,RMB,58.00,1.0,58.00
0199001,清炒丝瓜,例,RMB,68.00,1.0,68.00
0199001,清炒酸菜,例,RMB,68.00,2.0,136.00
0199001,清炒鲜莲子,例,RMB,78.00,1.0,78.00
0199001,清炒鲜莲子,位,RMB,38.00,1.0,38.00
0199001,清炖百岁草汤,位,RMB,48.00,5.0,240.00
0199001,清炖雪莲子,位,RMB,20.00,5.0,100.00
0199001,清炖羊肚菌汤,位,RMB,128.00,1.0,128.00
0199001,泉水汤稻庭面,位,RMB,38.00,1.0,38.00
0199001,生上青瓜片,例,RMB,68.00,1.0,68.00
0199001,生上丝瓜,例,RMB,68.00,1.0,68.00
0199001,四宝酱,份,RMB,15.00,1.0,15.00
0199001,四宝小食,份,RMB,15.00,12.0,180.00
0199001,酸菜,碟,RMB,5.00,1.0,5.00
0199001,蒜茸炒凉瓜,例,RMB,68.00,1.0,68.00
0199001,西芹百合炒土猪肉,中,RMB,136.00,1.0,136.00
0199001,西芹百合与象拔蚌齐炒,例,RMB,78.00,1.0,78.00
0199001,西芹木耳百合炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,鲜露笋百合炒土猪肉,例,RMB,88.00,2.0,176.00
0199001,鲜无花果炖官燕,位,RMB,388.00,1.0,388.00
0199001,鲜无花果炖雪莲子,位,RMB,38.00,31.0,"1,178.00"
0199001,咸猪骨煲淋春菜,例,RMB,68.00,1.0,68.00
0199001,咸猪骨煲淋大芥菜,例,RMB,68.00,3.0,204.00
0199001,咸猪骨煲淋奶白菜仔,例,RMB,68.00,4.0,272.00
0199001,香芹露笋木耳炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,香芹木耳炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,香芹丝木耳炒土猪肉,例,RMB,68.00,1.0,68.00
0199001,小木耳,份,RMB,28.00,1.0,28.00
0199001,小木耳,例,RMB,28.00,1.0,28.00
0199001,羊肚菌炖瘦肉,位,RMB,128.00,4.0,512.00
0199001,洋葱丝,份,RMB,28.00,1.0,28.00
0199001,樱花虾炒白菜苗,位,RMB,48.00,2.0,96.00
0199001,元茜拌洋葱,份,RMB,28.00,1.0,28.00
0199001,榨菜炒肉丝,例,RMB,68.00,1.0,68.00
0199001,沾酱京葱,份,RMB,48.00,1.0,48.00
