ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,32.0,"4,736.00"
0301001,玛卡绅士强身汤,位,RMB,268.00,22.0,"5,896.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,299.0,"41,262.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,149.0,"33,972.00"
0301006,猴枣炖野山龟,位,RMB,198.00,21.0,"4,158.00"
0301007,海胆刺芹汤,位,RMB,68.00,66.0,"4,488.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,149.0,"39,932.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,13.0,"3,874.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,17.0,"8,806.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,110.0,"14,080.00"
0301032,凉瓜青茉莉花炖活辽参,位,RMB,128.00,126.0,"16,128.00"
0301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,113.0,"12,882.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,31.0,"5,828.00"
0301038,陈皮莲子炖水鸭,例,RMB,228.00,1.0,228.00
0301039,昆布炖花胶,位,RMB,68.00,106.0,"7,208.00"
0301039,昆布炖花胶,位,RMB,88.00,30.0,"2,640.00"
0301039,昆布炖花胶,位,RMB,128.00,4.0,512.00
0301040,菊花桑叶炖海皇,例,RMB,228.00,4.0,912.00
0301046,鲜竹笙竹笙蛋汤,位,RMB,88.00,19.0,"1,672.00"
