ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,609.0,"84,042.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,22.0,"3,696.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,31.0,"2,728.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,112.0,"31,360.00"
0402006,五谷南瓜盅,位,RMB,48.00,194.0,"9,312.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,50.0,"14,000.00"
0402017,红烧羊肚菌,位,RMB,128.00,1.0,128.00
0402018,野米煮淮山,位,RMB,48.00,10.0,480.00
0402028,黑松露吞拿鱼腩,位,RMB,128.00,10.0,"1,280.00"
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,20.0,"2,560.00"
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,56.0,"4,368.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,35.0,"3,080.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,5.0,340.00
0402055,香煎淮山炒带子,例,RMB,160.00,7.0,"1,120.00"
0402066,珍菌煎西班牙火腿片,位,RMB,98.00,24.0,"2,352.00"
0402071,金瓜烩龙趸皮,位,RMB,138.00,5.0,690.00
0402083,西班牙火腿片,位,RMB,88.00,10.0,880.00
0402090,鲜茄汤烩红毛蟹肉,位,RMB,88.00,4.0,352.00
