ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,148.0,"14,504.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,7.0,"1,176.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,23.0,"2,024.00"
0401008,脆烧星斑扒,位,RMB,138.00,92.0,"12,696.00"
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,33.0,"3,564.00"
0401018,金柚手撕龙虾,位,RMB,138.00,251.0,"34,638.00"
0401018,金柚手撕龙虾,位,RMB,168.00,3.0,504.00
0401019,火山石烧星斑头腩,位,RMB,128.00,14.0,"1,792.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,7.0,"1,176.00"
1201033,法式龙虾扒（2月套餐）,位,RMB,107.13,34.0,"3,642.42"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,92.0,"16,560.00"
0606002,娃娃鱼（特惠价）,斤,RMB,368.00,10.6,"3,900.80"
0606002,娃娃鱼（特惠价）,斤,RMB,380.00,0.6,228.00
0601002,老鼠斑,斤,RMB,428.00,1.1,470.80
0601002,老鼠斑,斤,RMB,498.00,1.2,597.60
0601003,东星斑,斤,RMB,328.00,12.7,"4,165.60"
0601003,东星斑,斤,RMB,368.00,9.2,"3,385.60"
0601003,东星斑,斤,RMB,438.00,1.8,788.40
0601003,东星斑,斤,RMB,498.00,10.8,"5,378.40"
0601003,东星斑,斤,RMB,538.00,6.3,"3,389.40"
0601003,东星斑,斤,RMB,598.00,1.5,897.00
0601004,红玫瑰,斤,RMB,438.00,25.6,"11,212.80"
0601004,红玫瑰,斤,RMB,468.00,20.3,"9,500.40"
0601004,红玫瑰,斤,RMB,498.00,3.6,"1,792.80"
0601007,老虎斑,斤,RMB,168.00,7.1,"1,192.80"
0601022,蓝东星,斤,RMB,188.00,23.0,"4,324.00"
0601023,黄丁,斤,RMB,198.00,29.5,"5,841.00"
0601025,珍珠龙趸,斤,RMB,98.00,6.5,637.00
0601033,红斑,斤,RMB,328.00,20.4,"6,691.20"
0601034,金钱斑,斤,RMB,298.00,2.6,774.80
0602001,花龙虾,斤,RMB,598.00,14.4,"8,611.20"
0602003,龙虾仔,斤,RMB,398.00,15.9,"6,328.20"
0602004,波士顿龙虾,斤,RMB,228.00,5.3,"1,208.40"
0602005,富贵虾,斤,RMB,338.00,3.3,"1,115.40"
0602005,富贵虾,斤,RMB,398.00,1.3,517.40
0602006,斑马虾,斤,RMB,328.00,22.9,"7,511.20"
0602008,大虾皇,斤,RMB,248.00,4.25,"1,054.00"
0602010,大红节虾,斤,RMB,198.00,33.5,"6,633.00"
0602018,蓝龙虾,斤,RMB,298.00,4.4,"1,311.20"
0603001,象拔蚌,斤,RMB,438.00,35.0,"15,330.00"
0603004,南非野生鲍,斤,RMB,368.00,23.15,"8,519.20"
0603004,南非野生鲍,斤,RMB,398.00,7.9,"3,144.20"
0603006,圣子皇,斤,RMB,188.00,6.0,"1,128.00"
0603016,加拿大生蚝,只,RMB,48.00,15.0,720.00
0604005,大红蟹,斤,RMB,268.00,2.3,616.40
0401015,泡椒私房焖龙趸,例,RMB,168.00,8.0,"1,344.00"
0605002,开刀东星头腩,斤,RMB,298.00,8.0,"2,384.00"
0605003,开刀苏眉咀,斤,RMB,738.00,7.3,"5,387.40"
0605004,开刀苏眉肉,斤,RMB,680.00,7.8,"5,304.00"
0605004,开刀苏眉肉,斤,RMB,698.00,7.0,"4,886.00"
0605005,开刀苏眉头腩,斤,RMB,680.00,10.2,"6,936.00"
0605005,开刀苏眉头腩,斤,RMB,698.00,6.5,"4,537.00"
0605006,开刀龙趸,斤,RMB,138.00,76.6,"10,570.80"
0605006,开刀龙趸,斤,RMB,198.00,1.5,297.00
0605008,开刀龙趸皇,斤,RMB,198.00,15.2,"3,009.60"
0605017,开刀龙趸翅,斤,RMB,238.00,8.7,"2,070.60"
1201004,百岁草炖珍珠鲍鱼（11月套餐）,位,RMB,125.40,188.0,"23,576.01"
