ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
911002,陈年普洱,位,RMB,28.00,98.0,"2,744.00"
911005,清香铁观音,位,RMB,28.00,44.0,"1,232.00"
901008,拉图副牌2003年,支,RMB,"3,800.00",1.0,"3,800.00"
901012,新西兰梅乐红,支,RMB,600.00,1.0,600.00
901015,杰卡斯珍藏西拉,支,RMB,360.00,1.0,360.00
901016,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00
902001,大马爹利XO,支,RMB,"2,380.00",1.0,"2,380.00"
903006,高度五粮液52度,支,RMB,"1,780.00",1.0,"1,780.00"
908001,绍兴10年花雕,支,RMB,398.00,4.0,"1,592.00"
909001,青岛,支,RMB,25.00,15.0,375.00
909002,喜力,支,RMB,28.00,7.0,196.00
910001,野生花旗参蜜枣茶,位,RMB,28.00,114.0,"3,192.00"
910002,博士养生茶,位,RMB,28.00,550.0,"15,400.00"
910003,红枣枸杞雪菊茶,位,RMB,28.00,206.0,"5,768.00"
910004,西藏甘草雪茶,位,RMB,28.00,69.0,"1,932.00"
910005,藏红花润肺茶,位,RMB,38.00,65.0,"2,470.00"
910006,冰冻清润茶,位,RMB,18.00,9.0,162.00
910009,日本芽茶,位,RMB,28.00,22.0,616.00
910010,博士养生茶(赠送）,位,RMB,0.00,"1,800.0",0.00
910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,75.0,"1,350.00"
910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,43.0,774.00
910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,52.0,936.00
910014,藏红花润肺茶（午市散台）,位,RMB,18.00,36.0,648.00
910015,日本芽茶（午市散台）,位,RMB,18.00,19.0,342.00
910016,博士养生茶(增加）,位,RMB,0.00,427.0,0.00
912001,纸巾,包,RMB,8.00,53.0,424.00
912002,扑克,副,RMB,10.00,3.0,30.00
912006,话梅,碟,RMB,10.00,3.0,30.00
913001,软黑芙蓉王,包,RMB,88.00,8.0,704.00
913002,软云烟,包,RMB,138.00,3.0,414.00
913003,软中华,包,RMB,128.00,8.0,"1,024.00"
914001,鲜榨苹果汁,杯,RMB,30.00,1.0,30.00
914004,鲜榨西瓜汁,杯,RMB,30.00,3.0,90.00
914005,鲜榨红提子汁,杯,RMB,35.00,1.0,35.00
914005,鲜榨红提子汁,渣,RMB,118.00,1.0,118.00
914006,鲜榨木瓜汁,渣,RMB,98.00,3.0,294.00
914010,水果（送）,位,RMB,0.00,"2,764.0",0.00
914012,餐前水果（水果）,位,RMB,0.00,139.0,0.00
914014,鲜榨火龙果汁,渣,RMB,128.00,1.0,128.00
914015,鲜榨橙汁,杯,RMB,35.00,9.0,315.00
914015,鲜榨橙汁,渣,RMB,118.00,4.0,472.00
914016,杏仁汁,杯,RMB,35.00,3.0,105.00
914016,杏仁汁,渣,RMB,138.00,19.0,"2,622.00"
914019,柠檬,个,RMB,10.00,10.0,100.00
915002,苏打水,罐,RMB,15.00,22.0,330.00
915003,雪碧,罐,RMB,15.00,2.0,30.00
915004,可乐,罐,RMB,15.00,9.0,135.00
915007,小芙丝水,支,RMB,30.00,26.0,780.00
915008,意大利大普娜水（750ml）,支,RMB,38.00,14.0,532.00
915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,3.0,75.00
915010,意大利圣培露（橙汁）,瓶,RMB,25.00,6.0,150.00
917001,大卫杜夫,支,RMB,280.00,1.0,280.00
1001001,普通茶（散）,位,RMB,10.00,749.0,"7,490.00"
1001002,普通茶（厅）,位,RMB,12.00,590.0,"7,080.00"
1002004,自带茶叶,位,RMB,15.00,107.0,"1,605.00"
