ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,14.0,532.00
801005,樱花虾葱油稻庭冷面,位,RMB,38.00,19.0,722.00
802001,人参灌汤包,半打,RMB,48.00,53.0,"2,544.00"
802002,咖啡芋茸包,半打,RMB,36.00,14.0,504.00
802003,黄耳野菌饺,件,RMB,10.00,124.0,"1,240.00"
802004,青芥石蚝卷,件,RMB,10.00,30.0,300.00
802005,松茸莲藕酥,件,RMB,12.00,76.0,912.00
802007,焦糖蜂巢糕,半打,RMB,30.00,32.0,960.00
802012,松皮菜肉包,件,RMB,10.00,110.0,"1,100.00"
802013,洛神花果冻,件,RMB,10.00,19.0,190.00
802031,家乡艾糍,件,RMB,8.00,12.0,96.00
802036,栗子冻饼,位,RMB,16.00,4.0,64.00
802037,核桃芭菲,位,RMB,20.00,4.0,80.00
802038,朱古力心太软,位,RMB,20.00,37.0,740.00
802039,巧克力黑白配慕斯,位,RMB,18.00,4.0,72.00
802040,养生灵芝金瓜糕,位,RMB,20.00,1.0,20.00
802041,椰香桂花糕,位,RMB,16.00,11.0,176.00
802042,意大利提拉米苏,位,RMB,20.00,41.0,820.00
802043,欧式芝士蛋糕,位,RMB,26.00,16.0,416.00
802044,美式芝士饼,位,RMB,22.00,4.0,88.00
802045,蓝莓经典,位,RMB,18.00,3.0,54.00
802046,法式焦糖炖蛋,位,RMB,16.00,21.0,336.00
802047,传统姜撞奶,位,RMB,16.00,23.0,368.00
802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,2.0,136.00
802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00
802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,15.0,720.00
803001,西藏甘草雪莲子,位,RMB,20.00,15.0,300.00
803003,杨枝甘露,位,RMB,20.00,2.0,40.00
803008,黑芝麻汤丸,位,RMB,16.00,25.0,400.00
806005,芝士牛油野鸡卷（大）,份,RMB,22.00,35.0,770.00
806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,125.0,"3,250.00"
806010,黑竹盐脆虾包（特）,份,RMB,26.00,50.0,"1,300.00"
806011,黄瓜煎薄餐（小）,份,RMB,13.00,76.0,988.00
806013,法式蛋挞（中）,份,RMB,18.00,75.0,"1,350.00"
806014,金网青芥石蚝卷（中）,份,RMB,18.00,48.0,864.00
806015,松皮菜肉包（中）,份,RMB,18.00,61.0,"1,098.00"
806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,78.0,"1,716.00"
806017,咖喱芝心角（中）,份,RMB,18.00,41.0,738.00
806019,黑松露蒸牛肉球（特）,份,RMB,26.00,74.0,"1,924.00"
806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,99.0,"2,178.00"
806021,金网菜肉饺（大）,份,RMB,22.00,38.0,836.00
807001,黑松露素粉果（特）,份,RMB,26.00,82.0,"2,132.00"
807002,松茸莲藕酥（顶）,份,RMB,30.00,78.0,"2,340.00"
807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,67.0,"1,474.00"
807004,补气鲜参灌汤包（特）,份,RMB,26.00,219.0,"5,694.00"
807005,金兰花虾饺皇（特）,份,RMB,26.00,76.0,"1,976.00"
807005,金兰花虾饺皇（特）,份,RMB,28.00,1.0,28.00
808004,脆皮野菌肠（大）,份,RMB,22.00,32.0,704.00
808005,原笼五仁杂粮饭（小）,份,RMB,13.00,65.0,845.00
809003,养生灵芝金瓜糕（小）,份,RMB,13.00,19.0,247.00
809004,蛋白杏仁茶（中）,份,RMB,18.00,28.0,504.00
809005,台湾绿茶蛋糕（中）,份,RMB,18.00,18.0,324.00
809006,奶酪酸奶布丁（大）,份,RMB,22.00,20.0,440.00
809006,奶酪酸奶布丁（大）,份,RMB,25.00,1.0,25.00
899001,蛋挞,件,RMB,10.00,12.0,120.00
899001,点心拼盘,份,RMB,88.00,1.0,88.00
899001,歌剧蛋糕,件,RMB,8.00,1.0,8.00
899001,歌剧蛋糕,位,RMB,26.00,7.0,182.00
899001,曲奇,份,RMB,68.00,1.0,68.00
899001,曲奇饼,份,RMB,68.00,1.0,68.00
1201070,歌剧蛋糕（2月套餐）,份,RMB,41.78,14.0,584.92
1201105,意大利提拉米苏（套餐）,位,RMB,20.60,178.0,"3,666.85"
1201139,雪山菜肉包（套餐）,份,RMB,9.96,50.0,498.00
802025,煎锦鲤年糕,条,RMB,168.00,1.0,168.00
802026,煎燕窝年糕,件,RMB,10.00,101.0,"1,010.00"
802027,煎瑶柱萝卜糕,件,RMB,8.00,16.0,128.00
802028,煎桂林马蹄糕,件,RMB,8.00,6.0,48.00
801007,龙虾汤稻庭面,位,RMB,38.00,507.0,"19,266.00"
806008,客家萝卜丝丸（大）,份,RMB,22.00,48.0,"1,056.00"
806009,烤烤双拼（顶）,份,RMB,30.00,18.0,540.00
808009,龙虾汤稻庭面（特）,份,RMB,26.00,95.0,"2,470.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,26.58,210.0,"5,574.80"
