ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401003,铁板低温和牛肉配味黄瓜,位,RMB,98.00,405.0,"39,690.00"
401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,27.0,"4,536.00"
401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,10.0,880.00
402001,黑竹盐极品牛肉,位,RMB,280.00,186.0,"52,080.00"
402002,本草汤灼极品牛肉,位,RMB,198.00,2.0,396.00
402003,日本黑竹盐烧和牛膜,位,RMB,338.00,16.0,"5,408.00"
402005,野米煮龙趸皮,位,RMB,168.00,7.0,"1,176.00"
402006,五谷南瓜盅,位,RMB,48.00,228.0,"10,944.00"
402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,45.0,"12,600.00"
402012,孜然羊膝,位,RMB,78.00,24.0,"1,872.00"
402013,鲜鹿蹄筋焖鲨鱼裙,位,RMB,128.00,16.0,"2,048.00"
402013,鲜鹿蹄筋焖鲨鱼裙,位,RMB,168.00,5.0,840.00
402016,日本木鱼汤浸鲨鱼裙,位,RMB,68.00,1.0,68.00
402028,黑松露吞拿鱼腩,位,RMB,128.00,16.0,"2,048.00"
402028,黑松露吞拿鱼腩,位,RMB,148.00,3.0,444.00
402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,8.0,544.00
402047,鱼籽酱焖野生刺参,位,RMB,128.00,6.0,768.00
402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,37.0,"2,886.00"
402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,41.0,"3,608.00"
402053,夏日鲜茄局鲜莲,位,RMB,68.00,10.0,680.00
402055,香煎淮山炒带子,例,RMB,160.00,7.0,"1,120.00"
402057,什菌汁煎帆立贝,位,RMB,78.00,16.0,"1,248.00"
402058,低温三文鱼紫菜煎,位,RMB,68.00,18.0,"1,224.00"
402064,海盐烧局澳洲生蚝,位,RMB,68.00,23.0,"1,564.00"
402067,日本翡翠黄金冻鲍,只,RMB,128.00,9.0,"1,152.00"
402083,西班牙火腿片,位,RMB,88.00,3.0,264.00
