ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
202001,六味岩燕盏,位,RMB,380.00,37.0,"14,060.00"
202005,津梨炖岩燕盏,位,RMB,180.00,25.0,"4,500.00"
202006,木瓜炖岩燕盏,位,RMB,280.00,12.0,"3,360.00"
205001,法国金兰花烩鲍翅皇,位,RMB,480.00,12.0,"5,760.00"
205002,鲍汁荷香海虎翅,位,RMB,680.00,6.0,"4,080.00"
302001,三支虫草巴戟炖花胶,位,RMB,580.00,5.0,"2,900.00"
302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,3.0,"1,140.00"
201001,日本12头岩手吉品鲍,位,RMB,"2,280.00",4.0,"9,120.00"
201002,日本15头岩手吉品鲍,位,RMB,"1,280.00",9.0,"11,520.00"
201003,日本20头岩手吉品鲍,位,RMB,880.00,7.0,"6,160.00"
201305,日本制南非20头吉品鲍,位,RMB,480.00,3.0,"1,440.00"
201307,栗子花胶焖鲍鱼鸡煲,例,RMB,468.00,1.0,468.00
1201042,鲜蚝汁南非干鲍片扒花胶（2月套餐）,例,RMB,482.06,14.0,"6,748.84"
