ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
301001,玛卡绅士强身汤,位,RMB,268.00,21.0,"5,628.00"
301004,石斛灵芝炖地龙,位,RMB,138.00,160.0,"22,080.00"
301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,194.0,"44,232.00"
301006,猴枣炖野山龟,位,RMB,198.00,49.0,"9,702.00"
301007,海胆刺芹汤,位,RMB,68.00,52.0,"3,536.00"
301009,青榄海底椰炖鹧鸪,例,RMB,280.00,5.0,"1,400.00"
301022,羊肚菌炖花胶,位,RMB,268.00,115.0,"30,820.00"
301022,羊肚菌炖花胶,位,RMB,480.00,3.0,"1,440.00"
301024,羊肚菌炖原条辽参,位,RMB,298.00,14.0,"4,172.00"
301029,羊肚菌炖鳘肚公,位,RMB,518.00,44.0,"22,792.00"
301030,日本昆布炖野生刺参,位,RMB,128.00,74.0,"9,472.00"
301035,麝香蝎子炖山龟,位,RMB,238.00,1.0,238.00
301041,鲜肉苁蓉炖飞天鸟,位,RMB,138.00,24.0,"3,312.00"
301041,鲜肉苁蓉炖飞天鸟,位,RMB,198.00,9.0,"1,782.00"
301042,花旗参人参果炖刺龟鱼,例,RMB,228.00,2.0,456.00
301044,太子参玉竹炖花胶,位,RMB,180.00,41.0,"7,380.00"
301044,太子参玉竹炖花胶,位,RMB,238.00,5.0,"1,190.00"
