ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
102001,风味汁大花螺,份,RMB,88.00,27.0,"2,376.00"
102002,洋葱小木耳,份,RMB,28.00,156.0,"4,368.00"
102003,意大利黑醋拌海蜇,份,RMB,88.00,18.0,"1,584.00"
102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,41.0,"3,608.00"
102006,虫草花素鲍卷,份,RMB,48.00,36.0,"1,728.00"
102007,麻酱万年青,份,RMB,38.00,158.0,"6,004.00"
102011,香醋花生配五香黑豆,份,RMB,28.00,34.0,952.00
102012,骨胶原东海黄鱼冻,份,RMB,48.00,17.0,816.00
102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,19.0,"1,672.00"
102028,拍青瓜,份,RMB,28.00,26.0,728.00
102029,炸花生,份,RMB,28.00,29.0,812.00
102030,核桃,份,RMB,38.00,4.0,152.00
102031,炸腰果,例,RMB,28.00,2.0,56.00
102036,开胃泡椒鸭舌,份,RMB,58.00,86.0,"4,988.00"
102038,青苹果煎西班牙乳猪,份,RMB,78.00,37.0,"2,886.00"
102042,翠豆拌蚌仔,份,RMB,78.00,34.0,"2,652.00"
102043,桂花糯米藕,份,RMB,38.00,125.0,"4,750.00"
102044,蓝梅山药泥,份,RMB,48.00,29.0,"1,392.00"
102049,烟薰素鹅卷,份,RMB,48.00,33.0,"1,584.00"
102051,水晶鸭舌,份,RMB,58.00,9.0,522.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,72.56,367.0,"26,628.84"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.89,58.0,"1,501.63"
