ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
911001,西藏雪菊,位,RMB,38.00,7.0,266.00
911002,陈年普洱,位,RMB,28.00,180.0,"5,040.00"
911005,清香铁观音,位,RMB,28.00,82.0,"2,296.00"
901013,澳洲奔富407,支,RMB,980.00,6.0,"5,880.00"
902012,马爹利XO.350ML,支,RMB,"1,280.00",1.0,"1,280.00"
903001,1990年梅鹿液53度,支,RMB,"1,380.00",2.0,"2,760.00"
904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,2.0,960.00
908001,绍兴10年花雕,支,RMB,398.00,1.0,398.00
908002,绍兴20年花雕,支,RMB,498.00,1.0,498.00
909001,青岛,支,RMB,25.00,29.0,725.00
909002,喜力,支,RMB,28.00,2.0,56.00
910001,野生花旗参蜜枣茶,位,RMB,28.00,136.0,"3,808.00"
910002,博士养生茶,位,RMB,28.00,546.0,"15,288.00"
910003,红枣枸杞雪菊茶,位,RMB,28.00,184.0,"5,152.00"
910004,西藏甘草雪茶,位,RMB,28.00,92.0,"2,576.00"
910005,藏红花润肺茶,位,RMB,38.00,77.0,"2,926.00"
910006,冰冻清润茶,位,RMB,18.00,12.0,216.00
910008,博士养生茶（800ML）,瓶,RMB,60.00,6.0,360.00
910009,日本芽茶,位,RMB,28.00,27.0,756.00
910010,博士养生茶(赠送）,位,RMB,0.00,"2,261.0",0.00
910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,73.0,"1,314.00"
910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,19.0,342.00
910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,53.0,954.00
910014,藏红花润肺茶（午市散台）,位,RMB,18.00,50.0,900.00
910015,日本芽茶（午市散台）,位,RMB,18.00,33.0,594.00
910016,博士养生茶(增加）,位,RMB,0.00,67.0,0.00
912001,纸巾,包,RMB,8.00,70.0,560.00
912002,扑克,副,RMB,10.00,5.0,50.00
912005,保温瓶,个,RMB,50.00,4.0,200.00
912006,话梅,碟,RMB,10.00,1.0,10.00
913001,软黑芙蓉王,包,RMB,88.00,8.0,704.00
913002,软云烟,包,RMB,138.00,4.0,552.00
913003,软中华,包,RMB,128.00,27.0,"3,456.00"
914001,鲜榨苹果汁,杯,RMB,30.00,1.0,30.00
914001,鲜榨苹果汁,渣,RMB,98.00,2.0,196.00
914006,鲜榨木瓜汁,杯,RMB,35.00,2.0,70.00
914006,鲜榨木瓜汁,渣,RMB,98.00,3.0,294.00
914008,鲜榨奇异果汁,杯,RMB,35.00,1.0,35.00
914010,水果（送）,位,RMB,0.00,"3,131.0",0.00
914012,餐前水果（水果）,位,RMB,0.00,511.0,0.00
914015,鲜榨橙汁,杯,RMB,35.00,8.0,280.00
914015,鲜榨橙汁,渣,RMB,118.00,10.0,"1,180.00"
914016,杏仁汁,杯,RMB,35.00,3.0,105.00
914016,杏仁汁,渣,RMB,138.00,36.0,"4,968.00"
914018,淮山汁,渣,RMB,138.00,21.0,"2,898.00"
914019,柠檬,个,RMB,10.00,8.0,80.00
915002,苏打水,罐,RMB,15.00,34.0,510.00
915003,雪碧,罐,RMB,15.00,5.0,75.00
915004,可乐,罐,RMB,15.00,14.0,210.00
915007,小芙丝水,支,RMB,30.00,7.0,210.00
915008,意大利大普娜水（750ml）,支,RMB,38.00,45.0,"1,710.00"
915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,12.0,300.00
915010,意大利圣培露（橙汁）,瓶,RMB,25.00,7.0,175.00
915011,意大利手磨咖啡,杯,RMB,38.00,2.0,76.00
917001,大卫杜夫,支,RMB,280.00,1.0,280.00
999001,大菜单余额,份,RMB,153.00,1.0,153.00
999001,黑加伦提子汁,杯,RMB,35.00,1.0,35.00
999001,柠檬汁,杯,RMB,20.00,1.0,20.00
999001,鲜榨柠檬汁,杯,RMB,50.00,1.0,50.00
918001,印象大红袍,盒,RMB,346.00,6.0,"2,076.00"
1001001,普通茶（散）,位,RMB,10.00,692.0,"6,920.00"
1001002,普通茶（厅）,位,RMB,12.00,759.0,"9,108.00"
1002004,自带茶叶,位,RMB,15.00,155.0,"2,325.00"
