ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,64.0,"2,432.00"
801005,樱花虾葱油稻庭冷面,位,RMB,38.00,63.0,"2,394.00"
802001,人参灌汤包,半打,RMB,48.00,64.0,"3,072.00"
802002,咖啡芋茸包,半打,RMB,36.00,19.0,684.00
802003,黄耳野菌饺,件,RMB,10.00,180.0,"1,800.00"
802004,青芥石蚝卷,件,RMB,10.00,58.0,580.00
802005,松茸莲藕酥,件,RMB,12.00,115.0,"1,380.00"
802012,松皮菜肉包,件,RMB,10.00,178.0,"1,780.00"
802013,洛神花果冻,件,RMB,10.00,12.0,120.00
802034,酒香紫薯夹心蛋糕,打,RMB,120.00,2.0,240.00
802036,栗子冻饼,位,RMB,16.00,3.0,48.00
802037,核桃芭菲,位,RMB,20.00,2.0,40.00
802038,朱古力心太软,位,RMB,20.00,35.0,700.00
802039,巧克力黑白配慕斯,位,RMB,18.00,3.0,54.00
802040,养生灵芝金瓜糕,位,RMB,20.00,3.0,60.00
802041,椰香桂花糕,位,RMB,16.00,17.0,272.00
802042,意大利提拉米苏,位,RMB,20.00,38.0,760.00
802043,欧式芝士蛋糕,位,RMB,26.00,8.0,208.00
802044,美式芝士饼,位,RMB,22.00,3.0,66.00
802045,蓝莓经典,位,RMB,18.00,14.0,252.00
802046,法式焦糖炖蛋,位,RMB,16.00,45.0,720.00
802047,传统姜撞奶,位,RMB,16.00,24.0,384.00
802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,3.0,204.00
802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00
802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,10.0,480.00
803001,西藏甘草雪莲子,位,RMB,20.00,19.0,380.00
803003,杨枝甘露,位,RMB,20.00,27.0,540.00
803008,黑芝麻汤丸,位,RMB,16.00,27.0,432.00
806005,芝士牛油野鸡卷（大）,份,RMB,22.00,23.0,506.00
806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,77.0,"2,002.00"
806010,黑竹盐脆虾包（特）,份,RMB,26.00,45.0,"1,170.00"
806011,黄瓜煎薄餐（小）,份,RMB,13.00,53.0,689.00
806013,法式蛋挞（中）,份,RMB,18.00,65.0,"1,170.00"
806014,金网青芥石蚝卷（中）,份,RMB,18.00,24.0,432.00
806015,松皮菜肉包（中）,份,RMB,18.00,53.0,954.00
806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,74.0,"1,628.00"
806017,咖喱芝心角（中）,份,RMB,18.00,19.0,342.00
806019,黑松露蒸牛肉球（特）,份,RMB,26.00,63.0,"1,638.00"
806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,73.0,"1,606.00"
806021,金网菜肉饺（大）,份,RMB,22.00,15.0,330.00
807001,黑松露素粉果（特）,份,RMB,26.00,84.0,"2,184.00"
807002,松茸莲藕酥（顶）,份,RMB,30.00,50.0,"1,500.00"
807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,42.0,924.00
807004,补气鲜参灌汤包（特）,份,RMB,26.00,181.0,"4,706.00"
807005,金兰花虾饺皇（特）,份,RMB,26.00,51.0,"1,326.00"
808004,脆皮野菌肠（大）,份,RMB,22.00,21.0,462.00
808005,原笼五仁杂粮饭（小）,份,RMB,13.00,46.0,598.00
809003,养生灵芝金瓜糕（小）,份,RMB,13.00,18.0,234.00
809004,蛋白杏仁茶（中）,份,RMB,18.00,23.0,414.00
809005,台湾绿茶蛋糕（中）,份,RMB,18.00,12.0,216.00
809006,奶酪酸奶布丁（大）,份,RMB,22.00,13.0,286.00
1201105,意大利提拉米苏（套餐）,位,RMB,20.47,367.0,"7,510.84"
1201139,雪山菜肉包（套餐）,份,RMB,9.96,58.0,577.68
801003,五彩杂粮饭,位,RMB,15.00,66.0,990.00
808008,二十年陈皮蒸红米肠（小）,份,RMB,13.00,43.0,559.00
802023,冻抹茶红豆糕,件,RMB,6.00,4.0,24.00
802024,冻红豆杞子桂花糕,件,RMB,6.00,16.0,96.00
802025,煎锦鲤年糕,条,RMB,168.00,7.0,"1,176.00"
802026,煎燕窝年糕,件,RMB,10.00,463.0,"4,630.00"
802027,煎瑶柱萝卜糕,件,RMB,8.00,353.0,"2,824.00"
802028,煎桂林马蹄糕,件,RMB,8.00,81.0,648.00
802029,煎五香芋头糕,件,RMB,8.00,50.0,400.00
1002006,日本稻庭面（1KG）,包,RMB,180.00,4.0,720.00
801007,龙虾汤稻庭面,位,RMB,38.00,599.0,"22,762.00"
806009,烤烤双拼（顶）,份,RMB,30.00,18.0,540.00
808009,龙虾汤稻庭面（特）,份,RMB,26.00,75.0,"1,950.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,26.49,442.0,"11,687.22"
806008,客家萝卜丝丸（大）,份,RMB,22.00,33.0,726.00
