ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
202001,六味岩燕盏,位,RMB,380.00,24.0,"9,120.00"
202002,玉米汁烩岩燕盏,位,RMB,288.00,2.0,576.00
202005,津梨炖岩燕盏,位,RMB,180.00,26.0,"4,680.00"
205001,法国金兰花烩鲍翅皇,位,RMB,480.00,21.0,"10,080.00"
205002,鲍汁荷香海虎翅,位,RMB,680.00,21.0,"14,280.00"
302001,三支虫草巴戟炖花胶,位,RMB,580.00,23.0,"13,340.00"
302002,1500庄虫草,条,RMB,118.00,6.0,708.00
302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,6.0,"2,280.00"
302006,1500庄三支冬虫草炖肉汁,位,RMB,480.00,3.0,"1,440.00"
201001,日本12头岩手吉品鲍,位,RMB,"2,280.00",3.0,"6,840.00"
201002,日本15头岩手吉品鲍,位,RMB,"1,280.00",6.0,"7,680.00"
201003,日本20头岩手吉品鲍,位,RMB,880.00,12.0,"10,560.00"
201305,日本制南非20头吉品鲍,位,RMB,480.00,2.0,960.00
