ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911001,西藏雪菊,位,RMB,38.00,5.0,190.00
0911002,陈年普洱,位,RMB,28.00,65.0,"1,820.00"
0911005,清香铁观音,位,RMB,28.00,51.0,"1,428.00"
0901013,澳洲奔富407,支,RMB,980.00,6.0,"5,880.00"
0901014,澳洲奔富707,支,RMB,"3,200.00",1.0,"3,200.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,4.0,"2,400.00"
0901017,杰卡斯梅洛干红,支,RMB,480.00,5.0,"2,400.00"
0902003,大号轩尼诗XO,支,RMB,"2,380.00",2.0,"4,760.00"
0902017,马爹利蓝带.350ML,支,RMB,"1,200.00",1.0,"1,200.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,3.0,"2,940.00"
0904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,2.0,960.00
0904002,杰卡斯霞多丽干白,支,RMB,380.00,6.0,"2,280.00"
0905001,法国酩悦香槟,支,RMB,880.00,1.0,880.00
0908002,绍兴20年花雕,支,RMB,498.00,2.0,996.00
0909001,青岛,支,RMB,26.00,13.0,338.00
0909002,喜力,支,RMB,28.00,21.0,588.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,107.0,"2,996.00"
0910002,博士养生茶,位,RMB,28.00,715.0,"20,020.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,195.0,"5,460.00"
0910004,西藏甘草雪茶,位,RMB,28.00,109.0,"3,052.00"
0910005,藏红花润肺茶,位,RMB,38.00,66.0,"2,508.00"
0910006,冰冻清润茶,位,RMB,18.00,51.0,918.00
0910007,博士养生茶（375ML）,瓶,RMB,30.00,1.0,30.00
0910009,日本芽茶,位,RMB,28.00,71.0,"1,988.00"
0910010,博士养生茶(赠送）,位,RMB,0.00,"2,078.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,146.0,"2,628.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,61.0,"1,098.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,55.0,990.00
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,40.0,720.00
0910015,日本芽茶（午市散台）,位,RMB,18.00,62.0,"1,116.00"
0910016,博士养生茶(增加）,位,RMB,0.00,976.0,0.00
0912001,纸巾,包,RMB,8.00,58.0,464.00
0912002,扑克,副,RMB,10.00,3.0,30.00
0912007,长打包盒,个,RMB,2.00,125.0,250.00
0912008,圆打包盒,个,RMB,2.00,17.0,34.00
0912010,环保袋,个,RMB,3.00,59.0,177.00
0913001,软黑芙蓉王,包,RMB,88.00,22.0,"1,936.00"
0913003,软中华,包,RMB,128.00,17.0,"2,176.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,7.0,140.00
0914001,鲜榨苹果汁,渣,RMB,98.00,2.0,196.00
0914002,鲜榨哈蜜瓜汁,渣,RMB,98.00,3.0,294.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,3.0,60.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,12.0,"1,176.00"
0914006,鲜榨木瓜汁,杯,RMB,20.00,1.0,20.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,3.0,294.00
0914010,水果（送）,位,RMB,0.00,"2,771.0",0.00
0914011,水果,位,RMB,28.00,5.0,140.00
0914012,餐前水果（送）,位,RMB,0.00,95.0,0.00
0914014,鲜榨火龙果汁,杯,RMB,20.00,3.0,60.00
0914014,鲜榨火龙果汁,渣,RMB,128.00,1.0,128.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,22.0,440.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,25.0,"2,950.00"
0914016,杏仁汁,杯,RMB,35.00,2.0,70.00
0914016,杏仁汁,渣,RMB,138.00,6.0,828.00
0914019,柠檬,个,RMB,10.00,16.0,160.00
0915002,苏打水,罐,RMB,13.00,57.0,741.00
0915003,雪碧,罐,RMB,13.00,1.0,13.00
0915004,可乐,罐,RMB,13.00,13.0,169.00
0915005,大芙丝水,支,RMB,68.00,3.0,204.00
0915007,小芙丝水,支,RMB,30.00,7.0,210.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,73.0,"2,774.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,33.0,825.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,6.0,150.00
0915011,意大利手磨咖啡,杯,RMB,38.00,2.0,76.00
0916001,双黄班兰莲蓉月,个,RMB,38.00,30.0,"1,140.00"
0916002,双黄白莲蓉,个,RMB,36.00,3.0,108.00
0916003,金腿五仁月,个,RMB,36.00,16.0,576.00
0916004,迷你蛋黄班兰莲蓉月,个,RMB,18.00,26.0,468.00
0916005,迷你蛋黄白莲蓉月,个,RMB,18.00,4.0,72.00
0916006,迷你金腿五仁月饼,个,RMB,18.00,6.0,108.00
0916007,迷你蛋黄豆沙月饼,个,RMB,18.00,3.0,54.00
0916008,迷你金沙奶皇月饼,个,RMB,16.00,37.0,592.00
0999001,大菜单余额,份,RMB,75.99,6.0,455.93
0999001,大菜单余额,份,RMB,96.00,3.0,288.00
1001001,普通茶（散）,位,RMB,10.00,"1,798.0","17,980.00"
1001002,普通茶（厅）,位,RMB,12.00,"1,036.0","12,431.87"
1002004,自带茶叶,位,RMB,15.00,175.0,"2,625.00"
1099001,大菜单服务费,份,RMB,290.00,3.0,870.00
1099001,大菜单服务费,份,RMB,482.93,6.0,"2,897.57"
