ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,66.0,"2,508.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,56.0,"2,128.00"
0801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,59.0,"1,121.00"
0802001,人参灌汤包,半打,RMB,48.00,129.0,"6,192.00"
0802003,黄耳野菌饺,件,RMB,10.00,176.0,"1,760.00"
0802004,青芥石蚝卷,件,RMB,10.00,74.0,740.00
0802005,松茸莲藕酥,件,RMB,12.00,206.0,"2,471.87"
0802007,焦糖蜂巢糕,半打,RMB,30.00,14.0,420.00
0802012,松皮菜肉包,件,RMB,10.00,197.0,"1,970.00"
0802013,洛神花果冻,件,RMB,10.00,8.0,80.00
0802015,寿桃（小）,只,RMB,8.00,80.0,639.91
0802036,栗子冻饼,位,RMB,16.00,4.0,64.00
0802037,核桃芭菲,位,RMB,20.00,23.0,460.00
0802038,朱古力心太软,位,RMB,20.00,44.0,880.00
0802039,巧克力黑白配慕斯,位,RMB,18.00,5.0,90.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,5.0,100.00
0802042,意大利提拉米苏,位,RMB,20.00,64.0,"1,280.00"
0802043,欧式芝士蛋糕,位,RMB,26.00,8.0,208.00
0802044,美式芝士饼,位,RMB,22.00,4.0,88.00
0802046,法式焦糖炖蛋,位,RMB,16.00,21.0,336.00
0802047,传统姜撞奶,位,RMB,16.00,43.0,688.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,11.0,748.00
0802052,黑芝麻雪芭,位,RMB,28.00,34.0,952.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,3.0,144.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,16.0,768.00
0802061,松茸莲藕酥（半价）,件,RMB,6.00,55.0,330.00
0802064,玫瑰花柠檬果冻,位,RMB,18.00,35.0,630.00
0802065,茉莉花酥皮泡芙,半打,RMB,48.00,14.0,672.00
0803001,西藏甘草雪莲子,位,RMB,20.00,21.0,420.00
0803003,杨枝甘露,位,RMB,20.00,21.0,420.00
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,101.0,"1,818.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,135.0,"3,510.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,88.0,"1,584.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,49.0,"1,470.00"
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,60.0,"1,560.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,116.0,"1,508.00"
0806013,法式蛋挞（中）(半价),份,RMB,9.00,389.0,"3,501.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,72.0,"1,296.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,70.0,"1,260.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,98.0,"2,156.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,45.0,810.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,79.0,"2,054.00"
0806020,香草酱皇蒸凤爪（大）(半价),份,RMB,11.00,446.0,"4,906.00"
0806021,健康麻薯包（中）,份,RMB,18.00,52.0,936.00
0807001,黑松露素粉果（特）(半价),份,RMB,13.00,568.0,"7,384.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,128.0,"3,840.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,99.0,"2,178.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,379.0,"9,854.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,116.0,"3,016.00"
0808004,脆皮野菌肠（大）(半价),份,RMB,11.00,432.0,"4,752.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,74.0,962.00
0808013,名酱红米肠（小）,份,RMB,13.00,72.0,936.00
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,38.0,494.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,63.0,"1,134.00"
0809005,台湾绿茶蛋糕（中）(半价),份,RMB,9.00,312.0,"2,808.00"
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,30.0,660.00
0809007,洛神花果冻（中）,份,RMB,18.00,17.0,306.00
0899001,莲子百合红豆沙,中,RMB,139.98,6.0,839.88
1201105,意大利提拉米苏（套餐）,位,RMB,21.51,168.0,"3,613.13"
1201139,雪山菜肉包（套餐）,份,RMB,10.41,90.0,936.88
0801007,龙虾汤稻庭面,位,RMB,38.00,821.0,"31,198.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,96.0,"2,496.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,27.60,188.0,"5,195.58"
