ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,40.0,"15,200.00"
0202005,津梨炖岩燕盏,位,RMB,180.00,23.0,"4,140.00"
0202009,桂花玫瑰蜜炖官燕盏,位,RMB,280.00,1.0,280.00
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,11.0,"5,280.00"
0205002,鲍汁荷香海虎翅,位,RMB,680.00,14.0,"9,520.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,6.0,"3,480.00"
0302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,8.0,"3,040.00"
0201002,日本15头岩手吉品鲍,位,RMB,"1,280.00",4.0,"5,120.00"
0201003,日本20头岩手吉品鲍,位,RMB,880.00,1.0,880.00
0201311,八头南非鲍,只,RMB,550.00,2.0,"1,100.00"
1201075,鲍汁扣八头南非干鲍（父亲节组合）,位,RMB,200.00,9.0,"1,800.00"
