ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,118.00,481.0,"56,758.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,28.0,"4,704.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,11.0,968.00
0402001,黑竹盐极品牛肉,位,RMB,280.00,159.0,"44,520.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,2.0,676.00
0402005,野米煮龙趸皮,位,RMB,168.00,14.0,"2,352.00"
0402006,五谷南瓜盅,位,RMB,48.00,154.0,"7,392.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,70.0,"19,600.00"
0402018,野米煮淮山,位,RMB,48.00,29.0,"1,392.00"
0402028,黑松露吞拿鱼腩,位,RMB,128.00,13.0,"1,664.00"
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,4.0,272.00
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,7.0,896.00
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,40.0,"3,120.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,30.0,"2,640.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,14.0,952.00
0402055,香煎淮山炒带子,例,RMB,160.00,7.0,"1,120.00"
0402067,日本翡翠黄金冻鲍,只,RMB,128.00,9.0,"1,152.00"
0402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,44.0,"7,436.00"
0402083,西班牙火腿片,位,RMB,88.00,19.0,"1,672.00"
0402083,西班牙火腿片,位,RMB,128.00,9.0,"1,152.00"
0402084,南瓜花天妇罗配香煎翡翠鲍奶昔,位,RMB,108.00,8.0,864.00
0402085,夜香花银杏自磨豆腐,位,RMB,28.00,36.0,"1,008.00"
0402086,夜香花浸日本元贝北海道蟹钳,位,RMB,88.00,24.0,"2,112.00"
