ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401003,铁板低温和牛肉配味黄瓜,位,RMB,98.00,597.0,"58,506.00"
401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,73.0,"12,264.00"
401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,9.0,792.00
402001,黑竹盐极品牛肉,位,RMB,280.00,215.0,"60,200.00"
402002,本草汤灼极品牛肉,位,RMB,198.00,2.0,396.00
402003,日本黑竹盐烧和牛膜,位,RMB,338.00,9.0,"3,042.00"
402006,五谷南瓜盅,位,RMB,48.00,336.0,"16,128.00"
402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,55.0,"15,400.00"
402016,日本木鱼汤浸鲨鱼裙,位,RMB,68.00,2.0,136.00
402017,红烧羊肚菌,位,RMB,128.00,1.0,128.00
402018,野米煮淮山,位,RMB,48.00,4.0,192.00
402028,黑松露吞拿鱼腩,位,RMB,128.00,11.0,"1,408.00"
402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,107.0,"7,276.00"
402047,鱼籽酱焖野生刺参,位,RMB,128.00,2.0,256.00
402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,33.0,"2,574.00"
402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,25.0,"2,200.00"
402053,夏日鲜茄局鲜莲,位,RMB,68.00,4.0,272.00
402055,香煎淮山炒带子,例,RMB,160.00,6.0,960.00
402057,什菌汁煎帆立贝,位,RMB,78.00,1.0,78.00
402057,什菌汁煮日本帆立贝,位,RMB,78.00,24.0,"1,872.00"
402058,低温三文鱼紫菜煎,位,RMB,68.00,14.0,952.00
402062,脆虾丸配泡沫刺芹汁,位,RMB,88.00,1.0,88.00
402064,海盐烧局澳洲生蚝,位,RMB,68.00,9.0,612.00
402066,珍菌煎西班牙火腿片,位,RMB,128.00,5.0,640.00
402067,日本翡翠黄金冻鲍,只,RMB,128.00,9.0,"1,152.00"
402069,五谷飞弹牛肉盏,位,RMB,128.00,4.0,512.00
402071,金瓜五谷烩龙趸皮,位,RMB,138.00,18.0,"2,484.00"
402072,香煎飞弹和牛,位,RMB,480.00,3.0,"1,440.00"
402073,日本竹盐烧和牛膜（半价）,位,RMB,169.00,36.0,"6,084.00"
402073,香煎匈牙利鹅肝,位,RMB,168.00,4.0,672.00
402074,香煎5A鹿儿岛和牛,位,RMB,280.00,3.0,840.00
402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,28.0,"4,732.00"
402083,西班牙火腿片,位,RMB,128.00,6.0,768.00
