ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
401001,火山石窝龙趸扒,位,RMB,98.00,102.0,"9,996.00"
401002,法式香草煎龙虾扒,位,RMB,168.00,11.0,"1,848.00"
401007,美国燕麦局大连鲍,位,RMB,88.00,23.0,"2,024.00"
401008,脆烧星斑扒,位,RMB,138.00,100.0,"13,800.00"
401013,春芽鲜胡椒炒斑球,位,RMB,68.00,3.0,204.00
401014,低温白雪龙虾仔,位,RMB,128.00,1.0,128.00
401017,咸柠檬灼鲜鲍,位,RMB,108.00,33.0,"3,564.00"
401018,金柚手撕龙虾,位,RMB,138.00,24.0,"3,312.00"
401018,金柚手撕龙虾,位,RMB,168.00,2.0,336.00
401019,火山石烧星斑头腩,位,RMB,128.00,12.0,"1,536.00"
401024,豆茸春茶烩大连鲍,位,RMB,88.00,3.0,264.00
401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,52.0,"2,808.00"
401029,脆烧星斑扒（半价）,位,RMB,69.00,133.0,"9,177.00"
501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,2.0,336.00
1201033,法式龙虾扒（2月套餐）,位,RMB,119.58,45.0,"5,381.23"
1201040,泡椒石板野生龙趸（2月套餐）,例,RMB,158.98,7.0,"1,112.86"
1201113,二十年陈皮蒸龙趸球（3月套餐）,位,RMB,38.21,26.0,987.48
301002,红景天沙虫干炖星斑腩,例,RMB,180.00,2.0,360.00
301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,81.0,"14,580.00"
606001,娃娃鱼,斤,RMB,"1,080.00",5.1,"5,508.00"
601002,老鼠班,斤,RMB,698.00,1.1,767.80
601002,老鼠斑,斤,RMB,400.00,1.0,400.00
601002,老鼠斑,斤,RMB,698.00,3.2,"2,233.60"
601003,东星斑,斤,RMB,300.00,0.7,210.00
601003,东星斑,斤,RMB,400.00,2.0,800.00
601003,东星斑,斤,RMB,698.00,6.8,"4,746.40"
601004,红玫瑰,斤,RMB,598.00,2.6,"1,554.80"
601007,老虎斑,斤,RMB,65.00,9.0,585.00
601007,老虎斑,斤,RMB,238.00,16.7,"3,974.60"
601015,红玫瑰（半价）,斤,RMB,299.00,7.4,"2,212.60"
601016,东星斑（半价）,斤,RMB,349.00,20.8,"7,259.20"
601016,东星斑（半价）,斤,RMB,398.00,2.0,796.00
