ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911002,陈年普洱,位,RMB,28.00,151.0,"4,228.00"
0911005,清香铁观音,位,RMB,28.00,36.0,"1,008.00"
0901006,拉菲副牌2004年,支,RMB,"3,800.00",1.0,"3,800.00"
0901013,澳洲奔富407,支,RMB,980.00,9.0,"8,820.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00
0901017,杰卡斯梅洛干红,支,RMB,480.00,4.0,"1,920.00"
0902016,马爹利蓝带.500ML,支,RMB,"1,480.00",1.0,"1,480.00"
0903004,高度茅台53度,支,RMB,"1,980.00",3.0,"5,940.00"
0903005,低度茅台38度,支,RMB,"1,500.00",1.0,"1,500.00"
0904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,2.0,960.00
0908001,绍兴10年花雕,支,RMB,398.00,2.0,796.00
0909001,青岛,支,RMB,26.00,30.0,780.00
0909002,喜力,支,RMB,28.00,4.0,112.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,147.0,"4,116.00"
0910002,博士养生茶,位,RMB,28.00,707.0,"19,796.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,210.0,"5,880.00"
0910004,西藏甘草雪茶,位,RMB,28.00,113.0,"3,164.00"
0910005,藏红花润肺茶,位,RMB,38.00,40.0,"1,520.00"
0910006,冰冻清润茶,位,RMB,18.00,49.0,882.00
0910009,日本芽茶,位,RMB,28.00,67.0,"1,876.00"
0910010,博士养生茶(赠送）,位,RMB,0.00,"1,997.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,159.0,"2,862.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,49.0,882.00
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,52.0,936.00
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,52.0,936.00
0910015,日本芽茶（午市散台）,位,RMB,18.00,23.0,414.00
0910016,博士养生茶(增加）,位,RMB,0.00,933.0,0.00
0912001,纸巾,包,RMB,8.00,66.0,528.00
0912002,扑克,副,RMB,10.00,10.0,100.00
0913001,软黑芙蓉王,包,RMB,88.00,8.0,704.00
0913002,软云烟,包,RMB,138.00,1.0,138.00
0913003,软中华,包,RMB,128.00,18.0,"2,304.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,3.0,60.00
0914001,鲜榨苹果汁,渣,RMB,98.00,1.0,98.00
0914002,鲜榨哈蜜瓜汁,杯,RMB,20.00,1.0,20.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,6.0,588.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,1.0,98.00
0914010,水果（送）,位,RMB,0.00,"2,352.0",0.00
0914011,水果,位,RMB,28.00,3.0,84.00
0914012,餐前水果（送）,位,RMB,0.00,270.0,0.00
0914014,鲜榨火龙果汁,杯,RMB,20.00,2.0,40.00
0914014,鲜榨火龙果汁,渣,RMB,128.00,1.0,128.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,9.0,180.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,27.0,"3,186.00"
0914016,杏仁汁,杯,RMB,35.00,4.0,140.00
0914016,杏仁汁,渣,RMB,138.00,7.0,966.00
0914019,柠檬,个,RMB,10.00,28.0,280.00
0915002,苏打水,罐,RMB,13.00,70.0,910.00
0915003,雪碧,罐,RMB,13.00,1.0,13.00
0915004,可乐,罐,RMB,13.00,19.0,247.00
0915005,大芙丝水,支,RMB,68.00,11.0,748.00
0915007,小芙丝水,支,RMB,30.00,28.0,840.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,67.0,"2,546.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,1.0,25.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,2.0,50.00
0915011,意大利手磨咖啡,杯,RMB,38.00,3.0,114.00
0917002,古希华2006年限量版,支,RMB,980.00,1.0,980.00
1001001,普通茶（散）,位,RMB,10.00,"1,435.0","14,350.00"
1001002,普通茶（厅）,位,RMB,12.00,784.0,"9,408.00"
1002004,自带茶叶,位,RMB,15.00,137.0,"2,055.00"
