ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801002,日本鱼沼米饭,位,RMB,10.00,467.0,"4,670.00"
0912003,日本芥辣,支,RMB,20.00,8.0,160.00
0912004,樱花豉油,支,RMB,48.00,7.0,336.00
0801003,五彩杂粮饭,位,RMB,15.00,122.0,"1,830.00"
0808008,二十年陈皮蒸红米肠（小）,份,RMB,13.00,52.0,676.00
1201110,健康杂粮饭（3月套餐）,位,RMB,12.26,8.0,98.08
0101002,蒜子辣酱油,碟,RMB,10.00,37.0,370.00
0101002,蒜子辣酱油,瓶,RMB,40.00,1.0,40.00
0101002,蒜子辣酱油,碗,RMB,15.00,10.0,150.00
0101007,日本樱花虾酱,碟,RMB,20.00,6.0,120.00
0101007,日本樱花虾酱,瓶,RMB,90.00,9.0,810.00
0101008,泰椒豉油,碗,RMB,10.00,1.0,10.00
0101011,瑶柱好味酱,碟,RMB,20.00,8.0,160.00
0101011,瑶柱好味酱,瓶,RMB,80.00,1.0,80.00
0101012,徐博馆香葱酱,碟,RMB,10.00,2.0,20.00
0101012,徐博馆香葱酱,瓶,RMB,30.00,1.0,30.00
0101015,四宝小食（大厅）,份,RMB,30.00,70.0,"2,100.00"
0101019,VIP房四宝小食,份,RMB,40.00,329.0,"13,160.00"
0199001,白切鸡,只,RMB,180.00,1.0,180.00
0199001,白粥,例,RMB,1.00,1.0,1.00
0199001,白粥,例,RMB,40.00,1.0,40.00
0199001,白灼露笋,例,RMB,88.00,1.0,88.00
0199001,菜心炒和牛肉,例,RMB,78.00,1.0,78.00
0199001,陈皮川贝炖鳄鱼,例,RMB,228.00,1.0,228.00
0199001,脆白萝卜条,份,RMB,38.00,1.0,38.00
0199001,炖肉汁汤,位,RMB,168.00,6.0,"1,008.00"
0199001,鹅肝粒炒饭,例,RMB,58.00,1.0,58.00
0199001,鹅肝粒炒饭,例,RMB,68.00,1.0,68.00
0199001,虎皮尖椒,例,RMB,68.00,1.0,68.00
0199001,鸡蛋炒番茄,例,RMB,68.00,1.0,68.00
0199001,昆布汤底,位,RMB,18.00,10.0,180.00
0199001,凉拌番茄,份,RMB,38.00,4.0,152.00
0199001,凉菜三拼,位,RMB,38.00,17.0,646.00
0199001,凉瓜炒土猪肉,位,RMB,38.00,2.0,76.00
0199001,露笋百合炒淮山,例,RMB,88.00,1.0,88.00
0199001,露笋百合炒土猪肉,例,RMB,78.00,3.0,234.00
0199001,露笋百合炒土猪肉,例,RMB,88.00,9.0,792.00
0199001,露笋百合炒土猪肉,位,RMB,48.00,5.0,240.00
0199001,露笋百合炒土猪肉,中,RMB,156.00,1.0,156.00
0199001,露笋百合炒土猪肉,中,RMB,176.00,1.0,176.00
0199001,玫瑰花局桑果鸡,例,RMB,98.00,1.0,98.00
0199001,玫瑰局桑果鸡,例,RMB,98.00,2.0,196.00
0199001,玫瑰焗桑果鸡,例,RMB,98.00,1.0,98.00
0199001,木耳百合炒西芹,例,RMB,68.00,1.0,68.00
0199001,木耳百合炒西芹,例,RMB,78.00,1.0,78.00
0199001,木耳炒淮山,例,RMB,78.00,1.0,78.00
0199001,农家炒土猪肉,位,RMB,38.00,8.0,304.00
0199001,浓鸡汤肉碎黄花菜,位,RMB,38.00,2.0,76.00
0199001,藕芽炒土猪肉,例,RMB,88.00,1.0,88.00
0199001,拍蒜炒胜瓜,例,RMB,58.00,1.0,58.00
0199001,拍蒜炒水东芥菜,例,RMB,58.00,3.0,174.00
0199001,荞菜炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,荞菜炒土猪肉,中,RMB,156.00,1.0,156.00
0199001,青瓜片炒牛肉粒,例,RMB,88.00,1.0,88.00
0199001,清炒露笋,例,RMB,88.00,1.0,88.00
0199001,清炒露笋,位,RMB,38.00,3.0,114.00
0199001,清汤窝底,个,RMB,50.00,1.0,50.00
0199001,清蒸水蛋,例,RMB,68.00,1.0,68.00
0199001,全体乳猪件,只,RMB,780.00,1.0,780.00
0199001,三文鱼刺身,件,RMB,20.00,14.0,280.00
0199001,上汤南瓜花,例,RMB,68.00,1.0,68.00
0199001,上汤南瓜花,位,RMB,28.00,4.0,112.00
0199001,生炒糯米饭,例,RMB,88.00,1.0,88.00
0199001,生炒水东芥菜,位,RMB,28.00,4.0,112.00
0199001,生蒜片,碟,RMB,5.00,1.0,5.00
0199001,蒜茸炒黑木耳,例,RMB,68.00,1.0,68.00
0199001,蒜茸炒露笋,例,RMB,88.00,1.0,88.00
0199001,蒜茸炒西兰花,例,RMB,88.00,1.0,88.00
0199001,泰椒炒鸡蛋,中,RMB,136.00,1.0,136.00
0199001,西芹百合炒淮山,例,RMB,68.00,1.0,68.00
0199001,西芹百合炒淮山,例,RMB,78.00,1.0,78.00
0199001,西芹百合炒香芹,例,RMB,78.00,1.0,78.00
0199001,鲜露笋炒百合,例,RMB,78.00,1.0,78.00
0199001,鲜牛膀炖杞子水鸡,例,RMB,180.00,1.0,180.00
0199001,野米,位,RMB,20.00,28.0,560.00
0199001,野米,位,RMB,28.00,4.0,112.00
0199001,野米煮淮山,例,RMB,88.00,1.0,88.00
0199001,樱花虾安康鱼肝炒饭,例,RMB,68.00,1.0,68.00
0199001,樱花虾炒饭,例,RMB,68.00,1.0,68.00
0199001,樱花虾炒水东芥菜,位,RMB,38.00,4.0,152.00
0199001,蒸肉饼,例,RMB,78.00,2.0,156.00
0199002,陈皮川贝炖鳄鱼汤,例,RMB,228.00,1.0,228.00
0199002,陈皮炖鳄鱼汤,例,RMB,298.00,1.0,298.00
0203001,柚子汁北海道刺参,位,RMB,298.00,12.0,"3,576.00"
0203002,京葱烧日本北海道60头刺参,位,RMB,298.00,57.0,"16,986.00"
0203003,金瓜五谷烩关西刺参,位,RMB,128.00,35.0,"4,480.00"
0203004,野米煮辽参,位,RMB,298.00,20.0,"5,960.00"
0203007,柚子汁北海道刺参（半价）,位,RMB,149.00,302.0,"44,998.00"
0204001,金兰花汁扣三头印度鳘肚公,位,RMB,980.00,25.0,"24,500.00"
0204002,鲍汁烩花胶公,位,RMB,380.00,1.0,380.00
0204003,金兰花汁烩龙趸皮,位,RMB,388.00,19.0,"7,372.00"
0204007,五谷烩花胶粒,位,RMB,128.00,18.0,"2,304.00"
0204008,金兰花汁烩龙趸皮（半价）,位,RMB,194.00,39.0,"7,566.00"
0501001,松子仁黄豆炒拆骨猪手,例,RMB,68.00,26.0,"1,768.00"
0501002,青苹果黑蒜澳洲牛肉粒,例,RMB,128.00,32.0,"4,096.00"
0501011,紫姜砂窝牛仔骨,例,RMB,128.00,75.0,"9,600.00"
0501011,紫姜砂窝牛仔骨,中,RMB,256.00,1.0,256.00
0501012,砂窝者鱼卜田鸡,例,RMB,78.00,23.0,"1,794.00"
0501017,虎皮尖椒炒土猪肉,例,RMB,68.00,4.0,272.00
0501020,珍菌炒鹅肝粒,例,RMB,98.00,37.0,"3,626.00"
0501023,农家炒土猪肉,例,RMB,68.00,130.0,"8,840.00"
0501024,石板酸菜自制豆腐,例,RMB,68.00,183.0,"12,444.00"
0501031,荞菜爆河虾仔,例,RMB,78.00,34.0,"2,652.00"
0501036,蟹黄蟹肉兰度,例,RMB,138.00,25.0,"3,450.00"
0501036,蟹黄蟹肉兰度,位,RMB,60.00,15.0,900.00
0501039,水咸鱼,条,RMB,188.00,7.0,"1,316.00"
0501040,珊瑚菌炒雪花牛肉,例,RMB,230.00,2.0,460.00
0501041,喜之次鱼,斤,RMB,680.00,8.9,"6,052.00"
0501042,喜之次鱼（半价）,斤,RMB,340.00,46.2,"15,708.00"
0501053,露笋百合炒元贝,例,RMB,198.00,2.0,396.00
0501059,鲜胡椒石窝茄子,例,RMB,58.00,68.0,"3,944.00"
0501063,香芋茨实南瓜煲,例,RMB,68.00,50.0,"3,400.00"
0501063,香芋茨实南瓜煲,例,RMB,88.00,1.0,88.00
0501065,双葱黑椒爆黑豚肉,例,RMB,88.00,9.0,792.00
0501069,荷塘炒角螺片,例,RMB,168.00,14.0,"2,352.00"
0501073,韩式石窝肥牛,例,RMB,98.00,6.0,588.00
0501079,鲜人参沙白浸桑果鸡,例,RMB,138.00,130.0,"17,940.00"
0501081,砂窝生局野生笋壳鱼件,例,RMB,148.00,43.0,"6,364.00"
0501115,荞菜炒北极贝,例,RMB,88.00,5.0,440.00
0501117,韭菜河虾炒雪花牛肉,例,RMB,168.00,4.0,672.00
0501131,和牛三拼,例,RMB,498.00,10.0,"4,980.00"
0501132,鹅肝三拼,例,RMB,388.00,12.0,"4,656.00"
0501140,鳄鱼肉,斤,RMB,148.00,2.6,384.80
0701002,芝麻菜苗,例,RMB,68.00,16.0,"1,088.00"
0701002,芝麻菜苗,位,RMB,28.00,22.0,616.00
0701003,枸杞叶,例,RMB,58.00,44.0,"2,552.00"
0701003,枸杞叶,位,RMB,28.00,99.0,"2,772.00"
0701004,芥兰,例,RMB,58.00,10.0,580.00
0701004,芥兰,位,RMB,28.00,6.0,168.00
0701005,西兰花,例,RMB,58.00,3.0,174.00
0701006,奶白菜,例,RMB,58.00,12.0,696.00
0701006,奶白菜,位,RMB,28.00,55.0,"1,540.00"
0701009,辣椒叶,例,RMB,58.00,93.0,"5,394.00"
0701009,辣椒叶,位,RMB,28.00,359.0,"10,052.00"
0701012,菜心,例,RMB,58.00,28.0,"1,624.00"
0701012,菜心,位,RMB,28.00,21.0,588.00
0701026,云南黄花菜,例,RMB,68.00,26.0,"1,768.00"
0701026,云南黄花菜,位,RMB,28.00,45.0,"1,260.00"
0701029,白菜苗,例,RMB,58.00,2.0,116.00
0701030,鲜剑花,例,RMB,58.00,3.0,174.00
0701030,鲜剑花,位,RMB,28.00,27.0,756.00
0701031,奶白菜仔,例,RMB,58.00,10.0,580.00
0701031,奶白菜仔,位,RMB,28.00,13.0,364.00
0701033,川红花浸菜苗,例,RMB,58.00,14.0,812.00
0701033,川红花浸菜苗,位,RMB,28.00,1.0,28.00
0701034,灵芝孢子浸时蔬,例,RMB,68.00,13.0,884.00
0701034,灵芝孢子浸时蔬,位,RMB,28.00,14.0,392.00
0701035,皇帝菜,例,RMB,58.00,16.0,928.00
0701035,皇帝菜,位,RMB,28.00,18.0,504.00
0701037,生菜,例,RMB,58.00,1.0,58.00
0701039,红烧胶笋,例,RMB,68.00,2.0,136.00
