ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,33.0,"12,540.00"
0202005,津梨炖岩燕盏,位,RMB,180.00,26.0,"4,680.00"
0202007,绿茶燕窝炒蛋白,位,RMB,98.00,3.0,294.00
1201174,杏汁炖官燕（5月组合）,位,RMB,120.00,75.0,"9,000.00"
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,31.0,"14,880.00"
0205002,鲍汁荷香海虎翅,位,RMB,680.00,16.0,"10,880.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,1.0,580.00
0302005,1800庄三支冬虫草炖肉汁,位,RMB,380.00,10.0,"3,800.00"
0201002,日本15头岩手吉品鲍,位,RMB,"1,280.00",3.0,"3,840.00"
0201003,日本20头岩手吉品鲍,位,RMB,880.00,8.0,"7,040.00"
0201305,日本制南非20头吉品鲍,位,RMB,480.00,6.0,"2,880.00"
0201311,八头南非鲍,只,RMB,550.00,6.0,"3,300.00"
