ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301001,玛卡绅士强身汤,位,RMB,268.00,53.0,"14,204.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,170.0,"23,460.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,94.0,"21,432.00"
0301006,猴枣炖野山龟,位,RMB,198.00,21.0,"4,158.00"
0301007,海胆刺芹汤,位,RMB,68.00,50.0,"3,400.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,97.0,"25,996.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,12.0,"3,576.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,19.0,"9,842.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,87.0,"11,136.00"
0301030,日本昆布炖野生刺参,位,RMB,198.00,4.0,792.00
0301032,凉瓜青茉莉花炖活辽参,位,RMB,128.00,45.0,"5,760.00"
0301036,五叶神沙虫干炖山斑,位,RMB,168.00,14.0,"2,352.00"
0301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,352.0,"40,128.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,20.0,"3,760.00"
0301039,昆布炖花胶,位,RMB,68.00,36.0,"2,448.00"
0301044,太子参玉竹炖花胶,位,RMB,180.00,13.0,"2,340.00"
0301045,羊肚菌炖鳘肚公汤（特惠价）,位,RMB,268.00,95.0,"25,460.00"
