ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801002,日本鱼沼米饭,位,RMB,10.00,47.0,470.00
0801022,泰国香米饭,位,RMB,6.00,455.0,"2,730.00"
0912003,日本芥辣,支,RMB,20.00,12.0,240.00
0912004,樱花豉油,支,RMB,48.00,9.0,432.00
0801003,五彩杂粮饭,位,RMB,15.00,123.0,"1,845.00"
0803011,鲜无花果炖雪莲子,位,RMB,38.00,20.0,760.00
0101001,青椒圈豉油,碗,RMB,8.00,1.0,8.00
0101002,蒜子辣酱油,碟,RMB,10.00,24.0,240.00
0101002,蒜子辣酱油,瓶,RMB,40.00,1.0,40.00
0101002,蒜子辣酱油,碗,RMB,15.00,6.0,90.00
0101006,原只鸡蛋,个,RMB,4.00,2.0,8.00
0101007,日本樱花虾酱,碟,RMB,20.00,10.0,200.00
0101007,日本樱花虾酱,瓶,RMB,90.00,1.0,90.00
0101008,泰椒豉油,碟,RMB,5.00,2.0,10.00
0101008,泰椒豉油,碗,RMB,10.00,3.0,30.00
0101011,瑶柱好味酱,碟,RMB,20.00,1.0,20.00
0101011,瑶柱好味酱,瓶,RMB,80.00,1.0,80.00
0101015,四宝小食（大厅）,份,RMB,30.00,9.0,270.00
0101019,VIP房四宝小食,份,RMB,40.00,370.0,"14,800.00"
0199001,白粥,中,RMB,40.00,2.0,80.00
0199001,白灼鲜露笋,例,RMB,88.00,1.0,88.00
0199001,百合野米煮淮山,中,RMB,196.00,2.0,392.00
0199001,煲淋白菜苔,例,RMB,58.00,4.0,232.00
0199001,煲淋白菜苔,位,RMB,28.00,4.0,112.00
0199001,煲淋白菜苔,中,RMB,116.00,1.0,116.00
0199001,北海道元贝蟹钳,位,RMB,128.00,3.0,384.00
0199001,北芪党参焖海豹蛇,例,RMB,268.00,1.0,268.00
0199001,薄荷叶,份,RMB,38.00,1.0,38.00
0199001,菜心粒炒饭,例,RMB,58.00,1.0,58.00
0199001,菜心粒滚粥,中,RMB,60.00,1.0,60.00
0199001,菜心粒粥,例,RMB,48.00,1.0,48.00
0199001,菜心粒粥,例,RMB,58.00,1.0,58.00
0199001,菜心粒粥,碗,RMB,18.00,1.0,18.00
0199001,菜心粒粥,位,RMB,28.00,2.0,56.00
0199001,葱烧汁捞粗面,例,RMB,58.00,2.0,116.00
0199001,葱油捞稻庭面,位,RMB,38.00,4.0,152.00
0199001,杜仲苁蓉炖珍珠鸡,例,RMB,228.00,1.0,228.00
0199001,鹅肝粒炒饭,例,RMB,58.00,1.0,58.00
0199001,鹅肝粒炒饭,例,RMB,68.00,1.0,68.00
0199001,番茄炒蛋,例,RMB,78.00,1.0,78.00
0199001,干烧鲜姬松茸炒土猪肉,例,RMB,128.00,1.0,128.00
0199001,干烧羊肚菌,例,RMB,398.00,1.0,398.00
0199001,红烧乳鸽,只,RMB,38.00,39.0,"1,482.00"
0199001,鸿运乳猪全体,只,RMB,780.00,4.0,"3,120.00"
0199001,虎皮尖椒豆豉肉,例,RMB,78.00,1.0,78.00
0199001,虎皮尖椒加豆豉,例,RMB,68.00,1.0,68.00
0199001,虎皮尖椒土猪肉,例,RMB,68.00,3.0,204.00
0199001,虎皮尖椒土猪肉,例,RMB,88.00,4.0,352.00
0199001,黄芪熟地焖羊腩煲,例,RMB,168.00,1.0,168.00
0199001,黄芪熟地羊腩煲,例,RMB,168.00,2.0,336.00
0199001,尖椒炒鸡蛋,例,RMB,68.00,2.0,136.00
0199001,姜葱捞粗面,例,RMB,58.00,1.0,58.00
0199001,姜葱捞粗面,例,RMB,60.00,1.0,60.00
0199001,姜葱捞粗面,中,RMB,120.00,2.0,240.00
0199001,腊味炒饭,例,RMB,68.00,1.0,68.00
0199001,栗子茸腊味炒饭,例,RMB,88.00,1.0,88.00
0199001,凉瓜青煮虾干,例,RMB,88.00,1.0,88.00
0199001,露笋百合炒螺片,中,RMB,336.00,2.0,672.00
0199001,露笋百合炒木耳香芹,例,RMB,88.00,1.0,88.00
0199001,芦笋炒土猪肉,例,RMB,88.00,1.0,88.00
0199001,萝卜干,碟,RMB,10.00,1.0,10.00
0199001,毛豆,份,RMB,28.00,1.0,28.00
0199001,木耳烧豆腐,例,RMB,68.00,1.0,68.00
0199001,浓鸡汤浸杂菜,中,RMB,116.00,9.0,"1,044.00"
0199001,浓鸡汤肉碎米线,位,RMB,38.00,7.0,266.00
0199001,拍蒜炒白菜苔,例,RMB,58.00,2.0,116.00
0199001,拍蒜炒白菜苔,位,RMB,28.00,9.0,252.00
0199001,清炒豆芽,例,RMB,58.00,1.0,58.00
0199001,清炒凉瓜,例,RMB,68.00,1.0,68.00
0199001,清炒露笋,例,RMB,88.00,2.0,176.00
0199001,清炒茄子,例,RMB,68.00,1.0,68.00
0199001,清焖淮山,例,RMB,68.00,1.0,68.00
0199001,清水稻庭面,位,RMB,38.00,1.0,38.00
0199001,清汤稻庭面,位,RMB,38.00,3.0,114.00
0199001,清汤面,位,RMB,38.00,1.0,38.00
0199001,清蒸水蛋,例,RMB,58.00,1.0,58.00
0199001,泉水炖羊肚菌,位,RMB,128.00,1.0,128.00
0199001,肉碎鱼汤米线,位,RMB,28.00,1.0,28.00
0199001,肉汁汤底,位,RMB,68.00,2.0,136.00
0199001,上汤白菜苔,位,RMB,28.00,4.0,112.00
0199001,上汤浸白菜苔,例,RMB,58.00,1.0,58.00
0199001,熟地焖羊腩煲,例,RMB,168.00,1.0,168.00
0199001,蒜茸炒胜瓜,例,RMB,68.00,1.0,68.00
0199001,蒜茸炒西兰花,例,RMB,88.00,1.0,88.00
0199001,泰椒碎炒老蛋,中,RMB,116.00,1.0,116.00
0199001,堂灼老虎斑汤底,个,RMB,40.00,1.0,40.00
