ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301001,玛卡绅士强身汤,位,RMB,268.00,71.0,"19,028.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,196.0,"27,048.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,142.0,"32,376.00"
0301006,猴枣炖野山龟,位,RMB,198.00,43.0,"8,514.00"
0301007,海胆刺芹汤,位,RMB,68.00,134.0,"9,112.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,80.0,"21,440.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,22.0,"6,556.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,9.0,"4,662.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,101.0,"12,928.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,51.0,"9,588.00"
0301038,陈皮莲子炖水鸭,例,RMB,198.00,5.0,990.00
0301039,昆布炖花胶,位,RMB,68.00,131.0,"8,908.00"
0301039,昆布炖花胶,位,RMB,88.00,15.0,"1,320.00"
0301041,鲜肉苁蓉炖飞天鸟,位,RMB,138.00,26.0,"3,588.00"
0301048,石黄皮玉竹炖鳄鱼肉,位,RMB,128.00,32.0,"4,096.00"
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,282.0,"36,096.00"
0301050,椰皇杞子炖鲨鱼胶,位,RMB,58.00,31.0,"1,798.00"
0301051,鲜天麻炖水鸭,位,RMB,48.00,19.0,912.00
