ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,21.0,"1,848.00"
0102002,洋葱小木耳,份,RMB,28.00,140.0,"3,920.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,13.0,"1,144.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,49.0,"4,312.00"
0102006,虫草花素鲍卷,份,RMB,48.00,25.0,"1,200.00"
0102007,麻酱万年青,份,RMB,38.00,168.0,"6,384.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,32.0,896.00
0102012,骨胶原东海黄鱼冻,份,RMB,48.00,3.0,144.00
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,22.0,"1,936.00"
0102014,青瓜段,份,RMB,25.00,2.0,50.00
0102028,拍青瓜,份,RMB,28.00,14.0,392.00
0102029,炸花生,份,RMB,28.00,10.0,280.00
0102031,炸腰果,例,RMB,28.00,18.0,504.00
0102036,开胃泡椒鸭舌,份,RMB,58.00,65.0,"3,770.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,38.0,"2,964.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,28.0,"2,184.00"
0102049,烟薰素鹅卷,份,RMB,48.00,33.0,"1,584.00"
0102051,水晶鸭舌,份,RMB,58.00,28.0,"1,624.00"
0102057,果香三拼,份,RMB,38.00,49.0,"1,862.00"
0102058,红富士温拌翡翠鲍片,份,RMB,98.00,2.0,196.00
0102059,万年青拼素鹅卷,份,RMB,38.00,3.0,114.00
0102060,洋葱木耳拼双豆,份,RMB,28.00,10.0,280.00
0102061,海蜇丝拼醋泡花生,份,RMB,48.00,2.0,96.00
1201099,馆藏本草凉菜B（套餐）,位,RMB,79.87,132.0,"10,489.35"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.58,50.0,"1,279.00"
1201175,风味凉菜三小碟(8月套餐),份,RMB,49.99,7.0,349.93
