ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,82.0,"3,116.00"
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,57.0,"2,166.00"
0801018,樱花虾葱油稻庭冷面（半价）,位,RMB,19.00,31.0,589.00
0801021,青柠檬稻庭冷面,位,RMB,38.00,6.0,228.00
0802001,人参灌汤包,半打,RMB,48.00,151.0,"7,248.00"
0802003,黄耳野菌饺,件,RMB,10.00,200.0,"2,000.00"
0802004,青芥石蚝卷,件,RMB,10.00,57.0,570.00
0802005,松茸莲藕酥,件,RMB,12.00,241.0,"2,892.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,15.0,450.00
0802012,松皮菜肉包,件,RMB,10.00,206.0,"2,060.00"
0802013,洛神花果冻,件,RMB,10.00,3.0,30.00
0802014,寿桃（大）,只,RMB,18.00,12.0,216.00
0802015,寿桃（小）,只,RMB,8.00,58.0,464.00
0802017,蟹粉小笼包,只,RMB,30.00,68.0,"2,040.00"
0802038,朱古力心太软,位,RMB,18.00,17.0,306.00
0802038,朱古力心太软,位,RMB,20.00,9.0,180.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,1.0,20.00
0802042,意大利提拉米苏,位,RMB,20.00,60.0,"1,200.00"
0802043,欧式芝士蛋糕,位,RMB,26.00,1.0,26.00
0802044,美式芝士饼,位,RMB,22.00,5.0,110.00
0802046,法式焦糖炖蛋,位,RMB,16.00,32.0,512.00
0802047,传统姜撞奶,位,RMB,16.00,47.0,752.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,6.0,288.00
0802061,松茸莲藕酥（半价）,件,RMB,6.00,122.0,732.00
0802066,焦糖布甸蛋糕,位,RMB,20.00,58.0,"1,160.00"
0802067,蒸点四式拼,份,RMB,48.00,4.0,192.00
0802068,美点三品拼,份,RMB,28.00,3.0,84.00
0803003,杨枝甘露,位,RMB,20.00,9.0,180.00
0803016,百合莲子炖秋梨,位,RMB,38.00,54.0,"2,052.00"
0803017,羔烧银杏局椰皇,位,RMB,68.00,53.0,"3,604.00"
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,101.0,"1,818.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,135.0,"3,510.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,102.0,"1,836.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,37.0,"1,110.00"
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,66.0,"1,716.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,87.0,"1,131.00"
0806013,法式蛋挞（中）,份,RMB,18.00,97.0,"1,746.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,59.0,"1,062.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,85.0,"1,530.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,120.0,"2,640.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,31.0,558.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,93.0,"2,418.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,139.0,"3,058.00"
0806021,健康麻薯包（中）,份,RMB,18.00,43.0,774.00
0807001,黑松露素粉果（特）,份,RMB,26.00,157.0,"4,082.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,124.0,"3,720.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,83.0,"1,826.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,304.0,"7,904.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,135.0,"3,510.00"
0808004,脆皮野菌肠（大）,份,RMB,22.00,72.0,"1,584.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,68.0,884.00
0808013,名酱红米肠（小）,份,RMB,13.00,72.0,936.00
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,42.0,546.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,66.0,"1,188.00"
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,34.0,612.00
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,24.0,528.00
0809007,洛神花果冻（中）,份,RMB,18.00,11.0,198.00
0899001,蛋白杏仁茶,位,RMB,18.00,1.0,18.00
0899001,美点三品拼,份,RMB,10.00,1.0,10.00
0899001,蒸点四式拼,份,RMB,16.00,1.0,16.00
1201105,意大利提拉米苏（套餐）,位,RMB,21.64,118.0,"2,553.51"
1201139,雪山菜肉包（套餐）,份,RMB,9.84,50.0,492.00
1201184,美点双拼（8月套餐）,份,RMB,51.88,7.0,363.16
0501091,忌廉瑶柱局秋茄,例,RMB,76.00,5.0,380.00
0801007,龙虾汤稻庭面,位,RMB,38.00,716.0,"27,208.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,86.0,"2,236.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,28.67,132.0,"3,765.35"
