ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801002,日本鱼沼米饭,位,RMB,10.00,411.0,"4,110.00"
0912003,日本芥辣,支,RMB,20.00,6.0,120.00
0912004,樱花豉油,支,RMB,48.00,5.0,240.00
0801003,五彩杂粮饭,位,RMB,15.00,137.0,"2,055.00"
0803011,鲜无花果炖雪莲子,位,RMB,38.00,19.0,722.00
0101001,青椒圈豉油,碗,RMB,8.00,1.0,8.00
0101002,蒜子辣酱油,碟,RMB,10.00,19.0,190.00
0101002,蒜子辣酱油,瓶,RMB,40.00,2.0,80.00
0101002,蒜子辣酱油,碗,RMB,15.00,4.0,60.00
0101007,日本樱花虾酱,碟,RMB,20.00,3.0,60.00
0101007,日本樱花虾酱,瓶,RMB,90.00,2.0,180.00
0101008,泰椒豉油,碟,RMB,5.00,3.0,15.00
0101008,泰椒豉油,碗,RMB,10.00,7.0,70.00
0101011,瑶柱好味酱,碟,RMB,20.00,4.0,80.00
0101011,瑶柱好味酱,瓶,RMB,80.00,2.0,160.00
0101012,徐博馆香葱酱,瓶,RMB,30.00,2.0,60.00
0101013,小食,份,RMB,15.00,1.0,15.00
0101015,四宝小食（大厅）,份,RMB,30.00,11.0,330.00
0101019,VIP房四宝小食,份,RMB,40.00,302.0,"12,080.00"
0101019,VIP房四宝小食,份,RMB,48.00,1.0,48.00
0199001,白粥,例,RMB,40.00,1.0,40.00
0199001,白灼露笋,例,RMB,88.00,1.0,88.00
0199001,菜心粒炒饭,例,RMB,58.00,1.0,58.00
0199001,陈醋,碗,RMB,10.00,1.0,10.00
0199001,豉油王炒粗面,例,RMB,48.00,1.0,48.00
0199001,葱油捞稻庭面,位,RMB,38.00,20.0,760.00
0199001,稻庭面,包,RMB,180.00,1.0,180.00
0199001,斗门虾干浸凉瓜,份,RMB,17.70,1.0,17.70
0199001,豆豉蒜头爆虎皮尖椒土猪肉,例,RMB,68.00,1.0,68.00
0199001,鹅肝粒炒饭,例,RMB,58.00,4.0,232.00
0199001,风味凉菜拼盘,位,RMB,38.00,43.0,"1,634.00"
0199001,干烧什菌,中,RMB,176.00,1.0,176.00
0199001,海鲜汤,位,RMB,138.00,2.0,276.00
0199001,海蜇丝拼醋泡花生,份,RMB,16.00,1.0,16.00
0199001,黑木耳百合兰豆,位,RMB,40.00,1.0,40.00
0199001,红油小鹿肉,份,RMB,68.00,1.0,68.00
0199001,鸿运化皮烧肉,例,RMB,88.00,6.0,528.00
0199001,虎皮尖椒,例,RMB,68.00,1.0,68.00
