ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,191.0,"18,718.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,12.0,"2,016.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,7.0,616.00
0401008,脆烧星斑扒,位,RMB,138.00,62.0,"8,556.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,7.0,896.00
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,55.0,"5,940.00"
0401018,金柚手撕龙虾,位,RMB,138.00,148.0,"20,424.00"
0401018,金柚手撕龙虾,位,RMB,168.00,5.0,840.00
0401019,火山石烧星斑头腩,位,RMB,128.00,10.0,"1,280.00"
0401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,59.0,"3,186.00"
0401029,脆烧星斑扒（半价）,位,RMB,69.00,114.0,"7,866.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,7.0,"1,176.00"
1201025,陈皮丝蒸龙趸球（6月套餐）,份,RMB,84.61,50.0,"4,230.50"
1201033,法式龙虾扒（2月套餐）,位,RMB,155.20,14.0,"2,172.84"
1201199,鲜胡椒浸东星（9月套餐）,位,RMB,107.85,14.0,"1,509.94"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,114.0,"20,520.00"
0606002,娃娃鱼（特惠价）,斤,RMB,368.00,11.0,"4,048.00"
0601002,老鼠斑,斤,RMB,438.00,1.1,481.80
0601002,老鼠斑,斤,RMB,538.00,6.8,"3,658.40"
0601003,东星斑,斤,RMB,268.00,12.1,"3,242.80"
0601003,东星斑,斤,RMB,328.00,1.9,623.20
0601003,东星斑,斤,RMB,368.00,3.3,"1,214.40"
0601003,东星斑,斤,RMB,468.00,37.6,"17,596.80"
0601004,红玫瑰,斤,RMB,398.00,5.5,"2,189.00"
0601004,红玫瑰,斤,RMB,438.00,19.8,"8,672.40"
0601022,蓝东星,斤,RMB,188.00,26.3,"4,944.40"
0601025,珍珠龙趸,斤,RMB,98.00,26.4,"2,587.20"
0601029,红瓜子,斤,RMB,438.00,2.7,"1,182.60"
0602001,花龙虾,斤,RMB,568.00,13.8,"7,838.40"
0602003,龙虾仔,斤,RMB,438.00,15.0,"6,570.00"
0602004,波士顿龙虾,斤,RMB,198.00,3.3,653.40
0602004,波士顿龙虾,斤,RMB,268.00,5.2,"1,393.60"
0602006,斑马虾,斤,RMB,328.00,40.2,"13,185.60"
0602008,大虾皇,斤,RMB,248.00,21.1,"5,232.80"
0602009,沙虾,斤,RMB,98.00,2.0,196.00
0602010,大红节虾,斤,RMB,168.00,6.0,"1,008.00"
0602017,花虾,斤,RMB,168.00,10.0,"1,680.00"
0602018,蓝龙虾,斤,RMB,328.00,13.4,"4,395.20"
0603001,象拔蚌,斤,RMB,368.00,2.0,736.00
0603001,象拔蚌,斤,RMB,438.00,22.5,"9,855.00"
0603003,5头大连鲍,斤,RMB,330.00,0.4,132.00
0603006,圣子皇,斤,RMB,138.00,4.0,552.00
0603014,美国响螺,斤,RMB,268.00,5.1,"1,366.80"
0603015,新西兰生蚝,只,RMB,38.00,20.0,760.00
0603016,加拿大生蚝,只,RMB,48.00,117.0,"5,616.00"
0603016,加拿大生蚝,只,RMB,68.00,13.0,884.00
0603017,珍宝蚝,只,RMB,60.00,20.0,"1,200.00"
0604002,阳澄湖大闸蟹（公）,只,RMB,128.00,4.0,512.00
0604002,阳澄湖大闸蟹（公）,只,RMB,138.00,11.0,"1,518.00"
0604002,阳澄湖大闸蟹（公）,只,RMB,168.00,164.0,"27,552.00"
0604003,红毛蟹,斤,RMB,238.00,2.2,523.60
1201177,上汤牛油波士顿龙虾(8月套餐),份,RMB,290.52,7.0,"2,033.64"
1201181,原条蓝东星二食(8月套餐),条,RMB,200.90,7.0,"1,406.30"
0401015,泡椒私房焖龙趸,例,RMB,168.00,7.0,"1,176.00"
0605002,开刀东星头腩,斤,RMB,298.00,21.9,"6,526.20"
0605003,开刀苏眉咀,斤,RMB,838.00,6.8,"5,698.40"
0605004,开刀苏眉肉,斤,RMB,680.00,1.5,"1,020.00"
0605004,开刀苏眉肉,斤,RMB,780.00,13.4,"10,452.00"
0605005,开刀苏眉头腩,斤,RMB,680.00,1.8,"1,224.00"
0605005,开刀苏眉头腩,斤,RMB,780.00,11.2,"8,736.00"
0605006,开刀龙趸,斤,RMB,138.00,46.9,"6,472.20"
0605006,开刀龙趸,斤,RMB,168.00,4.5,756.00
0605007,开刀黄皮老虎斑,斤,RMB,368.00,13.3,"4,894.40"
0605008,开刀龙趸皇,斤,RMB,198.00,20.5,"4,059.00"
0605017,开刀龙趸翅,斤,RMB,238.00,1.0,238.00
