ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,17.0,"2,516.00"
0301001,玛卡绅士强身汤,位,RMB,268.00,32.0,"8,576.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,137.0,"18,906.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,102.0,"23,256.00"
0301006,猴枣炖野山龟,位,RMB,198.00,27.0,"5,346.00"
0301007,海胆刺芹汤,位,RMB,68.00,57.0,"3,876.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,91.0,"24,388.00"
0301022,羊肚菌炖花胶,位,RMB,328.00,1.0,328.00
0301024,羊肚菌炖原条辽参,位,RMB,298.00,31.0,"9,238.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,73.0,"9,344.00"
0301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,68.0,"7,752.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,48.0,"9,024.00"
0301038,陈皮莲子炖水鸭,例,RMB,228.00,1.0,228.00
0301039,昆布炖花胶,位,RMB,68.00,146.0,"9,928.00"
0301039,昆布炖花胶,位,RMB,80.00,6.0,480.00
0301039,昆布炖花胶,位,RMB,128.00,4.0,512.00
0301039,昆布炖花胶,位,RMB,180.00,2.0,360.00
0301041,鲜肉苁蓉炖飞天鸟,位,RMB,138.00,22.0,"3,036.00"
0301045,羊肚菌炖鳘肚公汤（特惠价）,位,RMB,268.00,28.0,"7,504.00"
0301048,石黄皮玉竹炖鳄鱼肉,位,RMB,128.00,47.0,"6,016.00"
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,231.0,"29,568.00"
0301049,青榄椰皇炖鹧鸪,位,RMB,138.00,10.0,"1,380.00"
0301050,椰皇杞子炖鲨鱼胶,位,RMB,58.00,25.0,"1,450.00"
0301051,鲜天麻炖水鸭,位,RMB,48.00,13.0,624.00
