ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,61.0,"9,028.00"
0301001,玛卡绅士强身汤,位,RMB,268.00,22.0,"5,896.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,122.0,"16,836.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,136.0,"31,008.00"
0301006,猴枣炖野山龟,位,RMB,198.00,14.0,"2,772.00"
0301007,海胆刺芹汤,位,RMB,68.00,65.0,"4,420.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,178.0,"47,704.00"
0301024,羊肚菌炖原条辽参,位,RMB,298.00,21.0,"6,258.00"
0301029,羊肚菌炖鳘肚公,位,RMB,518.00,9.0,"4,662.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,60.0,"7,680.00"
0301030,日本昆布炖野生刺参,位,RMB,168.00,2.0,336.00
0301032,凉瓜青茉莉花炖活辽参,位,RMB,128.00,20.0,"2,560.00"
0301037,金山黑金刚牛黄炖螺头（半价）,位,RMB,114.00,55.0,"6,270.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,29.0,"5,452.00"
0301039,昆布炖花胶,位,RMB,68.00,144.0,"9,792.00"
0301039,昆布炖花胶,位,RMB,88.00,2.0,176.00
0301040,菊花桑叶炖海皇,例,RMB,228.00,2.0,456.00
0301048,石黄皮玉竹炖鳄鱼肉,位,RMB,128.00,70.0,"8,960.00"
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,133.0,"17,024.00"
