ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,22.0,836.00
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,80.0,"3,040.00"
0802001,人参灌汤包,半打,RMB,48.00,270.0,"12,960.00"
0802003,黄耳野菌饺,件,RMB,10.00,419.0,"4,190.00"
0802004,青芥石蚝卷,件,RMB,10.00,111.0,"1,110.00"
0802005,松茸莲藕酥,件,RMB,12.00,552.0,"6,624.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,21.0,630.00
0802012,松皮菜肉包,件,RMB,10.00,327.0,"3,270.00"
0802013,洛神花果冻,件,RMB,10.00,36.0,360.00
0802014,寿桃（大）,只,RMB,18.00,12.0,216.00
0802038,朱古力心太软,位,RMB,18.00,41.0,738.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,4.0,80.00
0802042,意大利提拉米苏,位,RMB,20.00,174.0,"3,480.00"
0802044,美式芝士饼,位,RMB,22.00,17.0,374.00
0802046,法式焦糖炖蛋,位,RMB,16.00,34.0,544.00
0802047,传统姜撞奶,位,RMB,16.00,46.0,736.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,2.0,96.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,6.0,288.00
0802066,焦糖布甸蛋糕,位,RMB,20.00,50.0,"1,000.00"
0802067,蒸点四式拼,份,RMB,48.00,96.0,"4,608.00"
0802068,美点三品拼,份,RMB,28.00,55.0,"1,540.00"
0802070,咖啡布丁盆栽,份,RMB,26.00,36.0,936.00
0802071,香草汁煎堆,份,RMB,48.00,24.0,"1,152.00"
0803001,西藏甘草雪莲子,位,RMB,20.00,28.0,560.00
0803003,杨枝甘露,位,RMB,20.00,11.0,220.00
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,107.0,"1,926.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,176.0,"4,576.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,120.0,"2,160.00"
0806010,黑竹盐脆虾包（特）（半价）,份,RMB,13.00,375.0,"4,875.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,137.0,"1,781.00"
0806013,法式蛋挞（中）（半价）,份,RMB,9.00,343.0,"3,087.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,69.0,"1,242.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,72.0,"1,296.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,140.0,"3,080.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,41.0,738.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,94.0,"2,444.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,153.0,"3,366.00"
0806023,蘑菇包（顶）,份,RMB,30.00,139.0,"4,170.00"
0806024,墨汁辽参酥（顶）,份,RMB,30.00,23.0,690.00
0806025,酥皮咖喱局牛崧（特）,份,RMB,26.00,25.0,650.00
0806026,日本吉品鲍鱼酥,位,RMB,48.00,16.0,768.00
0807001,黑松露素粉果（特）,份,RMB,26.00,134.0,"3,484.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,181.0,"5,430.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,113.0,"2,486.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,427.0,"11,102.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,139.0,"3,614.00"
0808004,脆皮野菌肠（大）,份,RMB,22.00,78.0,"1,716.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,104.0,"1,352.00"
0808013,名酱红米肠（小）,份,RMB,13.00,101.0,"1,313.00"
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,45.0,585.00
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,54.0,972.00
0809008,焦糖布甸。（半价）,份,RMB,24.00,155.0,"3,720.00"
0899001,蛋糕餐具,份,RMB,5.00,1.0,5.00
0899001,蜂巢糕,件,RMB,6.00,1.0,6.00
0899001,绿茶蛋糕,位,RMB,20.00,2.0,40.00
0899001,人参灌汤包,件,RMB,8.00,2.0,16.00
0899001,沙参红枣鸡脚,份,RMB,26.00,1.0,26.00
0899001,香草汁煎堆,件,RMB,8.00,3.0,24.00
0899001,小笼包,件,RMB,8.00,4.0,32.00
0899001,小笼包,件,RMB,10.00,3.0,30.00
1201021,绿茶蛋糕(2月套餐),份,RMB,36.86,9.0,331.74
1201215,意大利提拉米苏（3月套餐）,位,RMB,11.81,148.0,"1,748.16"
1201219,雪山菜肉包（3月套餐）,份,RMB,10.03,50.0,501.50
0801007,龙虾汤稻庭面,位,RMB,38.00,837.0,"31,806.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,83.0,"2,158.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,30.07,148.0,"4,449.92"
