ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301001,玛卡绅士强身汤,位,RMB,268.00,46.0,"12,328.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,306.0,"42,228.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,211.0,"48,108.00"
0301006,猴枣炖野山龟,位,RMB,198.00,19.0,"3,762.00"
0301007,海胆刺芹汤,位,RMB,68.00,98.0,"6,664.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,109.0,"29,212.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,226.0,"28,928.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,38.0,"7,144.00"
0301039,昆布炖花胶,位,RMB,68.00,233.0,"15,844.00"
0301039,昆布炖花胶,位,RMB,88.00,2.0,176.00
0301039,昆布炖花胶,位,RMB,128.00,2.0,256.00
0301045,羊肚菌炖鳘肚公汤（特惠价）,位,RMB,268.00,22.0,"5,896.00"
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,26.0,"3,328.00"
0301055,金虫草石斛炖全鸽,例,RMB,198.00,43.0,"8,514.00"
0301056,五叶神炖山坑鱼,例,RMB,168.00,32.0,"5,376.00"
0301057,刺芹老豆腐炖北极海龙头,例,RMB,178.00,13.0,"2,314.00"
