ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0101001,青椒圈豉油,碟,RMB,5.00,1.0,5.00
0101001,青椒圈豉油,碗,RMB,8.00,3.0,24.00
0101002,蒜子辣酱油,碟,RMB,10.00,16.0,160.00
0101002,蒜子辣酱油,碗,RMB,15.00,3.0,45.00
0101006,原只鸡蛋,个,RMB,5.00,2.0,10.00
0101007,日本樱花虾酱,碟,RMB,20.00,10.0,200.00
0101007,日本樱花虾酱,瓶,RMB,90.00,1.0,90.00
0101008,泰椒豉油,碟,RMB,5.00,2.0,10.00
0101008,泰椒豉油,碗,RMB,10.00,8.0,80.00
0101011,瑶柱好味酱,碟,RMB,20.00,8.0,160.00
0101011,瑶柱好味酱,瓶,RMB,80.00,5.0,400.00
0101012,徐博馆香葱酱,碟,RMB,10.00,1.0,10.00
0101015,四宝小食（大厅）,份,RMB,30.00,6.0,180.00
0101019,VIP房四宝小食,份,RMB,40.00,380.0,"15,200.00"
0199001,白粥,例,RMB,40.00,1.0,40.00
0199001,白粥,中,RMB,76.00,2.0,152.00
0199001,北极贝,份,RMB,98.00,1.0,98.00
0199001,菜心粒炒饭,例,RMB,58.00,2.0,116.00
0199001,菜心粒炒饭,中,RMB,116.00,1.0,116.00
0199001,菜心粒粥,例,RMB,48.00,2.0,96.00
0199001,菜远清水稻庭面,位,RMB,38.00,3.0,114.00
0199001,陈皮淮山百合炖瘦肉,中,RMB,376.00,2.0,752.00
0199001,葱烧捞粗面,例,RMB,58.00,1.0,58.00
0199001,葱油捞稻庭面,位,RMB,38.00,1.0,38.00
0199001,粗面底,例,RMB,40.00,1.0,40.00
0199001,碟头饭,份,RMB,58.00,1.0,58.00
0199001,鹅肝粒炒饭,例,RMB,58.00,3.0,174.00
0199001,鹅肝粒炒饭,例,RMB,68.00,7.0,476.00
0199001,鹅肝粒炒饭,中,RMB,136.00,1.0,136.00
0199001,干炒斋河,中,RMB,116.00,2.0,232.00
0199001,果汁局猪扒,中,RMB,176.00,2.0,352.00
0199001,花生焖猪手,例,RMB,98.00,1.0,98.00
0199001,尖椒丝炒杂菌,例,RMB,98.00,1.0,98.00
0199001,煎酿辣椒,例,RMB,78.00,1.0,78.00
0199001,酱萝卜,份,RMB,28.00,1.0,28.00
0199001,酱萝卜,份,RMB,38.00,1.0,38.00
0199001,酱萝卜,例,RMB,38.00,1.0,38.00
0199001,椒圈,碗,RMB,10.00,1.0,10.00
0199001,椒盐阿拉斯加蟹,份,RMB,336.00,2.0,672.00
0199001,辣椒炒蛋,例,RMB,68.00,1.0,68.00
0199001,辣椒炒鸡蛋,中,RMB,136.00,1.0,136.00
0199001,兰豆炒淮山,例,RMB,78.00,1.0,78.00
0199001,莲藕焖猪手,例,RMB,128.00,1.0,128.00
0199001,凉菜叁拼,位,RMB,28.00,19.0,532.00
0199001,拍蒜,碗,RMB,10.00,1.0,10.00
0199001,荞菜炒河虾仔,位,RMB,38.00,24.0,912.00
0199001,青榄炖海螺,位,RMB,180.00,3.0,540.00
0199001,清炒百合,中,RMB,156.00,1.0,156.00
0199001,清炒露笋,例,RMB,88.00,1.0,88.00
0199001,清炒荞菜,例,RMB,68.00,2.0,136.00
0199001,清炒荞菜,例,RMB,78.00,3.0,234.00
0199001,清炒酸菜,例,RMB,58.00,1.0,58.00
0199001,清炖羊肚菌,位,RMB,128.00,4.0,512.00
0199001,清汤稻庭面,位,RMB,38.00,1.0,38.00
0199001,清蒸豆腐,例,RMB,68.00,1.0,68.00
0199001,清蒸水蛋,例,RMB,68.00,4.0,272.00
0199001,日式煎春笋,份,RMB,58.00,1.0,58.00
0199001,日式铁板煎韩国生蚝,只,RMB,18.00,3.0,54.00
0199001,上汤艾叶,例,RMB,68.00,1.0,68.00
0199001,烧鹅,半只,RMB,180.00,1.0,180.00
0199001,生浸白切鸡,只,RMB,188.00,2.0,376.00
0199001,生烧金仓鱼,例,RMB,88.00,1.0,88.00
0199001,酸萝卜,碟,RMB,10.00,1.0,10.00
0199001,泰椒粒菜甫炒蛋,例,RMB,68.00,1.0,68.00
0199001,泰椒粒炒滑蛋,例,RMB,68.00,1.0,68.00
0199001,泰椒粒炒老蛋,例,RMB,68.00,1.0,68.00
0199001,五谷煮大连鲍,中,RMB,256.00,2.0,512.00
0199001,西芹百合炒淮山,例,RMB,78.00,1.0,78.00
0199001,西芹百合炒木耳,例,RMB,88.00,1.0,88.00
0199001,西芹百合淮山,例,RMB,68.00,1.0,68.00
0199001,西芹百合淮山,例,RMB,88.00,1.0,88.00
0199001,鲜忌廉瑶柱局蟹肉,位,RMB,58.00,6.0,348.00
0199001,鲜茄蛋花汤,位,RMB,68.00,1.0,68.00
0199001,蟹黄蟹肉扒露笋,例,RMB,148.00,5.0,740.00
0199001,羊肚菌炖肉汁,位,RMB,128.00,4.0,512.00
0199001,野米煮淮山,例,RMB,88.00,5.0,440.00
0199001,野生椒炒蛋,例,RMB,68.00,1.0,68.00
0199001,樱花虾安康鱼肝炒饭,例,RMB,68.00,2.0,136.00
0199001,樱花虾炒饭,例,RMB,68.00,1.0,68.00
0199001,蒸肉饼,例,RMB,68.00,1.0,68.00
0199001,蒸水蛋,例,RMB,68.00,1.0,68.00
0199001,自带食品加工费,份,RMB,100.00,1.0,100.00
0203001,柚子汁北海道刺参,位,RMB,298.00,15.0,"4,470.00"
0203002,京葱烧日本北海道60头刺参,位,RMB,298.00,132.0,"39,336.00"
0203003,金瓜五谷烩关西刺参,位,RMB,128.00,57.0,"7,296.00"
0203004,野米煮辽参,位,RMB,298.00,1.0,298.00
0204001,金兰花汁扣三头印度鳘肚公,位,RMB,980.00,3.0,"2,940.00"
0204002,鲍汁烩花胶公,位,RMB,380.00,39.0,"14,820.00"
0204003,金兰花汁烩龙趸皮,位,RMB,388.00,35.0,"13,580.00"
0204007,五谷烩花胶粒,位,RMB,128.00,5.0,640.00
0501001,松子仁黄豆炒拆骨猪手,例,RMB,68.00,31.0,"2,108.00"
0501002,青苹果黑蒜澳洲牛肉粒,例,RMB,128.00,78.0,"9,984.00"
0501011,紫姜砂窝牛仔骨,例,RMB,128.00,61.0,"7,808.00"
