ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,32.0,"2,816.00"
0102002,洋葱小木耳,份,RMB,28.00,180.0,"5,040.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,7.0,616.00
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,57.0,"5,016.00"
0102006,虫草花素鲍卷,份,RMB,48.00,41.0,"1,968.00"
0102007,麻酱万年青,份,RMB,38.00,349.0,"13,262.00"
0102008,三文鱼,客,RMB,88.00,11.0,968.00
0102011,香醋花生配五香黑豆,份,RMB,28.00,80.0,"2,240.00"
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,12.0,"1,056.00"
0102023,三文鱼腩,件,RMB,25.00,34.0,850.00
0102028,拍青瓜,份,RMB,28.00,30.0,840.00
0102029,炸花生,份,RMB,28.00,21.0,588.00
0102031,炸腰果,例,RMB,28.00,23.0,644.00
0102034,XO酱香草捞螺片,份,RMB,88.00,29.0,"2,552.00"
0102035,鱼籽酱何首乌温泉蛋,份,RMB,38.00,82.0,"3,116.00"
0102035,鱼籽酱何首乌温泉蛋,份,RMB,88.00,9.0,792.00
0102036,开胃泡椒鸭舌,份,RMB,58.00,118.0,"6,844.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,91.0,"7,098.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,66.0,"5,148.00"
0102043,桂花糯米藕,份,RMB,38.00,4.0,152.00
0102044,蓝梅山药,份,RMB,48.00,9.0,432.00
0102049,烟薰素鹅卷,份,RMB,48.00,42.0,"2,016.00"
0102051,水晶鸭舌,份,RMB,58.00,54.0,"3,132.00"
1201016,珍中凉菜三拼(2月套餐),份,RMB,58.54,13.0,761.02
1201099,馆藏本草凉菜（套餐）,位,RMB,83.76,165.0,"13,820.28"
1201166,珍品凉菜双拼（套餐10月）,份,RMB,30.68,55.0,"1,687.40"
