ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0810018,西藏甘草绿豆沙,份,RMB,22.00,7.0,154.00
0810020,美式芝士蛋糕,份,RMB,22.00,2.0,44.00
0810020,美式芝士蛋糕,份,RMB,38.00,1.0,38.00
0810021,黑森林水果蛋糕,份,RMB,22.00,4.0,88.00
0801007,龙虾汤稻庭面,位,RMB,38.00,958.0,"36,404.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,124.0,"3,224.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,30.07,165.0,"4,960.94"
0802001,人参灌汤包,半打,RMB,48.00,328.0,"15,744.00"
0802003,黄耳野菌饺,件,RMB,10.00,364.0,"3,640.00"
0802004,青芥石蚝卷,件,RMB,10.00,123.0,"1,230.00"
0802005,松茸莲藕酥,件,RMB,12.00,679.0,"8,148.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,15.0,450.00
0802012,松皮菜肉包,件,RMB,10.00,307.0,"3,070.00"
0802013,洛神花果冻,件,RMB,10.00,24.0,240.00
0802014,寿桃（大）,只,RMB,18.00,12.0,216.00
0802031,家乡艾糍,半打,RMB,48.00,0.5,24.00
0802031,家乡艾糍,件,RMB,8.00,54.0,432.00
0802038,朱古力心太软,位,RMB,18.00,37.0,666.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,6.0,120.00
0802042,意大利提拉米苏,位,RMB,20.00,112.0,"2,240.00"
0802044,美式芝士饼,位,RMB,22.00,17.0,374.00
0802046,法式焦糖炖蛋,位,RMB,16.00,36.0,576.00
0802047,传统姜撞奶,位,RMB,16.00,44.0,704.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,3.0,204.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,5.0,240.00
0802066,焦糖布甸蛋糕,位,RMB,20.00,49.0,980.00
0802067,蒸点四式拼,份,RMB,48.00,105.0,"5,040.00"
0802068,美点三品拼,份,RMB,28.00,53.0,"1,484.00"
0802069,山药茯苓包,件,RMB,10.00,9.0,90.00
0802070,咖啡布丁盆栽,份,RMB,26.00,34.0,884.00
0802071,香草汁煎堆,份,RMB,48.00,40.0,"1,920.00"
0803001,西藏甘草雪莲子,位,RMB,20.00,22.0,440.00
0803003,杨枝甘露,位,RMB,20.00,13.0,260.00
0803008,黑芝麻汤丸,位,RMB,16.00,92.0,"1,472.00"
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,111.0,"1,998.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,164.0,"4,264.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,126.0,"2,268.00"
0806010,黑竹盐脆虾包（特）（半价）,份,RMB,13.00,374.0,"4,862.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,155.0,"2,015.00"
0806013,法式蛋挞（中）（半价）,份,RMB,9.00,374.0,"3,366.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,93.0,"1,674.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,65.0,"1,170.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,151.0,"3,322.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,68.0,"1,224.00"
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,125.0,"3,250.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,144.0,"3,168.00"
0806023,蘑菇包（顶）,份,RMB,30.00,136.0,"4,080.00"
0806024,墨汁辽参酥（顶）,份,RMB,30.00,36.0,"1,080.00"
0806025,酥皮咖喱局牛崧（特）,份,RMB,26.00,29.0,754.00
0806026,日本吉品鲍鱼酥,位,RMB,48.00,6.0,288.00
0807001,黑松露素粉果（特）,份,RMB,26.00,152.0,"3,952.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,224.0,"6,720.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,138.0,"3,036.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,460.0,"11,960.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,176.0,"4,576.00"
0808004,脆皮野菌肠（大）,份,RMB,22.00,75.0,"1,650.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,72.0,936.00
0808013,名酱红米肠（小）,份,RMB,13.00,113.0,"1,469.00"
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,55.0,715.00
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,48.0,864.00
0809008,焦糖布甸。（半价）,份,RMB,24.00,172.0,"4,128.00"
0899001,法式蛋挞,份,RMB,18.00,1.0,18.00
0899001,红豆沙汤丸,中,RMB,156.00,3.0,468.00
0899001,焦糖布甸。,份,RMB,48.00,1.0,48.00
0899001,焦糖蜂巢糕,打,RMB,10.00,6.0,59.99
0899001,焦糖蜂巢糕,件,RMB,8.00,6.0,48.00
0899001,咖啡布丁盆栽,个,RMB,10.00,1.0,10.00
0899001,磨菇包,件,RMB,10.00,24.0,240.00
0899001,人参灌汤包,件,RMB,8.00,12.0,96.00
0899001,沙参红枣鸡脚,份,RMB,26.00,1.0,26.00
0899001,沙参红枣鸡脚（特）,份,RMB,26.00,1.0,26.00
0899001,生日腊烛,包,RMB,5.00,1.0,5.00
0899001,松皮菜肉包,打,RMB,15.00,6.0,89.98
0899001,香草汁煎堆,件,RMB,8.00,37.0,296.00
0899001,椰汁西米露,中,RMB,120.00,1.0,120.00
1201021,绿茶蛋糕(2月套餐),份,RMB,36.12,13.0,469.58
1201215,意大利提拉米苏（3月套餐）,位,RMB,11.81,165.0,"1,948.89"
1201219,雪山菜肉包（3月套餐）,份,RMB,10.03,55.0,551.65
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,49.0,"1,862.00"
