ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0301001,玛卡绅士强身汤,位,RMB,268.00,66.0,"17,688.00"
0301004,石斛灵芝炖地龙,位,RMB,138.00,246.0,"33,948.00"
0301005,金山黑金刚牛黄炖螺头,位,RMB,228.00,211.0,"48,108.00"
0301006,猴枣炖野山龟,位,RMB,198.00,22.0,"4,356.00"
0301007,海胆刺芹汤,位,RMB,68.00,72.0,"4,896.00"
0301022,羊肚菌炖花胶,位,RMB,268.00,55.0,"14,740.00"
0301030,日本昆布炖野生刺参,位,RMB,128.00,182.0,"23,296.00"
0301038,陈皮莲子炖水鸭,例,RMB,188.00,54.0,"10,152.00"
0301039,昆布炖花胶,位,RMB,68.00,299.0,"20,332.00"
0301039,昆布炖花胶,位,RMB,108.00,6.0,648.00
0301049,青榄椰皇炖鹧鸪,位,RMB,128.00,111.0,"14,208.00"
0301053,当归白术红枣炖水鱼裙,位,RMB,168.00,1.0,168.00
0301054,石柱参炖肉汁,位,RMB,128.00,51.0,"6,528.00"
0301055,金虫草石斛炖全鸽,例,RMB,198.00,45.0,"8,910.00"
0301056,五叶神炖山坑鱼,例,RMB,168.00,55.0,"9,240.00"
