id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
102001,风味汁大花螺,份,RMB,88.00,18.0,1584.00,1,4,1
102002,洋葱小木耳,份,RMB,28.00,134.0,3752.00,1,4,1
102003,意大利黑醋拌海蜇,份,RMB,88.00,28.0,2464.00,1,4,1
102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,26.0,2288.00,1,4,1
102006,虫草花素鲍卷,份,RMB,48.00,34.0,1632.00,1,4,1
102007,麻酱万年青,份,RMB,38.00,151.0,5738.00,1,4,1
102011,香醋花生配五香黑豆,份,RMB,28.00,35.0,980.00,1,4,1
102012,骨胶原东海黄鱼冻,份,RMB,48.00,3.0,144.00,1,4,1
102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,28.0,2464.00,1,4,1
102019,口水捞起鲜鲍片,份,RMB,98.00,1.0,98.00,1,4,1
102020,有机百合茄鹅肝沙律,份,RMB,88.00,23.0,2024.00,1,4,1
102021,低温香椿豆腐,份,RMB,48.00,11.0,528.00,1,4,1
102022,法式海鲜沙律,份,RMB,88.00,3.0,264.00,1,4,1
102023,三文鱼腩,件,RMB,25.00,14.0,350.00,1,4,1
102026,蓝莓鹅肝,份,RMB,198.00,2.0,396.00,1,4,1
102028,拍青瓜,份,RMB,28.00,45.0,1260.00,1,4,1
102029,炸花生,份,RMB,28.00,30.0,840.00,1,4,1
102031,炸腰果,例,RMB,28.00,47.0,1316.00,1,4,1
102036,开胃泡椒鸭舌,份,RMB,58.00,89.0,5162.00,1,4,1
102038,青苹果煎西班牙乳猪,份,RMB,78.00,30.0,2340.00,1,4,1
102042,翠豆拌蚌仔,份,RMB,78.00,50.0,3900.00,1,4,1
102049,烟薰素鹅卷,份,RMB,48.00,29.0,1392.00,1,4,1
102051,水晶鸭舌,份,RMB,58.00,17.0,986.00,1,4,1
1201039,珍品凉菜三拼（2月套餐）,份,RMB,52.99,5.0,264.96,1,4,1
1201099,馆藏本草凉菜B（套餐）,位,RMB,74.31,156.0,11543.76,1,4,1
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.89,32.0,828.49,1,4,1
911002,陈年普洱,位,RMB,28.00,135.0,3780.00,2,4,1
911005,清香铁观音,位,RMB,28.00,40.0,1120.00,2,4,1
901012,新西兰梅乐红,支,RMB,600.00,2.0,1200.00,2,4,1
901013,澳洲奔富407,支,RMB,980.00,5.0,4900.00,2,4,1
901016,梅乐卡伯纳红2012年,支,RMB,600.00,1.0,600.00,2,4,1
901017,杰卡斯梅洛干红,支,RMB,480.00,2.0,960.00,2,4,1
902003,大号轩尼诗XO,支,RMB,"2,380.00",1.0,2380.00,2,4,1
903001,1990年梅鹿液53度,支,RMB,980.00,1.0,980.00,2,4,1
903004,高度茅台53度,支,RMB,"1,980.00",4.0,7920.00,2,4,1
904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,1.0,480.00,2,4,1
909001,青岛,支,RMB,26.00,20.0,520.00,2,4,1
