id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
1,馆藏本草凉菜B（套餐）,位,RMB,76.89,188.0,14473.25,1,7,1
2,京葱烧日本北海道60头刺参,位,RMB,298.00,52.0,15496.00,5,3,1
3,京葱烧日本北海道60头刺参,位,RMB,298.00,103.0,30694.00,5,3,2
4,冻鹅肝,位,RMB,88.00,3.0,264.00,4,8,1
5,美点双拼（8月套餐）,份,RMB,51.88,7.0,363.16,3,8,1
6,日本黑竹盐烧和牛膜,位,RMB,338.00,2.0,676.00,4,4,1
7,酸辣萝卜,份,RMB,28.00,1.0,28.00,5,2,1
8,鲜茄汤烩海胆蟹钳,位,RMB,88.00,37.0,3256.00,4,8,1
9,云南黄花菜(位),位,RMB,28.00,117.0,3276.00,5,7,1
10,焦糖布甸。（半价）,份,RMB,24.00,155.0,3720.00,3,4,2
11,白粥(中),中,RMB,58.0,2.0,116.0,5,1,2
12,西芹百合淮山,例,RMB,78.0,2.0,156.0,,2,2
13,葱油炒姬松茸菌,例,RMB,93.0,2.0,186.0,5,4,2
14,柚子汁北海道刺参,位,RMB,298.00,15.0,4470.00,,2,2
15,印象大红袍,盒,RMB,346.00,2.0,692.00,2,6,1
16,高脚菜心,例,RMB,68.00,33.0,2244.00,5,2,1
17,奶酪酸奶布丁（大）,份,RMB,22.00,43.0,946.00,3,6,1
18,日本鱼沼米生滚粥(位),位,RMB,30.00,14.0,420.00,,2,2
19,龙虾汤稻庭面,位,RMB,38.00,716.0,27208.00,3,10,1
20,泰国鲥鱼,斤,RMB,160.00,1.1,176.00,5,4,2
21,全体乳猪件,只,RMB,780.00,1.0,780.00,5,5,1
22,补气鲜参灌汤包（特）,份,RMB,26.00,460.0,11960.00,3,3,2
23,补气鲜参灌汤包（特）,份,RMB,26.00,261.0,6786.00,3,3,1
24,日本芽茶,位,RMB,28.00,37.0,1036.00,2,9,1
25,大号轩尼诗XO,支,RMB,"2,380.00",1.0,2380.00,2,8,1
26,玫瑰香薰鸡,份,RMB,45.00,1.0,45.00,5,4,1
27,台湾绿茶蛋糕,位,RMB,22.00,5.0,110.00,3,3,1
28,泰椒圈炒鸡蛋,例,RMB,68.00,1.0,68.00,5,6,1
29,鱼籽酱焖关西参（11月套餐）,位,RMB,134.23,148.0,19865.70,5,4,2
30,自带食品加工费,份,RMB,125.0,2.0,250.0,5,4,2
31,原笼五仁杂粮饭（小）,份,RMB,13.00,68.0,884.00,3,3,1
32,西芹百合炒木耳,例,RMB,88.00,1.0,88.00,5,12,1
33,苏打水,罐,RMB,13.00,36.0,468.00,2,1,2
34,金兰花汁扣三头印度鳘肚公,位,RMB,980.00,6.0,5880.00,5,2,1
