物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,16.00,3.00,13.00,364.353,"1,093.06","4,736.59"
11060201,精选手工蒜肉,,斤,,30.00, ,30.00,8.000, ,240.00
15020013,黑盐,,瓶,,7.00,2.00,5.00,50.000,28.57,71.43
15040001,樱花芥辣,43g,支,,14.00,6.00,8.00,9.000,54.00,72.00
15050016,宁化府陈醋,330ml,支,,12.00,9.00,3.00,10.750,96.75,32.25
15060009,日本海鲜豉油,200ml,瓶,,8.00,3.00,5.00,19.000,57.00,95.00
15060016,泰国鱼露,725毫升,瓶,,1.00,1.00, ,8.000,8.00, 
15060048,海天罐装金标生抽,1.9l,罐,,11.00,2.00,9.00,16.600,33.20,149.40
15060063,丘比焙煎芝麻汁,1.5L,支,,2.00, ,2.00,60.000, ,120.00
15060090,辣椒浸蒜头,,斤,,50.00,35.00,15.00,12.000,420.00,180.00
合计,食品,,,,,,,,"1,790.58","5,696.67"
