物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020023,大沙虾,,斤,,107.00,6.00,101.00,43.160,260.52,"4,385.48"
09010025,鸡腿肉,,斤,,9.00,1.00,8.00,7.000,7.00,56.00
09040023,猪肚,,斤,,1.60, ,1.60,23.000, ,36.80
09040092,猪手尖,,斤,,1.90, ,1.90,13.000, ,24.70
09040097,猪靓细骨,,斤,,4.00, ,4.00,15.000, ,60.00
09120013,黄花鱼,,斤,,0.60,0.30,0.30,21.000,6.30,6.30
09120111,珍珠蚝,,斤,,1.00,0.30,0.70,10.000,3.00,7.00
09120133,麻虾仁31-40,,斤,,79.20,70.00,9.20,45.000,"3,150.00",414.00
09120136,白虾仁31-40,,斤,,15.00,12.00,3.00,52.500,630.00,157.50
09120206,凤爪,,斤,,150.00,6.00,144.00,22.800,136.80,"3,283.20"
09120211,樱花虾,0.5KG/包,斤,,3.80,2.00,1.80,189.068,369.76,332.79
09120222,虾饺馅,,斤,,64.00,4.00,60.00,54.474,217.94,"3,269.06"
09120224,珍珠蚝,,包,,4.00,0.50,3.50,10.000,5.00,35.00
09120260,烧卖馅,,斤,,33.00,8.00,25.00,34.300,274.40,857.50
10010020,五彩米,,包,,12.00,6.00,6.00,24.900,149.40,149.40
,肉类,,,,,,,,"5,210.12","13,074.73"
10010022,三象糯米粉,,包,,25.00,4.00,21.00,5.800,23.20,121.80
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10010032,早丰黑米,3斤,包,,2.00,0.20,1.80,46.500,9.30,83.70
10010033,东坡红米,2.5斤,包,,4.00,1.50,2.50,20.000,30.00,50.00
10020006,陈村粉,,斤,,2.00, ,2.00,2.500, ,5.00
10020015,红米粉,,斤,,5.00,4.50,0.50,20.000,90.00,10.00
10020022,粘米粉(斤),,斤,,69.50,21.00,48.50,5.000,105.00,242.50
,粮油,,,,,,,,"2,257.50",513.00
10030030,金装油皮,500g,包,,6.00, ,6.00,15.000, ,90.00
10030031,白网皮,200g,包,,57.50,9.00,48.50,11.000,99.00,533.50
10030044,双箭淀面(斤),1*50斤,斤,,50.00, ,50.00,4.300, ,215.00
10030046,金像面粉(斤),,斤,,85.00,55.00,30.00,3.200,176.00,96.00
