物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09020002,光鸭,,斤,,251.70, ,251.70,8.500, ,"2,139.45"
09040002,猪赤肉,,斤,,10.00, ,10.00,12.000, ,120.00
09040009,无皮花肉,,斤,,32.80, ,32.80,12.500, ,408.60
09040010,猪一字梅,,斤,,5.00, ,5.00,14.000, ,70.00
09040071,无皮上肉,,斤,,4.00,10.00,-6.00,10.000,100.00,-60.00
09130005,鲩鱼,,斤,,98.20,15.00,83.20,7.300,109.50,607.36
,肉类,,,,,,,,209.50,"3,285.41"
10010015,厨上厨茉莉香米,,斤,,50.00, ,50.00,4.800, ,240.00
10010016,厨上厨猫牙米,,包,,10.00,1.00,9.00,125.000,125.00,"1,125.00"
10020007,优质河粉,,斤,,60.00, ,60.00,1.700, ,102.00
10020009,肠粉,,斤,,60.00, ,60.00,1.500, ,90.00
10040008,植之元大豆油,20L,桶,,10.00, ,10.00,155.000, ,"1,550.00"
17050009,福食虾子面,,斤,,32.00,22.00,10.00,20.800,242.00,110.00
17050011,福食东莞米粉,,包,,1.50, ,1.50,55.000, ,82.50
10050074,米线,,斤,,45.00, ,45.00,2.100, ,94.50
,粮油,,,,,,,,367.00,"3,394.00"
15040050,腐乳,335克,瓶,,18.00,9.00,9.00,4.800,43.20,43.20
15080186,干桑叶,,斤,,1.00, ,1.00,8.000, ,8.00
15090006,绿豆,,斤,,10.00, ,10.00,5.000, ,50.00
15090107,红衣花生,,斤,,4.00, ,4.00,8.000, ,32.00
15110044,乌江榨菜,,包,,200.00,150.00,50.00,0.900,135.00,45.00
15120107,凉茶,,包,,10.00, ,10.00,1.400, ,14.00
1616,贡菊,,斤,,1.00, ,1.00,70.000, ,70.00
,食品,,,,,,,,178.20,262.20
17010001,福食生菜,,斤,,285.00, ,285.00,2.500, ,712.50
17010005,福食油麦菜,,斤,,249.00, ,249.00,2.800, ,697.20
17010006,福食大白菜,,斤,,232.50, ,232.50,1.500, ,348.75
17010008,福食西洋菜,,斤,,207.50, ,207.50,2.800, ,581.00
17010009,福食本地菜心,,斤,,212.00, ,212.00,3.800, ,805.60
17010010,福食青尖椒,,斤,,65.00, ,65.00,3.000, ,195.00
17010013,福食椰菜,,斤,,176.00, ,176.00,1.500, ,264.00
17010015,福食青瓜,,斤,,212.00, ,212.00,2.625, ,542.50
17010016,福食鲜冬菇,,斤,,40.00, ,40.00,6.500, ,260.00
17010022,福食莲藕,,斤,,160.00, ,160.00,3.500, ,560.00
17010024,福食椰菜花,,斤,,148.00, ,148.00,2.500, ,370.00
17010025,福食小白菜,,斤,,204.50, ,204.50,2.500, ,511.25
17010029,福食红萝卜,,斤,,25.00, ,25.00,2.000, ,50.00
17010035,福食沙葛,,斤,,41.00, ,41.00,2.200, ,90.20
17010038,福食奶白菜,,斤,,46.00, ,46.00,3.500, ,161.00
17010047,福食通菜,,斤,,47.00, ,47.00,5.000, ,235.00
17010050,福食粉葛,,斤,,10.00, ,10.00,4.500, ,45.00
17010059,福食春菜,,斤,,185.00, ,185.00,2.800, ,518.00
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010062,福食莴笋,,斤,,171.00, ,171.00,2.200, ,376.20
17010065,福食细豆芽,,斤,,139.00, ,139.00,1.000, ,139.00
17010068,福食香脆片,,斤,,28.00,7.00,21.00,2.800,19.60,58.80
17010069,福食粉芋头,,斤,,160.00, ,160.00,5.000, ,800.00
17010070,福食水东芥菜,,斤,,258.00, ,258.00,2.800, ,722.40
17010078,福食上海青,,斤,,45.00, ,45.00,2.500, ,112.50
,蔬菜,,,,,,,,19.60,"9,164.30"
17020002,福食猪排骨,,斤,,76.30, ,76.30,17.000, ,"1,297.10"
17020003,福食冻猪手,,斤,,105.30, ,105.30,13.000, ,"1,368.90"
17020008,福食一字梅,,斤,,11.50, ,11.50,12.500, ,143.75
17030012,福食鸡翼尖,,斤,,75.00,5.00,70.00,9.000,45.00,630.00
17040001,福食鸡蛋,,斤,,333.10, ,333.10,5.200, ,"1,732.12"
17040006,福食鸡腿,,斤,,189.90,40.00,149.90,9.000,360.00,"1,349.10"
17040010,福食咸蛋,,只,,320.00, ,320.00,1.300, ,416.00
17040012,福食仓鱼,,斤,,160.00, ,160.00,9.000, ,"1,440.00"
17070002,福食榨菜丝,,斤,,68.00,5.00,63.00,2.500,12.50,157.50
17070006,福食腊肠,,斤,,15.00, ,15.00,16.500, ,247.50
17070007,福食腊肉,,斤,,18.00, ,18.00,29.250, ,487.50
,肉类,,,,,,,,417.50,"9,269.47"
合计,,,,,,,,,"1,191.80","25,375.38"
