物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,103.20,7.70,95.50,64.727,498.43,"6,181.77"
07010064,山斑,,斤,,41.00,8.00,33.00,12.778,101.97,420.63
07010087,侧鱼,,斤,,115.60,6.00,109.60,13.056,78.27,"1,429.73"
07010143,大连海胆,,只,,8.00, ,8.00,22.000, ,176.00
07020005,河虾,,斤,,21.00,7.00,14.00,20.400,143.33,286.67
07030011,羔蟹,,斤,,14.90,12.90,2.00,98.333,"1,218.57",188.93
07050019,北极贝,2斤,合,,2.00,1.00,1.00,180.000,180.00,180.00
07050032,大海螺,,斤,,25.00, ,25.00,40.000, ,"1,000.00"
07050042,白贝,,斤,,47.00,2.00,45.00,3.105,6.21,139.79
07060011,大连鲍12头,,斤,,2.50,0.80,1.70,57.500,44.80,95.20
07060018,7头大连鲍,,斤,,13.00,8.60,4.40,70.000,595.38,304.62
07060019,翡翠鲍鱼,8只/包,只,,159.00,148.00,11.00,54.000,"7,992.00",594.00
,肉类,,,,,,,,"10,858.96","10,997.34"
0709,鲜海参（条）,,条,,5.00,3.00,2.00,21.000,63.00,42.00
08010002,一般花胶,,斤,,6.67,4.47,2.20,"1,983.320","8,865.44","4,363.31"
08010005,黄花胶,,斤,,5.13,0.67,4.46,680.000,455.60,"3,032.80"
08010015,阿巴公花胶,,斤,,5.40,3.57,1.83,"3,150.400","11,225.61","5,754.31"
08020001,花旗参片,,斤,,1.00,0.50,0.50,326.089,163.04,163.05
08020005,山参,,斤,,1.00,1.00, , , , 
08030005,关东辽参,,斤,,10.23,2.47,7.76,"4,433.333","10,968.68","34,460.32"
08030007,关西辽参,,斤,,4.80,2.18,2.62,"1,844.970","4,022.04","4,833.82"
08040001,鸡蛋,,斤,,20.10, ,20.10,5.200, ,104.52
08050009,水咸鱼,,条,,4.00,2.00,2.00,54.000,108.00,108.00
08060001,雪蛤,,斤,,0.22,0.22, ,"2,038.360",448.44, 
,食品,,,,,,,,"36,319.85","52,862.13"
09010004,老鸡,,斤,,800.60,10.00,790.60,11.000,110.00,"8,696.60"
09010024,鸡油,,斤,,18.00, ,18.00,3.000, ,54.00
09010033,凤中皇,,斤,,132.00,7.80,124.20,18.000,140.40,"2,235.60"
09010040,鸡壳,,斤,,268.00, ,268.00,7.000, ,"1,876.00"
09020004,水鸭,,只,,27.00,7.00,20.00,20.000,140.00,400.00
09030005,鹅肝,,斤,,52.80,2.00,50.80,140.000,280.00,"7,112.00"
09030012,匈牙利鹅肝,,斤,,34.50,32.60,1.90,144.000,"4,694.40",273.60
09030013,法国鹅肝,,斤,,55.30,51.00,4.30,230.005,"11,730.16",989.01
09040002,猪赤肉,,斤,,887.40,30.00,857.40,12.033,360.76,"10,310.54"
09040009,无皮花肉,,斤,,102.30,8.00,94.30,12.063,96.43,"1,136.67"
09040010,猪一字梅,,斤,,44.90,14.00,30.90,13.100,182.02,401.73
09040036,猪排骨,,斤,,80.90,20.00,60.90,17.000,340.00,"1,035.30"
09040045,猪圆蹄,,斤,,10.40, ,10.40,11.500, ,119.60
09040047,猪脚,,斤,,6.40, ,6.40,10.000, ,64.00
09040049,猪手,,斤,,11.00, ,11.00,12.000, ,132.00
09040051,猪皮,,斤,,2.00, ,2.00,3.500, ,7.00
09040064,肉排,,斤,,11.90, ,11.90,20.000, ,238.00
09040092,猪手尖,,斤,,2.80, ,2.80,13.000, ,36.40
09040095,奶猪,,斤,,105.00,38.00,67.00,23.333,886.67,"1,563.33"
09050012,牛孖根,,斤,,3.00,2.00,1.00,22.000,44.00,22.00
09050026,牛横膈膜,,斤,,63.90,63.00,0.90,413.910,"26,109.91",373.00
09100006,水蛇,,斤,,75.00,5.00,70.00,22.182,109.47,"1,532.53"
09100007,海蛇,,斤,,1.70, ,1.70,110.000, ,187.00
09110003,腊肠,,斤,,5.00, ,5.00,46.250, ,222.50
09110012,金华火腿,,斤,,72.00,50.00,22.00,28.630,"1,431.50",629.86
09110018,西班牙火腿,,斤,,17.00,16.00,1.00,343.090,"5,489.44",343.09
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120002,冻银雪鱼,,斤,,10.00,10.00, ,95.000,950.00, 
09120013,黄花鱼,,斤,,11.10, ,11.10,20.000, ,222.00
09120020,九肚鱼,,斤,,5.00,3.00,2.00,10.000,30.00,20.00
09120034,海胆,60G,板,,28.00,13.00,15.00,27.500,359.36,414.64
09120040,金钱肚,,斤,,43.40,9.00,34.40,15.500,139.50,533.20
09120041,肥牛肉,,斤,,3.00,1.00,2.00,47.800,47.80,95.60
09120047,大鸡脚,,斤,,19.10, ,19.10,12.800, ,244.48
09120055,烟肉,2KG,包,,2.00,1.00,1.00,62.500,62.50,62.50
09120064,冻猪手,,斤,,30.50,20.00,10.50,13.500,270.00,141.75
09120094,帆立贝,2斤/盒,斤,,113.00,93.00,20.00,81.810,"7,608.33","1,636.20"
09120136,白虾仁31-40,,斤,,15.00, ,15.00,52.500, ,787.50
09120148,冻金枪鱼腩,,斤,,22.00,20.00,2.00,527.439,"10,545.26","1,054.53"
09120180,猪颈肉,,斤,,16.40,3.00,13.40,18.000,54.00,241.20
09120190,美国牛仔骨,,斤,,155.80,33.00,122.80,65.333,"2,155.63","8,021.57"
09120192,西冷牛肉,,斤,,70.00,15.00,55.00,280.000,"4,200.00","15,400.00"
09120202,南美海椰皇,,斤,,4.00,4.00, ,160.000,640.00, 
09120211,樱花虾,0.5KG/包,斤,,4.00,1.00,3.00,181.840,181.84,545.52
09120219,七骨羊扒,,斤,,7.00,6.00,1.00,52.000,312.00,52.00
09120221,干龙趸皮,,斤,,6.35,3.80,2.55,700.000,"2,660.00","1,785.00"
09120223,红标牛小排,,斤,,233.30,60.00,173.30,90.000,"5,549.29","16,028.21"
09120248,蚬肉汤包,,包,,23.00, ,23.00,23.780, ,546.94
09120255,乌鱼籽,,斤,,28.00,27.00,1.00,"1,750.000","62,686.29","2,321.71"
09120256,A级大凤爪,,斤,,42.00,15.00,27.00,14.000,210.00,378.00
09120258,虾胶,,斤,,4.00, ,4.00,80.000, ,320.00
09120270,鲟龙鱼籽酱,50G,盒,,1.00,1.00, ,635.000,635.00, 
09120271,蟹钳,1KG,包,,25.00,17.00,8.00,118.575,"2,015.78",948.60
09120275,飞驒牛肉,,斤,,118.60,132.50,-13.90,537.500,"67,026.45","-7,031.45"
09120276,飞驒牛柳,,斤,,59.00,18.00,41.00,488.000,"8,784.00","20,008.00"
09130004,喜知次鱼,,斤,,86.00,50.00,36.00,166.460,"8,323.00","5,992.56"
