物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050032,大海螺,,斤,,137.00,5.00,132.00,41.000,204.38,"5,395.62"
09120001,冻三文鱼,,斤,,39.60,5.50,34.10,46.667,256.78,"1,592.02"
09120013,黄花鱼,,斤,,2.80,3.80,-1.00,19.000,72.20,-19.00
09120095,三文鱼籽,,斤,,3.90,2.00,1.90,181.250,362.95,344.80
09120122,鸭利,,斤,,52.30,9.00,43.30,28.429,256.13,"1,232.27"
09120209,海哲丝,,斤,,153.00,80.00,73.00,12.500,"1,000.00",912.50
09120239,红珊蚌,,盒,,16.00,2.50,13.50,75.000,187.50,"1,012.50"
,肉类,,,,,,,,"2,339.94","10,470.71"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10010017,糯米(斤),,斤,,5.00,5.00, ,4.400,22.00, 
10030055,越南春卷皮/干,,包,,8.00,3.00,5.00,18.000,54.00,90.00
11010032,水果青瓜仔,,斤,,48.50,2.80,45.70,7.133,19.92,325.08
11020006,鲜冬菇,,斤,,17.00, ,17.00,7.500, ,127.50
11030016,豆腐皮,,斤,,4.80,1.00,3.80,4.000,4.00,15.20
11030028,甜蜜豆,,斤,,12.50,1.00,11.50,7.429,7.48,86.02
11030046,进口厚腐皮,,斤,,5.20,3.00,2.20,26.500,79.50,58.30
,食品,,,,,,,,221.90,702.10
11050002,莴笋头,,斤,,13.00, ,13.00,2.725, ,36.10
11060027,韭菜,,斤,,11.60,0.10,11.50,2.800,0.28,32.20
11060040,香芹,,斤,,34.00,3.00,31.00,3.814,11.44,118.16
11060055,薄荷叶,,斤,,11.40,0.20,11.20,8.143,1.62,90.58
11060065,红洋葱,,斤,,60.00, ,60.00,2.500, ,150.00
11060075,红萝卜,,斤,,75.00,3.00,72.00,2.489,7.48,179.62
11060076,白萝卜,,斤,,13.60, ,13.60,1.600, ,21.76
11060115,洋葱,,斤,,5.00,2.00,3.00,3.600,7.20,10.80
11060138,素鲍鱼,,只,,45.00,10.00,35.00,8.000,80.00,280.00
11060181,万年春,,斤,,20.20,10.00,10.20,28.000,280.00,285.60
11060252,香椿,,斤,,6.00,2.20,3.80,32.000,70.40,121.60
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
,蔬菜,,,,,,,,563.42,"1,326.42"
12030019,长城干红,750ml,支,,4.00, ,4.00,24.000, ,96.00
13020007,苹果醋,,支,,13.00,2.20,10.80,5.200,11.44,56.16
13020017,葡萄汁,,支,,4.00, ,4.00,33.000, ,132.00
14030002,新奇士橙,,斤,,51.90,8.80,43.10,11.091,100.11,490.29
14060002,草莓,,合,,20.00,1.00,19.00,19.800,19.90,378.10
14070004,进口红提,,斤,,10.40,0.10,10.30,18.000,1.80,185.40
14090010,番茄仔,,斤,,10.20,2.00,8.20,4.583,9.02,36.98
14090039,百合番茄,黄色,斤,,7.50,0.40,7.10,10.270,3.93,69.85
14090058,红色百合番茄,,斤,,7.80,0.40,7.40,7.680,3.06,56.70
15010011,芥茉油,60毫升,支,,10.00,5.00,5.00,4.000,20.00,20.00
15010017,橄榄油,1公升,瓶,,1.00,1.00, ,36.000,36.00, 
15030004,麦牙糖,250g,罐,,1.50,1.50, ,3.000,4.50, 
15030005,宝生园蜜糖,375克,瓶,,1.00, ,1.00,7.000, ,7.00
15040007,四季宝花生酱,1kg,罐,,2.00,2.00, ,35.000,70.00, 
15040010,卡夫奇妙酱,700ml,瓶,,1.00,0.80,0.20,22.000,17.60,4.40
15040036,味可美草莓酱,,瓶,,7.00, ,7.00,8.900, ,62.30
15040063,蓝莓酱,340g,瓶,,9.00, ,9.00,38.000, ,342.00
15050016,宁化府陈醋,330ml,支,,22.50,6.00,16.50,10.750,64.50,177.37
15050019,宝鼎上海白醋,,支,,4.00,0.50,3.50,3.200,1.60,11.20
15060029,味淋,1.8l,瓶,,1.00, ,1.00,55.000, ,55.00
15060033,家乐浓缩鸡汁,1kg,瓶,,8.50,0.50,8.00,51.000,25.50,408.00
15060042,家乐辣鲜露,400毫升,支,,2.50,5.00,-2.50,15.000,75.00,-37.50
15060062,东古一品鲜酱油,500ML,支,,4.00,1.00,3.00,7.000,7.00,21.00
15060063,丘比焙煎芝麻汁,1.5L,支,,2.40,0.40,2.00,60.000,24.00,120.00
15060069,家乐麻辣鲜露,400ml,支,,4.00, ,4.00,15.000, ,60.00
15070023,鱼胶粉,500克,盒,,3.30,1.80,1.50,52.000,93.60,78.00
15080113,靓老鼠耳,,斤,,7.90,0.50,7.40,125.000,62.50,925.00
15080120,椰丝,,斤,,0.80,0.80, ,12.000,9.60, 
15080126,冬菇仔,,斤,,3.20,1.50,1.70,52.000,78.00,88.40
15080127,小米椒,,斤,,16.00,5.00,11.00,4.000,20.00,44.00
15080139,山楂干,,斤,,0.50,0.50, ,15.000,7.50, 
15080152,辣椒干,,斤,,3.50,3.80,-0.30,10.000,38.00,-3.00
15080185,外婆醉鱼,150G,包,,43.00,33.00,10.00,12.000,396.00,120.00
15090009,黑豆,,斤,,7.40,3.50,3.90,8.000,28.00,31.20
15090028,白芝麻,,斤,,2.40,1.10,1.30,11.250,12.58,14.87
15090042,大红枣,,斤,,1.40,1.20,0.20,35.000,42.00,7.00
15090107,红衣花生,,斤,,14.90,1.70,13.20,8.000,13.60,105.60
15100005,保利奶,1kg,罐,,36.00,0.50,35.50,16.000,8.00,568.00
15120102,虫草花,,斤,,1.40,0.90,0.50,80.000,72.00,40.00
15120165,小茴香,,斤,,0.80,0.70,0.10,11.000,7.70,1.10
1601,铁观音,,斤,,1.00,0.40,0.60,24.000,9.60,14.40
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
Y1050114,914保鲜纸,,件,,2.00,0.50,1.50,184.000,92.00,276.00
,食品,,,,,,,,"1,494.14","5,062.82"
合计,,,,,,,,,"4,619.40","17,562.05"
