物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,33.70,3.50,30.20,291.667,"1,039.09","8,965.91"
07010005,大龙趸,,斤,,159.00,23.50,135.50,41.100,964.65,"5,562.15"
07010006,老虎斑,,斤,,31.10,2.50,28.60,74.857,186.46,"2,133.14"
07010008,大东星斑,,斤,,70.60,15.90,54.70,120.000,"1,899.67","6,535.33"
07010009,细东星斑,,斤,,36.50,4.00,32.50,172.778,671.45,"5,455.55"
07010013,老鼠斑,,斤,,20.10,1.80,18.30,237.778,427.43,"4,345.57"
07010082,大老虎斑,,斤,,14.40, ,14.40,145.000, ,"2,088.00"
07010108,珍珠龙趸,,斤,,22.70, ,22.70,30.000, ,681.00
07010142,蓝东星,,斤,,96.40,15.60,80.80,73.067,"1,133.14","5,869.06"
07020001,波斯龙虾,,斤,,35.00,21.20,13.80,95.000,"2,000.37","1,302.13"
07020003,花龙虾,,斤,,71.20,28.00,43.20,267.548,"7,569.09","11,678.03"
07020010,斑马富贵虾,,斤,,24.50, ,24.50,175.000, ,"4,287.50"
07020024,青龙虾仔,,斤,,23.80,2.60,21.20,165.000,430.97,"3,514.03"
07020030,大红节虾,,斤,,0.40,0.40, ,170.000,68.00, 
07040001,象拨蚌,,斤,,96.30,8.70,87.60,194.667,"1,689.36","17,010.14"
07050048,龙趸螺,,斤,,1.00, ,1.00,80.000, ,80.00
07060002,大连鲍(5只/斤),,斤,,38.40,7.52,30.88,103.833,782.78,"3,214.42"
07060013,南非鲜鲍（3只/斤）,,斤,,26.90, ,26.90,235.000, ,"6,321.50"
07070001,海水晶,,件,,3.00, ,3.00,35.000, ,105.00
09120225,特大九节虾,1KG 7只/盒,盒,,12.14,2.86,9.28,210.000,600.60,"1,948.80"
Y1051146,白网捞,,把,,1.00, ,1.00,6.000, ,6.00
合计,海鲜,,,,,,,,"19,463.06","91,103.26"
