物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,10.00, ,10.00,34.000, ,340.00
07020023,大沙虾,,斤,,59.00,5.00,54.00,20.308,97.63,"1,054.37"
07020032,直明虾,,斤,,65.00, ,65.00,17.462, ,"1,135.00"
08040001,鸡蛋,,斤,,12.00, ,12.00,6.500, ,78.00
09040049,猪手,,斤,,11.00, ,11.00,14.000, ,154.00
09110002,腊肉,,斤,,3.50,1.00,2.50,37.500,37.50,93.75
09110003,腊肠,,斤,,3.00,1.00,2.00,37.500,37.50,75.00
09120013,黄花鱼,,斤,,5.00,3.00,2.00,21.000,63.00,42.00
09120055,烟肉,2KG,包,,8.00, ,8.00,63.000, ,504.00
09120064,冻猪手,,斤,,20.00,10.00,10.00,13.000,130.00,130.00
09120111,珍珠蚝,,斤,,20.00,3.00,17.00,10.000,30.00,170.00
09120133,麻虾仁31-40,,斤,,139.60,85.00,54.60,45.000,"3,825.00","2,457.00"
09120206,凤爪,,斤,,77.00,6.00,71.00,22.781,136.66,"1,617.14"
09120211,樱花虾,0.5KG/包,斤,,1.50,3.00,-1.50,181.840,545.52,-272.76
09120222,虾饺馅,,斤,,36.00,4.00,32.00,54.493,217.98,"1,743.82"
09120256,A级大凤爪,,斤,,60.00, ,60.00,15.500, ,930.00
09120260,烧卖馅,,斤,,51.00,6.00,45.00,34.300,205.80,"1,543.50"
,肉类,,,,,,,,"5,326.59","11,794.82"
10010020,五彩米,,包,,11.00,10.00,1.00,22.045,226.63,22.66
10010022,三象糯米粉,,包,,44.00,15.00,29.00,5.867,88.36,170.84
10010026,葛仙米,,斤,,0.80,0.80, ,"2,500.000","2,000.00", 
10020015,红米粉,,斤,,3.00,1.00,2.00,20.000,20.00,40.00
10020022,粘米粉(斤),,斤,,53.00,8.00,45.00,5.000,40.00,225.00
10030038,双箭澄面,,包,,2.80,2.00,0.80,215.000,430.00,172.00
,粮油,,,,,,,,"2,804.99",630.50
10030030,金装油皮,500g,包,,4.00, ,4.00,15.000, ,60.00
10030031,白网皮,200g,包,,70.00,9.00,61.00,10.409,90.64,614.36
10030046,金像面粉(斤),,斤,,59.00,45.00,14.00,3.200,144.00,44.80
10030047,美玫面粉(斤),,斤,,350.80,110.00,240.80,3.205,349.94,766.06
