物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010062,笋壳鱼,,斤,,109.60,15.40,94.20,63.423,975.29,"5,965.71"
07010087,侧鱼,,斤,,87.60,6.00,81.60,13.507,81.05,"1,102.25"
07010142,蓝东星,,斤,,5.70,5.70, ,55.000,313.50, 
07020005,河虾,,斤,,3.00, ,3.00,23.000, ,69.00
07020023,大沙虾,,斤,,15.00, ,15.00,21.000, ,315.00
07020032,直明虾,,斤,,10.00, ,10.00,17.000, ,170.00
07030010,肉蟹,,斤,,2.00, ,2.00,58.000, ,116.00
07030011,羔蟹,,斤,,17.90,6.00,11.90,83.333,477.99,948.01
07030022,阿拉斯加蟹,,斤,,10.90,5.00,5.90,80.000,400.00,472.00
07030023,阿拉斯加蟹钳,,斤,,20.00,10.00,10.00,84.000,840.00,840.00
07050009,元贝,,斤,,46.90, ,46.90,36.200, ,"1,695.20"
07050016,海螺,,斤,,50.00,5.00,45.00,47.714,239.00,"2,151.00"
07050019,北极贝,2斤,合,,7.00,2.00,5.00,179.000,358.29,895.71
07050042,白贝,,斤,,76.00, ,76.00,3.602, ,272.30
07060002,大连鲍(5只/斤),,斤,,10.00,3.00,7.00,98.000,294.00,686.00
07060004,大连鲍(小),,斤,,2.00, ,2.00,65.000, ,130.00
07060009,南非鲜鲍(2只/斤),,斤,,1.50, ,1.50,220.000, ,330.00
07060011,大连鲍12头,,斤,,1.00,2.50,-1.50,55.000,137.50,-82.50
07060019,翡翠鲍鱼,8只/包,只,,120.00,30.00,90.00,53.467,"1,607.20","4,821.62"
0709,鲜海参（条）,,条,,327.00,20.00,307.00,28.441,570.26,"8,753.46"
,肉类,,,,,,,,"6,294.08","29,650.76"
08010002,一般花胶,,斤,,7.30,3.23,4.07,"1,983.320","6,406.13","8,072.11"
08010005,黄花胶,,斤,,5.57,3.93,1.64,470.000,"1,847.10",770.80
08010015,阿巴公花胶,,斤,,2.90,1.80,1.10,"3,162.800","5,693.04","3,479.08"
08030005,关东辽参,,斤,,8.16,2.10,6.06,"4,566.667","9,650.74","27,849.26"
08030007,关西辽参,,斤,,3.51,2.59,0.92,"1,748.585","4,499.21","1,598.18"
08040001,鸡蛋,,斤,,18.60, ,18.60,5.900, ,109.74
08040008,竹笙蛋,,斤,,2.00, ,2.00,35.000, ,70.00
08050009,水咸鱼,,条,,4.00,2.00,2.00,60.000,120.00,120.00
08050010,大红咸鱼,,斤,,3.00,2.60,0.40,52.000,135.20,20.80
08060001,雪蛤,,斤,,0.21,0.21, ,"2,038.360",428.06, 
,食品,,,,,,,,"28,779.48","42,089.97"
09010001,三黄鸡,,斤,,94.40, ,94.40,9.671, ,907.26
09010004,老鸡,,斤,,15.00, ,15.00,12.000, ,180.00
09010024,鸡油,,斤,,15.00, ,15.00,3.000, ,45.00
09010029,鸡脚,,斤,,4.30, ,4.30,12.800, ,55.04
09010033,凤中皇,,斤,,243.60,20.00,223.60,23.000,460.00,"5,142.80"
09010040,鸡壳,,斤,,804.50, ,804.50,8.000, ,"6,436.00"
09020004,水鸭,,只,,44.00,10.00,34.00,20.000,200.00,680.00
09020009,乳鸭,,只,,24.00,20.00,4.00,16.250,321.67,64.33
09030005,鹅肝,,斤,,50.00,22.00,28.00,140.000,"3,080.00","3,920.00"
09030007,进口鹅掌,,斤,,3.00, ,3.00,41.000, ,123.00
09030012,匈牙利鹅肝,,斤,,16.00,7.00,9.00,144.000,"1,008.00","1,296.00"
09030013,法国鹅肝,,斤,,40.00,33.00,7.00,230.000,"7,590.00","1,610.00"
09030014,潮州鹅,,斤,,5.00, ,5.00,31.000, ,155.00
09040002,猪赤肉,,斤,,392.00,30.00,362.00,12.143,362.60,"4,375.35"
09040004,猪肉眼,,斤,,2.00, ,2.00,12.000, ,24.00
09040009,无皮花肉,,斤,,72.10, ,72.10,10.500, ,757.05
09040010,猪一字梅,,斤,,28.60,12.00,16.60,12.400,147.44,203.96
09040036,猪排骨,,斤,,658.30,21.00,637.30,17.500,367.50,"11,152.75"
09040047,猪脚,,斤,,7.60, ,7.60,10.000, ,76.00
09040051,猪皮,,斤,,2.90, ,2.90,3.000, ,8.70
09040069,枚肉(瘦肉),,斤,,627.20, ,627.20,12.000, ,"7,526.40"
09040080,一字枚,,斤,,5.20, ,5.20,12.000, ,62.40
09040084,无皮方花肉,,斤,,85.50,6.00,79.50,15.250,90.91,"1,204.59"
09040091,土猪肥肉,,斤,,9.20, ,9.20,7.500, ,69.00
09040093,乳猪,,斤,,86.80,46.00,40.80,23.333,"1,073.16",951.84
09040095,奶猪,,斤,,12.00, ,12.00,23.333, ,280.00
09050005,牛坑腩,,斤,,20.20,5.00,15.20,26.000,130.00,395.20
09050026,牛横膈膜,,斤,,9.00, ,9.00,415.012, ,"3,735.11"
09050028,牛膀,,斤,,14.40,0.20,14.20,5.500,1.10,78.10
09100006,水蛇,,斤,,43.00,8.00,35.00,24.250,191.07,835.93
09110012,金华火腿,,斤,,100.00,58.00,42.00,29.200,"1,693.60","1,226.40"
09110017,烟肉片,,斤,,1.00,0.50,0.50,63.000,31.50,31.50
09110018,西班牙火腿,,斤,,5.00,3.00,2.00,343.090,"1,029.27",686.18
09110019,湘西情腊肉,,斤,,3.00,3.00, ,35.000,105.00, 
09120001,冻三文鱼,,斤,,26.90,2.00,24.90,41.250,82.43,"1,026.32"
09120013,黄花鱼,,斤,,4.40, ,4.40,23.000, ,101.20
09120034,海胆,60G,板,,19.00,3.00,16.00,27.750,83.29,444.21
09120040,金钱肚,,斤,,42.50,10.00,32.50,20.000,200.00,650.00
09120041,肥牛肉,,斤,,20.00,12.00,8.00,50.000,606.00,404.00
09120064,冻猪手,,斤,,12.00,6.00,6.00,13.250,78.50,78.50
09120084,羊排,,斤,,6.20,6.20, ,44.000,272.80, 
09120086,鳄鱼肉,,斤,,7.20,5.00,2.20,68.000,340.00,149.60
09120094,帆立贝,2斤/盒,斤,,40.00,26.00,14.00,136.000,"3,536.00","1,904.00"
09120104,大凤爪,,斤,,20.00,12.00,8.00,15.500,186.00,124.00
09120106,鸡胸肉,,斤,,22.00,6.00,16.00,9.333,56.18,149.82
09120148,冻金枪鱼腩,,斤,,20.00,16.00,4.00,517.778,"8,284.45","2,071.11"
09120153,日本带子,,盒,,2.00, ,2.00,272.000, ,544.00
09120180,猪颈肉,,斤,,25.00,5.00,20.00,17.167,85.40,341.60
09120182,牛肋骨,,斤,,11.60,10.00,1.60,62.000,620.00,99.20
09120190,美国牛仔骨,,斤,,126.20,22.00,104.20,65.000,"1,430.00","6,773.00"
09120192,西冷牛肉,,斤,,171.60,120.00,51.60,360.000,"43,200.00","18,576.00"
09120202,南美海椰皇,,斤,,4.00,4.00, ,160.000,640.00, 
09120211,樱花虾,0.5KG/包,斤,,4.00,0.50,3.50,181.840,90.92,636.44
09120219,七骨羊扒,,斤,,20.60,9.80,10.80,44.000,431.20,475.20
09120221,干龙趸皮,,斤,,19.20,9.00,10.20,700.000,"6,300.00","7,140.00"
09120223,红标牛小排,,斤,,239.50,45.00,194.50,105.000,"4,725.00","20,422.50"
09120248,蚬肉汤包,,包,,55.00, ,55.00,23.780, ,"1,307.90"
09120255,乌鱼籽,,斤,,18.00,17.00,1.00,"2,900.000","49,300.00","2,900.00"
09120256,A级大凤爪,,斤,,132.00, ,132.00,15.500, ,"2,046.00"
09120270,鲟龙鱼籽酱,50G,盒,,1.00,1.00, ,635.000,635.00, 
09120275,飞驒牛肉,,斤,,40.00, ,40.00,500.000, ,"20,000.00"
09120279,蟹钳0.5KG,0.5KG,包,,23.00, ,23.00,120.000, ,"2,760.00"
09120280,鹅头,,个,,8.50,2.50,6.00,383.333,958.82,"2,301.18"
09130004,喜知次鱼,,斤,,21.80,59.00,-37.20,213.200,"12,578.80","-7,931.04"
09130005,鲩鱼,,斤,,57.80, ,57.80,7.494, ,433.80
09130008,鱼卜,,斤,,15.80,3.00,12.80,27.000,81.00,345.60
09130029,去皮鲮鱼肉,,斤,,26.90,5.00,21.90,18.000,90.00,394.20
09140001,鹧鸪,4两以上,只,,21.00,6.00,15.00,17.000,102.00,255.00
09140007,蝎子,,斤,,0.18,0.18, ,460.000,82.80, 
09140010,田鸡,,斤,,40.00,3.00,37.00,5.263,15.79,194.71
09140022,草龟,,斤,,4.20,1.50,2.70,19.000,28.50,51.30
09140038,鹌鹑,,只,,10.00, ,10.00,4.000, ,40.00
,肉类,,,,,,,,"153,003.70","141,504.24"
10010004,东北大米,,斤,,50.00, ,50.00,2.700, ,135.00
10010015,厨上厨茉莉香米,,斤,,120.00,50.00,70.00,4.800,240.00,336.00
10010021,苏比利尔野米,,包,,6.00,4.00,2.00,68.000,278.67,139.33
10010027,岩米,,斤,,5.00,4.50,0.50,53.000,238.50,26.50
10010030,谷芽,,斤,,1.00, ,1.00,8.000, ,8.00
10010032,早丰黑米,3斤,包,,3.00, ,3.00,46.500, ,139.50
10010033,东坡红米,2.5斤,包,,2.50,1.50,1.00,20.000,30.00,20.00
10020009,肠粉,,斤,,52.00,2.00,50.00,1.500,3.00,75.00
10030019,粗面,,斤,,11.00,3.00,8.00,6.500,19.50,52.00
10030033,粗生面,,斤,,20.00, ,20.00,6.500, ,130.00
10030035,方包,,条,,3.00,1.00,2.00,20.000,20.00,40.00
10030039,燕麦,,斤,,13.00,5.00,8.00,3.460,17.30,27.68
10030057,挂面,,包,,13.00,10.00,3.00,21.500,217.69,65.31
10040004,花生油,,斤,,180.00,80.00,100.00,17.000,"1,360.00","1,700.00"
10040008,植之元大豆油,20L,桶,,28.00,10.00,18.00,155.000,"1,550.00","2,790.00"
11060107,大豆油,,罐,,12.00, ,12.00,155.000, ,"1,860.00"
10050074,米线,,斤,,29.00, ,29.00,2.091, ,60.60
,粮油,,,,,,,,"3,974.66","7,604.92"
11010001,冬瓜,,斤,,13.00,3.00,10.00,1.250,3.78,12.62
11010002,南瓜,,斤,,211.50,3.00,208.50,2.000,6.00,417.00
11010003,茄瓜,,斤,,87.00,5.00,82.00,2.200,11.00,180.40
11010004,青瓜,,斤,,2.00, ,2.00,2.000, ,4.00
11010005,丝瓜,,斤,,16.00,2.00,14.00,3.325,6.74,47.16
11010006,凉瓜,,斤,,33.00,2.00,31.00,2.000,4.00,62.00
11010008,水瓜,,斤,,3.00, ,3.00,3.500, ,10.50
11010022,太阳果,,只,,125.00,48.00,77.00,7.625,366.72,588.28
11010032,水果青瓜,,斤,,5.00,2.00,3.00,4.500,9.00,13.50
11010038,7两太阳果,,只,,48.00, ,48.00,8.000, ,384.00
11010042,9两太阳果,,只,,74.00, ,74.00,8.000, ,592.00
11020006,鲜冬菇,,斤,,28.00,3.00,25.00,7.500,22.50,187.50
11020007,鲜松茸菌,,斤,,29.00,1.50,27.50,156.667,234.31,"4,295.69"
11020008,翅鲍菇,,斤,,9.00, ,9.00,15.000, ,135.00
11020018,鲜竹笙,,斤,,2.00, ,2.00,75.000, ,150.00
11020021,杏鲍菇,,斤,,35.60,8.00,27.60,6.000,48.00,165.60
11020022,姬松茸,,斤,,2.10,0.40,1.70,140.000,56.00,238.00
11020033,白肉菇,,包,,4.00, ,4.00,4.500, ,18.00
11020044,黑鸡枞,,斤,,28.00,3.00,25.00,58.000,174.00,"1,450.00"
11030005,荷兰豆,,斤,,4.00,1.00,3.00,9.125,9.12,27.38
11030007,龙牙豆,,斤,,11.00,1.00,10.00,3.722,3.68,36.82
11030018,山水豆腐,,合,,10.00,5.00,5.00,3.300,16.50,16.50
11030020,豆腐,,板,,0.50, ,0.50,6.500, ,3.25
11030028,甜蜜豆,,斤,,15.00,1.50,13.50,9.556,14.35,129.15
11030031,土豆,,斤,,3.00,1.00,2.00,2.300,2.30,4.60
11030032,厚豆腐,,板,,18.00,0.50,17.50,29.000,14.50,507.50
11040001,鲜花椒,,包,,6.00,4.00,2.00,18.000,72.00,36.00
11040002,湖南青椒,,斤,,58.00,4.00,54.00,5.000,20.00,270.00
11040004,指天椒,,斤,,11.00, ,11.00,6.000, ,66.00
11040005,红椒,,斤,,24.00,2.00,22.00,4.318,8.63,94.97
11040012,红彩椒,,斤,,29.00,1.00,28.00,5.536,5.53,154.97
11040013,黄彩椒,,斤,,34.00,1.00,33.00,5.469,5.47,180.53
11040014,红美人椒,,斤,,14.00,1.00,13.00,5.000,5.00,65.00
11040016,青椒,,斤,,12.00,3.00,9.00,2.467,7.27,21.83
11040020,杜远凉瓜,,斤,,19.00,2.00,17.00,5.625,11.21,95.29
11050002,莴笋头,,斤,,6.00, ,6.00,2.800, ,16.80
11050005,鲜露笋,,斤,,52.00,2.00,50.00,14.167,28.27,706.73
11050016,窝笋,,斤,,3.00, ,3.00,2.800, ,8.40
11050025,云南笋,,斤,,39.40, ,39.40,10.000, ,394.00
11050026,昆明笋（熟）,,斤,,10.00, ,10.00,18.000, ,180.00
11060001,干水菜心,,斤,,90.00,8.00,82.00,6.500,52.00,533.00
11060004,干水通菜,,斤,,10.00, ,10.00,5.500, ,54.00
11060012,白菜苗,,斤,,452.80,8.00,444.80,3.581,28.12,"1,563.28"
11060014,干水小塘菜,,斤,,53.00,5.00,48.00,2.800,14.00,134.40
11060015,干水奶白菜,,斤,,8.00, ,8.00,3.200, ,25.60
11060016,干水西生菜,,斤,,3.50, ,3.50,4.000, ,14.00
11060022,水东芥菜,,斤,,40.50,5.00,35.50,2.900,14.43,102.47
11060026,鲜黄花菜,,斤,,10.00,4.00,6.00,13.000,52.00,78.00
11060027,韭菜,,斤,,3.50, ,3.50,3.000, ,10.50
11060030,大豆芽,,斤,,76.60,3.00,73.60,2.196,6.59,161.69
11060036,萝卜苗,,斤,,163.50, ,163.50,4.053, ,662.00
11060037,夜香花,,斤,,9.00,2.00,7.00,20.000,40.00,140.00
11060038,鲜白果肉,,斤,,2.10,0.50,1.60,7.000,3.50,11.20
11060039,西芹,,斤,,55.30,3.00,52.30,3.686,11.18,194.96
11060040,香芹,,斤,,44.00,2.00,42.00,3.785,7.57,159.03
11060041,元茜,,斤,,29.30,0.50,28.80,7.000,3.50,201.60
11060042,意蕃茜,,斤,,1.70, ,1.70,23.000, ,39.10
11060044,西兰花,,斤,,23.00,2.00,21.00,5.643,11.17,117.33
11060055,薄荷叶,,斤,,1.00, ,1.00,7.000, ,7.00
11060058,番茄,,斤,,66.00,4.00,62.00,3.781,15.11,234.19
11060059,薯仔,,斤,,9.00, ,9.00,2.300, ,20.70
11060060,莲藕,,斤,,12.00,3.00,9.00,5.125,15.25,45.75
11060063,紫心番薯,,斤,,2.00, ,2.00,4.000, ,8.00
11060065,红洋葱,,斤,,108.00,3.00,105.00,2.500,7.50,262.50
11060066,干葱头,,斤,,54.00,3.00,51.00,5.458,16.44,279.56
11060067,京葱,,斤,,50.00,4.00,46.00,3.270,13.08,150.42
11060075,红萝卜,,斤,,96.70,4.00,92.70,2.296,9.17,212.44
11060076,白萝卜,,斤,,41.00,2.00,39.00,1.500,3.00,58.50
11060081,九芽生菜,,斤,,38.00,1.00,37.00,7.500,7.50,277.50
11060094,白菜心,,斤,,31.00, ,31.00,4.500, ,139.50
