物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,5.00,5.00, ,"1,409.000","7,045.00", 
02010010,90-100克岩手大网鲍,,只,,3.00,3.00, ,"2,213.000","6,639.00", 
02010011,120-150克岩手大网鲍,,只,,2.00,2.00, ,"5,018.000","10,036.00", 
02020002,26-30头吉品鲍,,斤,,0.96,0.89,0.07,"4,250.000","3,782.50",297.50
02020010,16头-20头吉品鲍,,斤,,0.67,0.60,0.07,"6,000.000","3,600.00",420.00
02030005,10-13头南非网鲍,,斤,,1.24,1.24, ,"1,333.330","1,653.33", 
02030006,20头南非吉品鲍,,斤,,0.88,0.88, ,"2,103.200","1,850.81", 
02030008,25头南非吉品鲍,,斤,,0.09,0.09, ,"3,318.000",298.62, 
02050001,20-29克禾麻鲍,,斤,,1.12,1.12, ,"5,933.980","6,646.05", 
合计,,,,,,,,,"41,551.31",717.50
03050003,12寸牙勾翅,,斤,,3.18,2.82,0.36,"1,013.310","2,857.54",364.79
0308,23寸鬼春翅,,斤,,4.14,3.23,0.91,"1,766.665","5,498.78","1,549.19"
合计,,,,,,,,,"8,356.32","1,913.98"
0102,燕盏,,斤,,2.07,1.67,0.40,"2,880.000","4,809.60","1,152.00"
合计,,,,,,,,,"4,809.60","1,152.00"
0401,冬虫草,,斤,,0.01, ,0.01,"73,482.640", ,734.83
0403,冬虫草1500支,,斤,,0.052669,0.048002,0.004667,"80,000.000","3,840.16",373.36
合计,,,,,,,,,"3,840.16","1,108.19"
总计,食品,,,,,,,,"58,557.39","4,891.67"
07010112,大鱼,,斤,,42.40,26.60,15.80,125.000,"3,325.00","1,975.00"
合计,肉类,,,,,,,,"3,325.00","1,975.00"
