物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,5.00,2.00,3.00,48.000,96.00,144.00
07050032,大海螺,,斤,,47.00, ,47.00,48.000, ,"2,256.00"
09030005,鹅肝,,斤,,5.00,6.00,-1.00,140.000,840.00,-140.00
09120001,冻三文鱼,,斤,,13.00,7.00,6.00,40.000,280.00,240.00
09120013,黄花鱼,,斤,,6.00,0.20,5.80,21.000,4.20,121.80
09120095,三文鱼籽,,斤,,1.40,0.80,0.60,190.000,152.00,114.00
09120122,鸭利,,斤,,52.00,12.00,40.00,28.000,336.00,"1,120.00"
09120209,海蜇丝,,斤,,116.00,62.00,54.00,12.500,775.00,675.00
09120239,红珊蚌,,盒,,10.00,1.00,9.00,70.000,70.00,630.00
09120273,阿拉斯加生冻皇帝蟹脚,,斤,,3.40,1.80,1.60,75.000,135.00,120.00
,肉类,,,,,,,,"2,688.20","5,280.80"
10010008,红谷米,,斤,,5.00,5.00, ,7.000,35.00, 
10010017,糯米(斤),,斤,,2.70,2.70, ,4.400,11.88, 
10030023,春卷皮,,包,,5.00, ,5.00,18.000, ,90.00
10030055,越南春卷皮/干,,包,,4.50,2.00,2.50,18.000,36.00,45.00
11010032,水果青瓜,,斤,,32.80,2.80,30.00,4.583,12.84,137.56
11030028,甜蜜豆,,斤,,3.00, ,3.00,9.500, ,28.50
11030044,鲜蚕豆,,斤,,3.00, ,3.00,5.500, ,16.50
11030046,进口厚腐皮,,斤,,3.20,1.50,1.70,26.500,39.75,45.05
,食品,,,,,,,,135.47,362.61
11030052,毛豆,,斤,,8.00,2.00,6.00,5.333,10.50,31.50
11040004,指天椒,,斤,,1.00, ,1.00,6.000, ,6.00
11050002,莴笋头,,斤,,24.00, ,24.00,2.800, ,67.20
11050016,窝笋,,斤,,5.00,2.00,3.00,2.800,5.60,8.40
11050025,云南笋,,斤,,4.00, ,4.00,4.500, ,18.00
11060016,干水西生菜,,斤,,5.00, ,5.00,4.000, ,20.00
11060027,韭菜,,斤,,6.00,1.00,5.00,3.000,3.00,15.00
11060037,夜香花,,斤,,3.50,1.00,2.50,20.000,20.00,50.00
11060040,香芹,,斤,,3.00, ,3.00,3.800, ,11.40
11060055,薄荷叶,,斤,,14.10,0.50,13.60,7.000,3.50,95.20
11060060,莲藕,,斤,,3.00, ,3.00,5.000, ,15.00
11060065,红洋葱,,斤,,37.00, ,37.00,2.500, ,92.50
11060075,红萝卜,,斤,,8.00,2.00,6.00,2.300,4.60,13.80
11060076,白萝卜,,斤,,8.00,2.00,6.00,1.500,3.00,9.00
11060110,鲜花生,,斤,,6.00,3.00,3.00,5.000,15.00,15.00
11060115,洋葱,,斤,,2.00,5.00,-3.00,3.600,18.00,-10.80
11060137,意大利黑醋,,支,,2.00,0.30,1.70,26.000,7.80,44.20
11060138,素鲍鱼,,只,,18.00,8.00,10.00,8.500,68.00,85.00
11060154,手指萝卜,,斤,,5.00, ,5.00,9.000, ,45.00
11060181,万年青,,斤,,23.80,12.00,11.80,28.000,336.00,330.40
11070069,鲜天麻,,斤,,2.50,2.50, ,42.000,105.00, 
,蔬菜,,,,,,,,600.00,961.80
12030025,清酒,1.8升,支,,1.00, ,1.00,130.000, ,130.00
13020007,苹果醋,,支,,11.00,4.50,6.50,5.200,23.40,33.80
13020017,葡萄汁,,支,,3.00, ,3.00,36.000, ,108.00
14020013,红富士苹果,,斤,,3.30,2.50,0.80,9.000,22.50,7.20
14030002,新奇士橙,,斤,,28.70,9.00,19.70,11.571,102.26,223.84
14060002,草莓,,合,,20.00,2.00,18.00,25.000,50.00,450.00
14070001,红提子,,斤,,4.50,1.00,3.50,15.000,15.00,52.50
14070004,进口红提,,斤,,5.10, ,5.10,15.750, ,81.90
