物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
09010001,三黄鸡,,斤,,74.00, ,74.00,9.500, ,703.00
09020002,光鸭,,斤,,210.50, ,210.50,8.500, ,"1,789.25"
09040002,猪赤肉,,斤,,10.00,10.00, ,12.000,120.00, 
09040009,无皮花肉,,斤,,233.80,5.00,228.80,10.577,52.77,"2,414.63"
09040036,猪排骨,,斤,,20.00, ,20.00,17.500, ,350.00
09040069,枚肉(瘦肉),,斤,,10.00, ,10.00,12.000, ,120.00
09130005,鲩鱼,,斤,,59.00, ,59.00,7.450, ,439.30
,肉类,,,,,,,,172.77,"5,816.18"
10010016,厨上厨猫牙米,,包,,22.00,3.00,19.00,125.000,375.00,"2,375.00"
10020007,优质河粉,,斤,,60.00, ,60.00,1.700, ,102.00
10050074,米线,,斤,,15.00, ,15.00,2.100, ,31.50
17050009,福食虾子面,,斤,,30.00,13.00,17.00,27.333,282.53,369.47
,粮油,,,,,,,,657.53,"2,877.97"
14090036,菠萝,,斤,,18.00, ,18.00,4.500, ,81.00
15040050,腐乳,335克,瓶,,32.00,23.00,9.00,4.800,110.40,43.20
15090006,绿豆,,斤,,25.00, ,25.00,6.500, ,162.50
15090107,红衣花生,,斤,,24.00, ,24.00,8.000, ,192.00
17040001,福食鸡蛋,,斤,,630.90, ,630.90,5.900, ,"3,722.31"
17040006,福食鸡腿,,斤,,133.90,25.00,108.90,9.000,225.00,980.10
17070002,福食榨菜丝,,斤,,5.00,2.00,3.00,2.500,5.00,7.50
17070004,福食梅菜,,斤,,16.00, ,16.00,2.500, ,40.00
17070010,福食甜梅菜,,斤,,58.00, ,58.00,3.000, ,174.00
,食品,,,,,,,,340.40,"5,402.61"
11010007,节瓜,,斤,,123.00, ,123.00,1.800, ,221.40
11060212,菜心,,斤,,36.00, ,36.00,3.300, ,118.80
17010001,福食生菜,,斤,,41.00, ,41.00,2.200, ,90.20
17010003,福食茄瓜,,斤,,175.00, ,175.00,2.000, ,350.00
17010004,福食冬瓜,,斤,,71.00, ,71.00,1.200, ,85.20
17010005,福食油麦菜,,斤,,212.00, ,212.00,2.500, ,530.00
17010006,福食大白菜,,斤,,170.00, ,170.00,1.800, ,306.00
17010009,福食本地菜心,,斤,,175.00, ,175.00,2.900, ,506.50
17010010,福食青尖椒,,斤,,67.00, ,67.00,2.200, ,147.40
17010013,福食椰菜,,斤,,110.00, ,110.00,1.600, ,176.00
17010016,福食鲜冬菇,,斤,,40.00, ,40.00,6.500, ,260.00
17010020,福食肉姜,,斤,,6.00, ,6.00,8.800, ,52.80
17010021,福食葱肉,,斤,,5.00, ,5.00,5.000, ,25.00
17010025,福食小白菜,,斤,,176.00, ,176.00,2.300, ,404.80
17010038,福食奶白菜,,斤,,36.00, ,36.00,2.500, ,90.00
17010046,福食酸菜,,斤,,88.00, ,88.00,2.500, ,220.00
17010047,福食通菜,,斤,,354.00, ,354.00,1.800, ,637.20
17010048,福食大豆芽,,斤,,99.00, ,99.00,1.000, ,99.00
17010049,福食苋菜,,斤,,251.00, ,251.00,1.586, ,398.50
17010056,福食凉瓜,,斤,,140.00, ,140.00,1.800, ,252.00
17010059,福食春菜,,斤,,108.00, ,108.00,2.300, ,248.40
17010060,福食白瓜,,斤,,149.00,25.00,124.00,2.000,50.00,248.00
17010061,福食海带丝,,斤,,13.00, ,13.00,2.800, ,36.40
17010065,福食细豆芽,,斤,,85.00, ,85.00,1.000, ,85.00
17010068,福食香脆片,,斤,,60.00,5.00,55.00,2.800,14.00,154.00
17010070,福食水东芥菜,,斤,,147.00, ,147.00,2.500, ,367.50
17010071,福食红洋葱,,斤,,22.50, ,22.50,2.000, ,45.00
17010072,福食白菜,,斤,,38.00, ,38.00,2.300, ,87.40
17010080,福食白洋葱,,斤,,15.00, ,15.00,2.000, ,30.00
,蔬菜,,,,,,,,64.00,"6,272.50"
17020002,福食猪排骨,,斤,,20.00, ,20.00,17.500, ,350.00
17020003,福食冻猪手,,斤,,20.00, ,20.00,14.000, ,280.00
17030003,福食咸鱼,,斤,,22.00,2.00,20.00,18.000,36.00,360.00
17030012,福食鸡翼尖,,斤,,50.00, ,50.00,9.000, ,450.00
17030016,福食猪手,,斤,,60.00, ,60.00,14.000, ,840.00
,肉类,,,,,,,,36.00,"2,280.00"
合计,,,,,,,,,"1,270.70","22,649.26"
