物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,13.50,6.70,6.80,436.667,"2,914.25","2,957.75"
07010005,大龙趸,,斤,,172.00,17.40,154.60,38.635,672.44,"5,974.66"
07010008,大东星斑,,斤,,108.30,25.80,82.50,113.308,"2,892.55","9,249.45"
07010009,细东星斑,,斤,,68.90,3.50,65.40,155.000,535.67,"10,009.33"
07010013,老鼠斑,,斤,,18.50, ,18.50,232.222, ,"4,276.00"
07010035,石头鱼,,斤,,5.30, ,5.30,110.000, ,583.00
07010051,黄丁,,斤,,6.30,0.30,6.00,67.500,20.00,400.00
07010090,黄皮老虎,,斤,,17.90, ,17.90,147.500, ,"2,633.50"
07010114,大苏鼠斑,,斤,,20.20, ,20.20,60.000, ,"1,212.00"
07010139,红玫瑰鱼,,斤,,8.50,0.50,8.00,200.000,100.00,"1,600.00"
07010142,蓝东星,,斤,,38.60,1.20,37.40,75.714,95.27,"2,969.13"
07010147,次细东星,,斤,,8.30, ,8.30,160.000, ,"1,315.00"
07010148,次细蓝东星,,斤,,5.70, ,5.70,50.000, ,285.00
07010149,东星虫,,斤,,2.30, ,2.30,110.000, ,253.00
07010150,次大龙趸,,斤,,14.40, ,14.40,28.000, ,403.20
07020001,波斯龙虾,,斤,,54.90,32.60,22.30,79.250,"2,463.59","1,685.21"
07020003,花龙虾,,斤,,78.80,37.30,41.50,268.885,"9,960.59","11,082.16"
07020010,斑马富贵虾,,斤,,18.10,3.50,14.60,155.000,542.50,"2,263.00"
07020017,花虾,,斤,,20.00, ,20.00,83.750, ,"1,675.00"
07020024,青龙虾仔,,斤,,27.60,9.20,18.40,185.000,"1,710.50","3,421.00"
07020026,直波斯龙虾,,斤,,4.50, ,4.50,50.000, ,225.00
07020031,直花虾,,斤,,5.00, ,5.00,55.000, ,275.00
07030024,黄油蟹（只）,5-5.9两,只,,9.00, ,9.00,205.000, ,"1,845.00"
07030025,黄油蟹（只）,4-4.9两,只,,27.00, ,27.00,155.000, ,"4,185.00"
07030026,黄油蟹（只）,3-3.9两,只,,17.00, ,17.00,105.000, ,"1,785.00"
07030027,次阿拉斯加蟹,,斤,,8.00, ,8.00,70.000, ,560.00
07040001,象拨蚌,,斤,,65.90,5.10,60.80,205.385,"1,052.35","12,545.65"
07050007,圣子王,,斤,,15.70, ,15.70,63.333, ,"1,008.00"
07050039,美国响螺,,斤,,21.00,5.20,15.80,68.500,367.39,"1,116.31"
07050049,富贵蚌仔,,斤,,5.00, ,5.00,42.000, ,210.00
07060002,大连鲍(5只/斤),,斤,,60.33,7.00,53.33,98.000,686.00,"5,226.34"
07060009,南非鲜鲍(2只/斤),,斤,,23.70,12.75,10.95,217.500,"2,745.28","2,357.72"
07060013,南非鲜鲍（3只/斤）,,斤,,31.80, ,31.80,210.000, ,"6,678.00"
09120229,7头大虾,,盒,,25.14,7.00,18.14,210.000,"1,470.00","3,809.40"
合计,海鲜,,,,,,,,"28,228.38","106,073.81"
