物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
12010001,路易十三,700ml,支,,1.00,1.00, ,"11,364.660","11,364.66", 
12010006,大号轩尼诗XO,700ml,支,,3.00,3.00, ,"1,370.000","4,110.00", 
12010010,大号轩尼诗杯莫停,700ml,支,,1.00,1.00, ,"3,550.000","3,550.00", 
12010011,轩尼诗李察,700ml,支,,1.00,1.00, ,"11,200.000","11,200.00", 
12010013,3L蓝带马爹利,3l,支,,1.00,1.00, ,"6,470.000","6,470.00", 
12010015,大号蓝带马爹利,700ml,支,,5.00,5.00, ,530.000,"4,240.00", 
12010018,尚至尊马爹利,700ML,支,,2.00,2.00, ,"22,575.000","45,150.00", 
12010020,大号马爹利X.O,700ml,支,,14.00,14.00, ,715.000,"17,160.00", 
12010092,皇家礼炮21年,700ml,支,,1.00,1.00, ,"1,030.000","1,030.00", 
12010093,酩悦香槟,750ml,支,,6.00,6.00, ,420.000,"2,520.00", 
12010097,350ML蓝带马爹利,,支,,3.00,3.00, ,635.000,"1,905.00", 
12010102,1.5L蓝带马爹利赠送,,支,,2.00,2.00, , , , 
12010103,1L蓝带马爹利赠送,,支,,3.00,3.00, , , , 
12010105,350ML马爹利XO赠送,,支,,1.00,1.00, , , , 
12010106,尚至尊马爹利赠送,,支,,1.00,1.00, , , , 
12010107,马爹利凯旋赠送,,支,,1.00,1.00, , , , 
12010108,马爹利尚选赠送,,支,,1.00,1.00, , , , 
12010109,3L马爹利X.O赠送,,支,,1.00,1.00, , , , 
12010110,1.5L马爹利XO赠送,,支,,2.00,2.00, , , , 
12010112,日本威士忌　响-17,,支,,13.00,13.00, ,680.000,"8,840.00", 
12020002,2006奔富707,750ML,支,,8.00,8.00, ,"2,048.000","16,384.00", 
12020004,奔富407,750ml,支,,25.00,22.00,3.00,345.840,"7,608.48","1,037.52"
12020007,2004年拉菲正牌,750ml,支,,5.00,5.00, ,"4,222.007","21,110.04", 
12020008,2004年拉菲副牌,750ml,支,,1.00,1.00, ,"1,499.550","1,499.55", 
12020013,2004年柏图斯副牌,750ml,支,,5.00,5.00, ,"1,049.000","5,245.00", 
12020014,1997年拉图,750ml,支,,2.00,2.00, ,"3,660.000","7,320.00", 
12020034,新西兰奇异庄园梅乐卡伯纳红,750ml,支,,8.00,6.00,2.00,148.000,888.00,296.00
12020039,杰卡斯酿酒师臻选梅洛干红,,支,,21.00,12.00,9.00,160.000,"1,920.00","1,440.00"
12020043,姚明那帕谷赤霞珠干红,,支,,2.00,2.00, ,"1,380.000","2,760.00", 
12020044,2003年拉图副牌,750ML,支,,7.00,7.00, ,"1,972.000","13,804.00", 
12020045,1995拉菲正牌,750ML,支,,2.00,2.00, ,"6,002.395","12,004.79", 
12020046,1987拉菲正牌,750ML,支,,1.00,1.00, ,"3,400.000","3,400.00", 
12020047,1995拉菲副牌,750ML,支,,4.00,4.00, ,"1,838.000","7,352.00", 
12020048,2003拉菲副牌,750ML,支,,4.00,4.00, ,"1,838.000","7,352.00", 
12020050,2001柏图斯副牌,750ML,支,,6.00,6.00, ,"1,350.000","8,100.00", 
12020051,2002柏图斯正牌,750ML,支,,1.00,1.00, ,"10,000.000","10,000.00", 
12020055,杰卡斯酿酒师臻选莎当尼干白,,支,,7.00,7.00, ,160.000,"1,120.00", 
12020058,杰卡斯西拉珍藏干红赠送,,支,,2.00,2.00, , , , 
12020062,路易乐图戈东特级园戈东格朗赛,,支,,2.00,2.00, ,"1,680.000","3,360.00", 
12020063,名仕马爹利,,支,,1.00,1.00, ,438.000,438.00, 
12030001,新西兰奇异庄园白苏维翁白/进口,750ml,支,,11.00,11.00, ,118.000,"1,298.00", 
12030002,十年花雕,500ml,支,,7.00,4.00,3.00,72.000,288.00,216.00
12030004,20年花雕,500ml,支,,5.00,4.00,1.00,195.000,780.00,195.00
12030007,38度茅台,500ml,支,,8.00,8.00, ,370.830,"2,966.64", 
12030008,53度茅台,500ml,支,,17.00,13.00,4.00,993.090,"12,765.43","3,927.83"
12030009,15年茅台,500ml,支,,2.00,2.00, ,"3,350.000","6,700.00", 
12030010,30年茅台,500ml,支,,3.00,3.00, ,"6,500.000","19,500.00", 
12030011,50年茅台,500ml,支,,2.00,2.00, ,"9,800.000","19,600.00", 
12030015,52度五粮液,500ml,支,,9.00,9.00, ,681.330,"6,131.97", 
12030016,39度五粮液,500ml,支,,12.00,12.00, ,930.000,"11,160.00", 
12030046,53度梅鹿液,,支,,16.00,9.00,7.00,41.000,369.00,287.00
12040005,黑芙蓉王(软),,包,,46.00,39.00,7.00,38.500,"1,417.57",254.43
12040010,软中华,,包,,183.00,155.00,28.00,65.000,"10,075.00","1,820.00"
12040011,云烟,,包,,53.00,53.00, ,85.000,"4,505.00", 
12040014,古巴古希华2006限量版,,支,,6.00,5.00,1.00,320.000,"1,600.00",320.00
12040016,大卫杜夫牌雪茄,,支,,4.00,4.00, ,147.250,589.00, 
,烟酒,,,,,,,,"348,951.13","9,793.78"
08020006,花旗参片（小）,,斤,,19.80,4.63,15.17,383.335,"1,781.86","5,838.17"
11060048,枸杞,,斤,,2.60, ,2.60,48.000, ,124.80
12040018,扑克,,副,,9.00,8.00,1.00,1.500,12.00,1.50
12040021,得宝大纸无味,,包,,73.00,289.00,-216.00,0.709,204.91,-153.15
13010002,罐可乐,,罐,,31.00,37.00,-6.00,2.625,97.12,-15.75
13020003,苏打水,330ml,支,,99.00,57.00,42.00,3.417,194.75,143.50
13020015,普娜天然矿泉水,750ml,瓶,,104.00,66.00,38.00,17.500,"1,155.00",665.00
13020016,圣培露甜橙果汁,200ml,支,,20.00,14.00,6.00,7.900,110.60,47.40
13020019,圣培露柠檬果汁,200ML,瓶,,41.00,36.00,5.00,7.900,284.40,39.50
13020020,小芙丝水,1*24*375ml,支,,69.00,54.00,15.00,12.000,648.00,180.00
13020021,大芙丝水,1*12*800ml,支,,26.00,24.00,2.00,18.784,493.78,41.15
13020030,益力桶装水,,桶,,38.00, ,38.00,13.500, ,513.00
13030001,喜力,330ml,支,,48.00,21.00,27.00,7.750,162.75,209.25
13030004,极品青岛,296ml,支,,113.00,47.00,66.00,5.625,264.37,371.25
15030005,宝生园蜜糖,375克,瓶,,1.00, ,1.00,6.500, ,6.50
15030006,太古方糖,454克,合,,3.50,3.00,0.50,8.000,24.00,4.00
15080168,去衣杏仁,,斤,,27.50,4.59,22.91,21.000,96.39,481.11
15090029,蜜枣,,斤,,17.80,7.41,10.39,7.833,57.20,80.20
15090042,大红枣,,斤,,14.56,4.42,10.14,32.500,140.43,322.17
15120049,甘草,,斤,,3.30, ,3.30,25.000, ,82.50
15120086,西藏红花,,g,,40.00,26.00,14.00,13.392,348.19,187.49
15120132,靓甘草,,斤,,6.00,5.15,0.85,25.000,128.75,21.25
15120133,石斛花（金兰花）,,斤,,0.07,0.05,0.02,"1,800.000",90.00,36.00
15120166,宁夏杞子,,斤,,5.00,4.51,0.49,48.000,216.48,23.52
15120174,20年陈皮,,斤,,3.00,0.89,2.11,658.330,585.91,"1,389.07"
1612,不知年普洱茶,,斤,,1.00,0.50,0.50,300.000,150.00,150.00
1617,雪茶,,KG,,1.40,0.36,1.04,147.500,53.49,154.51
1623,西藏雪菊花,,斤,,3.43,0.85,2.58,28.000,23.66,71.81
11060134,雪菊,,斤,,0.22, ,0.22,380.000, ,83.60
1634,日本绿茶,,包,,17.71,16.81,0.90,106.380,"1,788.72",95.77
Y1030112,双层保温瓶,,个,,12.00,13.00,-1.00,40.000,520.00,-40.00
Y1090017,高山芷扬,,扎,,8.00, ,8.00,12.000, ,96.00
,饮料,,,,,,,,"9,632.76","11,251.12"
11060108,西柠,,斤,,1.00, ,1.00,13.000, ,13.00
14010002,西瓜,,斤,,411.00, ,411.00,1.360, ,554.70
14010005,哈密瓜,,斤,,194.80, ,194.80,3.346, ,647.78
14010006,夏威夷木瓜,,斤,,217.40, ,217.40,2.491, ,543.00
14010010,哈密瓜,,件,,1.00, ,1.00,60.000, ,60.00
14020007,火龙果,,斤,,210.70, ,210.70,4.040, ,851.30
14020013,红富士苹果,,斤,,33.20, ,33.20,6.459, ,215.00
14030002,新奇士橙,,斤,,339.60, ,339.60,7.682, ,"2,470.00"
14030004,本地脐橙,,斤,,180.00, ,180.00,2.609, ,495.00
14030005,杨氏橙,,斤,,168.80, ,168.80,6.044, ,"1,020.00"
14060002,草莓,,合,,6.00, ,6.00,25.000, ,150.00
14070003,黑加仑提子,,斤,,51.50, ,51.50,17.281, ,890.00
14070004,进口红提,,斤,,22.00, ,22.00,12.500, ,302.00
,水果,,,,,,,, ,"8,211.78"
合计,,,,,,,,,"358,583.89","29,256.68"
