物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
10010019,鱼沼米,5KG,包,,1.00, ,1.00,304.000, ,304.00
10010034,金象牌精选泰香米,2.5kg,袋,,10.00,10.00, ,45.800,458.00, 
10010035,金象牌精选泰香米,5KG,袋,,5.00, ,5.00,88.000, ,440.00
11060201,精选手工蒜肉,,斤,,30.70, ,30.70,8.000, ,245.60
15020013,黑盐,,瓶,,5.00,4.00,1.00, , , 
15040001,樱花芥辣,43g,支,,16.00,7.50,8.50,9.000,67.50,76.50
15050016,宁化府陈醋,330ml,支,,10.00,7.00,3.00,10.750,75.25,32.25
15060009,日本海鲜豉油,200ml,瓶,,11.00,4.50,6.50,20.000,90.00,130.00
15060016,泰国鱼露,725毫升,瓶,,2.50,1.00,1.50,8.000,8.00,12.00
15060048,海天罐装金标生抽,1.9l,罐,,7.00,2.50,4.50,16.600,41.50,74.70
15060049,海天罐装草菇老抽,1.9L,罐,,3.00, ,3.00,16.600, ,49.80
15060090,辣椒浸蒜头,,斤,,30.00,30.00, ,12.000,360.00, 
合计,食品,,,,,,,,"1,100.25","1,364.85"
