物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,153.80,4.00,149.80,33.097,132.39,"4,957.90"
07020023,大沙虾,,斤,,3.00, ,3.00,22.000, ,71.00
07030021,毛蟹,,斤,,3.00,1.00,2.00,38.000,38.00,76.00
08040006,咸蛋黄,,只,,10.00, ,10.00,1.200, ,12.00
09040005,猪肥肉,,斤,,5.00,0.50,4.50,7.500,3.75,33.75
09110002,腊肉,,斤,,5.00,1.00,4.00,34.500,34.80,139.20
09110003,腊肠,,斤,,7.00,11.00,-4.00,46.250,495.00,-180.00
09120013,黄花鱼,,斤,,5.40,2.00,3.40,22.000,44.52,75.68
09120064,冻猪手,,斤,,30.00,18.00,12.00,14.000,252.00,168.00
09120111,珍珠蚝,,斤,,3.00,2.00,1.00,10.000,20.00,10.00
09120133,麻虾仁31-40,,斤,,125.00,30.00,95.00,45.000,"1,350.00","4,275.00"
09120206,凤爪,,斤,,42.00,5.00,37.00,22.800,114.00,843.60
09120211,樱花虾,0.5KG/包,斤,,1.00,1.00, ,181.840,181.84, 
09120224,珍珠蚝,,包,,15.00, ,15.00,10.000, ,150.00
09120260,烧卖馅,,斤,,40.00,5.00,35.00,34.300,171.50,"1,200.50"
,肉类,,,,,,,,"2,837.80","11,832.63"
10010020,五彩米,,包,,7.00, ,7.00,39.900, ,279.30
10010026,葛仙米,,斤,,0.80, ,0.80,"2,500.000", ,"2,000.00"
10030038,双箭澄面,,包,,2.20,1.33,0.87,215.000,285.95,187.05
,粮油,,,,,,,,285.95,"2,466.35"
11010004,青瓜,,斤,,20.00,2.00,18.00,2.500,5.00,45.00
11010016,小金瓜,,斤,,17.00, ,17.00,4.000, ,68.00
11010038,7两太阳果,,只,,50.00, ,50.00,7.000, ,350.00
11010042,9两太阳果,,只,,32.00,20.00,12.00,7.000,140.00,84.00
11020006,鲜冬菇,,斤,,10.00,2.00,8.00,7.500,15.00,60.00
11020021,杏鲍菇,,斤,,54.00,10.00,44.00,6.483,64.89,285.51
11020028,百灵菇,,斤,,8.50, ,8.50,18.000, ,153.00
11060014,干水小塘菜,,斤,,11.00, ,11.00,2.460, ,27.30
11060015,干水奶白菜,,斤,,8.00, ,8.00,3.050, ,24.20
11060016,干水西生菜,,斤,,8.00,1.00,7.00,3.929,3.87,27.13
11060027,韭菜,,斤,,1.00,0.50,0.50,3.500,1.75,1.75
11060044,西兰花,,斤,,38.00,2.00,36.00,5.464,10.92,196.58
11060055,薄荷叶,,斤,,4.00, ,4.00,10.000, ,40.00
11060060,莲藕,,斤,,29.00,3.00,26.00,4.278,12.84,111.26
11060066,干葱头,,斤,,1.00, ,1.00,5.500, ,5.50
11060075,红萝卜,,斤,,8.00, ,8.00,2.000, ,16.00
11060076,白萝卜,,斤,,151.00,5.00,146.00,1.600,8.00,233.60
11060124,百合皇,,斤,,3.00, ,3.00,45.000, ,135.00
11060129,泰国芫西,,斤,,6.10,2.00,4.10,18.000,36.00,73.80
11060130,洛神花,,斤,,2.00,0.50,1.50,90.000,45.00,135.00
11060171,乐昌芋头,,斤,,11.00, ,11.00,6.500, ,71.50
11060174,九层塔,,斤,,5.00, ,5.00,8.000, ,40.00
11060205,芥兰苗,,斤,,3.00,2.00,1.00,6.500,13.00,6.50
11060255,芥兰远,,斤,,13.00, ,13.00,5.500, ,71.50
11070012,马蹄肉,,斤,,5.00, ,5.00,7.000, ,35.00
11070015,姜肉,,斤,,18.00,4.00,14.00,7.167,28.67,100.33
11070057,大叶,,合,,20.00,2.00,18.00,7.000,14.00,126.00
11070073,冰鲜黑松露菌,,斤,,2.50,0.80,1.70,450.000,360.00,765.00
11070081,广西老淮山,,斤,,26.00,5.00,21.00,6.000,30.00,126.00
,蔬菜,,,,,,,,788.94,"3,414.46"
0102,燕盏,,斤,,0.02,,0.02,"2,880.000", ,57.60
10010022,三象糯米粉,,包,,20.00,12.00,8.00,6.300,75.60,50.40
10020015,红米粉,,斤,,3.00,2.00,1.00,20.000,40.00,20.00
10020022,粘米粉(斤),,斤,,42.00,17.00,25.00,5.000,85.00,125.00
10030031,白网皮,200g,包,,15.00,1.00,14.00,11.000,11.00,154.00
10030046,金像面粉(斤),,斤,,95.40,65.00,30.40,3.489,234.87,109.85
10030047,美玫面粉(斤),,斤,,261.60,85.00,176.60,3.524,299.56,622.38
10030052,稻庭面,1KG,包,,61.00,20.00,41.00,91.590,"1,831.80","3,755.19"
10030072,方黄金网皮,,包,,6.00,2.00,4.00,20.000,40.00,80.00
10030073,麻薯粉,,包,,5.00,1.50,3.50,95.000,142.50,332.50
10030077,全麦面粉,,斤,,5.00,4.00,1.00,7.700,30.80,7.70
10040010,脱膜油,,支,,1.00, ,1.00,55.000, ,55.00
10050045,寿桃,,只,,16.00, ,16.00,10.000, ,160.00
10050047,小笼包馅,,斤,,67.00,6.00,61.00,15.411,92.45,939.95
10050049,猪皮冻,,斤,,82.00,5.00,77.00,18.000,90.00,"1,386.00"
10050066,排骨馅,,斤,,56.00,4.00,52.00,26.000,104.00,"1,352.00"
10050067,牛肉馅,,斤,,37.00,2.00,35.00,24.200,48.40,847.00
10050069,脆皮,,斤,,5.00, ,5.00,15.000, ,75.00
10050086,大寿桃,,只,,2.00, ,2.00,18.000, ,36.00
12030051,朗姆酒,,支,,2.00,1.50,0.50,90.000,135.00,45.00
12030053,咖啡酒,,支,,1.00,1.00, ,95.000,95.00, 
14020011,点心芒果,,斤,,12.90,3.00,9.90,8.750,25.23,83.27
14020022,红肉火龙果,,斤,,2.38, ,2.38,11.000, ,26.18
14060002,草莓,,合,,18.00,4.00,14.00,8.714,32.44,113.56
14080001,雪梨,,斤,,33.40, ,33.40,4.333, ,139.40
14090034,脱衣核桃,,斤,,2.00,2.00, ,54.000,108.00, 
14090040,椰子,,只,,13.00,5.00,8.00,6.000,30.00,48.00
15010006,黄奶油,,桶,,1.00, ,1.00,305.000, ,305.00
15010024,车轮黄牛油,16KG,桶,,1.00,0.72,0.28,305.000,219.60,85.40
15010025,车轮白奶油,15KG,桶,,1.00,0.50,0.50,315.000,157.50,157.50
15010037,正义猪板油(斤),,斤,,30.00,20.00,10.00,9.000,180.00,90.00
15010046,纽西兰大牛油,,件,,0.50,0.50, ,"1,050.000",525.00, 
15010047,蛋糕油,,瓶,,1.00,0.33,0.67,45.000,14.85,30.15
15030001,幼沙糖,30kg,包,,4.50,2.00,2.50,210.000,420.00,525.00
15030005,宝生园蜜糖,375克,瓶,,17.00,2.00,15.00,6.500,13.00,97.50
15030031,银珠糖,,罐,,2.00,1.50,0.50,28.000,42.00,14.00
15030035,雀巢咖啡布丁,,包,,3.00,3.00, ,28.500,85.50, 
15040001,樱花芥辣,43g,支,,7.00,3.00,4.00,9.000,27.00,36.00
15040007,四季宝花生酱,1kg,罐,,1.00, ,1.00,34.000, ,34.00
15040010,卡夫奇妙酱,700ml,瓶,,6.00,3.00,3.00,21.000,63.00,63.00
15040118,黑松露酱,,瓶,,1.00,0.33,0.67,487.500,160.87,326.63
15040131,英雄栗子茸,,罐,,1.00,1.00, ,80.000,80.00, 
15040132,好时朱古力酱,,支,,2.00,2.00, ,20.000,40.00, 
15040151,蟹粉,,瓶,,1.00,0.50,0.50,170.000,85.00,85.00
15050027,八珍甜醋,,罐,,3.00,1.00,2.00,98.000,98.00,196.00
15050028,致美斋甜醋,,罐,,3.00,1.00,2.00,51.500,51.50,103.00
15060002,李锦记草菇老抽,1.9l,瓶,,1.00, ,1.00,16.500, ,16.50
15060048,海天罐装金标生抽,1.9l,罐,,1.00,0.50,0.50,16.600,8.30,8.30
15060049,海天罐装草菇老抽,1.9L,罐,,1.00, ,1.00,18.200, ,18.20
15070012,薯仔粉,2.46kg,罐,,1.00,0.50,0.50,50.000,25.00,25.00
15070013,马蹄粉,500克,盒,,10.00, ,10.00,26.000, ,260.00
15070023,鱼胶粉,500克,盒,,3.00,0.50,2.50,52.000,26.00,130.00
15070024,风车生粉,50KG,包,,1.50,0.40,1.10,270.000,108.00,297.00
15070025,(发酵)泡打粉,,罐,,1.00,0.33,0.67,40.000,13.20,26.80
15070026,鹰粟粉,1kg,包,,12.00,3.00,9.00,10.000,30.00,90.00
15070027,斧头食粉,454g,合,,2.00,1.00,1.00,4.500,4.50,4.50
15070029,依仕粉,500g,包,,1.00, ,1.00,18.000, ,18.00
15070030,吉士粉,3.5kg,罐,,1.00,1.00, ,80.000,80.00, 
15070036,五香粉,454g,包,,2.00, ,2.00,7.000, ,14.00
15070037,胡椒粉,400g,包,,1.00, ,1.00,5.500, ,5.50
15070062,奶粉,500g,包,,3.00,1.00,2.00,31.000,31.00,62.00
15070067,蛋黄色素,,包,,1.00,1.00, ,93.000,93.00, 
15070098,金山杏仁粉,,包,,1.00,1.00, ,900.000,900.00, 
15070120,风车生粉(斤),,斤,,220.00,40.00,180.00,5.325,213.27,959.73
15070126,BBA色素/橙黄,,罐,,1.00,1.00, ,98.000,98.00, 
15070140,三角唛苹果绿,,罐,,1.00,1.00, ,42.000,42.00, 
15070141,ABBA玫瑰红,,罐,,1.00,1.00, ,78.000,78.00, 
15070145,美极香菇粉,,罐,,1.00,0.50,0.50,30.000,15.00,15.00
15070146,木薯粉,0.5KG,包,,12.00,3.00,9.00,5.500,16.50,49.50
15070157,富田大红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070163,金冠唂咕粉,,瓶,,2.00,1.00,1.00,38.000,38.00,38.00
15070165,即溶吉士粉,,盒,,1.50,1.50, ,52.500,78.75, 
15070166,大师傅塔塔粉,,瓶,,1.00,1.00, ,75.000,75.00, 
15070171,朱师傅抹茶粉,,罐,,4.00,3.00,1.00,78.000,231.00,77.00
15070172,特A改良剂,,包,,0.50,0.40,0.10,30.000,12.00,3.00
15070175,富田粉红色素,,支,,1.00,1.00, ,23.000,23.00, 
15070181,橙红色色素,,瓶,,1.00, ,1.00,30.000, ,30.00
15080002,虾米,,斤,,2.50,0.60,1.90,43.000,25.80,81.70
15080024,黄耳,,斤,,1.00,0.80,0.20,180.000,144.00,36.00
15080027,日本紫菜,50片4两,包,,3.00,2.00,1.00,25.000,50.00,25.00
15080070,粽叶,,包,,2.00,1.00,1.00,18.000,18.00,18.00
15080078,威化纸,,包,,2.00,4.00,-2.00,10.000,40.00,-20.00
15080120,椰丝,,斤,,3.00,3.00, ,12.000,36.00, 
15080165,野生金耳,0.5斤/包,斤,,1.00, ,1.00,100.000, ,100.00
15080168,去衣杏仁,,斤,,9.00,2.00,7.00,21.000,42.00,147.00
15090005,红豆,,斤,,3.00,9.00,-6.00,6.500,58.50,-39.00
15090006,绿豆,,斤,,13.00,2.00,11.00,6.500,13.00,71.50
15090027,黑芝麻,,斤,,7.50,3.60,3.90,11.167,40.08,43.42
15090028,白芝麻,,斤,,0.50,1.00,-0.50,11.500,11.50,-5.75
15090106,西杏片,,斤,,5.00,2.00,3.00,43.000,86.00,129.00
15090107,红衣花生,,斤,,6.00,3.00,3.00,8.000,24.00,24.00
15090127,雪莲子,,斤,,1.50,1.00,0.50,175.000,175.00,87.50
15090132,西米,,包,,12.00,9.00,3.00,1.650,15.75,5.25
15090149,鲜白莲子,,包,,10.00, ,10.00,3.800, ,38.00
15100002,鹰唛炼奶,370g,罐,,13.00,2.00,11.00,11.000,22.00,121.00
15100005,保利奶,1kg,罐,,25.00,1.00,24.00,16.000,16.00,384.00
15100009,雀巢咖啡,200g,瓶,,1.00,1.00, ,58.000,58.00, 
15100018,豆豉鲮鱼,227g,罐,,1.00, ,1.00,8.000, ,8.00
15100026,高达椰浆,400g,罐,,24.00, ,24.00,8.500, ,204.00
15100034,地扪杂果,,罐,,4.00, ,4.00,12.000, ,48.00
15100071,桂花糖,300g,支,,2.00,2.00, ,5.000,10.00, 
15100105,黑车厘子,,瓶,,2.00,2.00, ,25.000,50.00, 
15100106,淑女光亮膏,,瓶,,1.00,1.00, ,32.000,32.00, 
15100107,太古糖霜,,罐,,1.00,0.33,0.67,210.000,69.30,140.70
15100109,铁塔淡奶油,1L,罐,,29.00,9.00,20.00,45.000,405.00,900.00
15100112,金钻忌廉,,盒,,7.00,4.00,3.00,19.000,76.00,57.00
15100113,盒装三花淡奶,,盒,,12.00,0.50,11.50,17.500,8.75,201.25
15110051,雪菜,,斤,,2.00,1.00,1.00,3.000,3.00,3.00
15130018,百利鱼胶片,,盒,,1.50,1.00,0.50,170.000,170.00,85.00
15130019,黄原胶,,罐,,1.00,1.00, ,480.000,480.00, 
15130020,卡拉胶,,罐,,1.00,1.00, ,460.000,460.00, 
15130029,卡码黑朱古力,,块,,1.00,0.50,0.50,335.000,167.50,167.50
15130030,飞鹰黑朱古力,,块,,1.00,0.50,0.50,175.000,87.50,87.50
15130032,铁塔忌廉芝士,,盒,,2.50,1.00,1.50,150.000,149.00,223.50
15130033,朱古力转印纸,,盒,,1.00,1.00, ,165.000,165.00, 
15130034,卡码白朱古力,,块,,1.00,0.50,0.50,335.000,167.50,167.50
15130036,朱古力装饰件,,盒,,1.00,1.00, ,45.000,45.00, 
15130039,马苏里拉芝士,,块,,1.00, ,1.00,290.000, ,290.00
15130046,云石石头朱古力,,盒,,2.00,2.00, ,16.400,32.80, 
1634,日本绿茶,,包,,0.50,0.01,0.49,110.778,1.11,54.28
,食品,,,,,,,,"11,532.08","18,801.04"
合计,,,,,,,,,"15,444.77","36,514.48"
