物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07020020,明虾,,斤,,20.00, ,20.00,34.000, ,680.00
09010001,三黄鸡,,斤,,194.80, ,194.80,10.000, ,"1,948.00"
09020002,光鸭,,斤,,232.20, ,232.20,9.000, ,"2,089.80"
09040009,无皮花肉,,斤,,275.80,15.00,260.80,12.000,180.00,"3,129.60"
09040069,枚肉(瘦肉),,斤,,8.00, ,8.00,13.000, ,104.00
17020003,福食冻猪手,,斤,,71.40,20.00,51.40,14.000,280.00,719.60
17030001,福食鲩鱼,,斤,,122.50, ,122.50,7.000, ,857.50
17030003,福食咸鱼,,斤,,20.00,5.00,15.00,18.000,90.00,270.00
17030004,福食鸡翼,,斤,,46.00, ,46.00,12.500, ,575.00
17030016,福食猪手,,斤,,51.40, ,51.40,14.000, ,719.60
17070006,福食腊肠,,斤,,16.00, ,16.00,16.500, ,264.00
17070007,福食腊肉,,斤,,16.00, ,16.00,32.500, ,520.00
,肉类,,,,,,,,550.00,"11,877.10"
10010016,厨上厨猫牙米,,包,,22.00,2.00,20.00,125.000,250.00,"2,500.00"
10020007,优质河粉,,斤,,60.00, ,60.00,1.700, ,102.00
10050074,米线,,斤,,60.00, ,60.00,2.100, ,126.00
17050009,福食虾子面,,斤,,74.00,8.00,66.00,4.000,32.00,264.00
,粮油,,,,,,,,282.00,"2,992.00"
11010044,福食云南小瓜,,斤,,85.00, ,85.00,2.267, ,193.00
11040003,元椒,,斤,,60.00, ,60.00,2.800, ,168.00
17010001,福食生菜,,斤,,322.00, ,322.00,2.500, ,805.00
17010002,福食白萝卜,,斤,,128.00, ,128.00,1.300, ,166.40
17010005,福食油麦菜,,斤,,363.00, ,363.00,2.300, ,834.90
17010006,福食大白菜,,斤,,178.00,20.00,158.00,1.500,30.00,237.00
17010008,福食西洋菜,,斤,,281.00, ,281.00,3.000, ,843.00
17010009,福食本地菜心,,斤,,360.00, ,360.00,3.500, ,"1,260.00"
17010010,福食青尖椒,,斤,,80.00, ,80.00,3.000, ,240.00
17010013,福食椰菜,,斤,,112.00, ,112.00,1.500, ,168.00
17010015,福食青瓜,,斤,,100.00, ,100.00,2.200, ,220.00
17010016,福食鲜冬菇,,斤,,38.00, ,38.00,7.500, ,285.00
17010018,福食小塘菜,,斤,,80.00, ,80.00,2.000, ,160.00
17010020,福食肉姜,,斤,,9.00, ,9.00,6.500, ,58.50
17010021,福食葱肉,,斤,,9.00, ,9.00,4.500, ,40.50
17010025,福食小白菜,,斤,,326.00, ,326.00,2.000, ,652.00
17010029,福食红萝卜,,斤,,5.00, ,5.00,2.000, ,10.00
17010038,福食奶白菜,,斤,,35.00, ,35.00,2.500, ,87.50
17010043,福食玉米,,斤,,4.00, ,4.00,3.200, ,12.80
17010048,福食大豆芽,,斤,,61.00, ,61.00,1.000, ,61.00
17010056,福食凉瓜,,斤,,105.00, ,105.00,2.500, ,262.50
17010057,福食鲜木耳,,斤,,20.00, ,20.00,2.500, ,50.00
17010061,福食海带丝,,斤,,3.00, ,3.00,2.800, ,8.40
17010063,福食干水小塘菜,,斤,,36.00, ,36.00,2.000, ,72.00
17010069,福食粉芋头,,斤,,120.00, ,120.00,3.500, ,420.00
17010070,福食水东芥菜,,斤,,281.00, ,281.00,2.500, ,702.50
17010071,福食红洋葱,,斤,,45.00, ,45.00,2.000, ,90.00
17010078,福食上海青,,斤,,40.00, ,40.00,2.000, ,80.00
,蔬菜,,,,,,,,30.00,"8,188.00"
15040015,6k罐庄海天柱候酱,6.5kg,桶,,1.00, ,1.00,53.000, ,53.00
15040050,腐乳,335克,瓶,,51.00,16.00,35.00,5.150,84.71,185.29
15090006,绿豆,,斤,,22.00,2.00,20.00,6.500,13.00,130.00
15090107,红衣花生,,斤,,24.00, ,24.00,8.000, ,192.00
17010068,福食香脆片,,斤,,56.50,10.00,46.50,2.800,28.00,130.20
17040001,福食鸡蛋,,斤,,480.80, ,480.80,6.300, ,"3,029.04"
17040006,福食鸡腿,,斤,,89.00,10.00,79.00,9.000,90.00,711.00
17060001,福食苹果,,斤,,110.00, ,110.00,5.000, ,550.00
17070002,福食榨菜丝,,斤,,2.00, ,2.00,2.500, ,5.00
,食品,,,,,,,,215.71,"4,985.53"
合计,,,,,,,,,"1,077.71","28,042.63"
