物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
02010009,80-90克岩手大网鲍,,只,,7.50,7.50, ,"1,409.000","10,567.50", 
02010010,90-100克岩手大网鲍,,只,,1.00,1.00, ,"2,213.000","2,213.00", 
02010011,120-150克岩手大网鲍,,只,,13.00,12.00,1.00,"5,009.000","60,016.62","5,001.38"
02020002,26-30头吉品鲍,,斤,,0.18,0.14,0.04,"4,250.000",595.00,170.00
02020009,21-25头吉品鲍,,斤,,3.00,2.00,1.00,"4,750.000","9,500.00","4,750.00"
02020010,16头-20头吉品鲍,,斤,,2.00,0.67,1.33,"6,000.000","4,020.00","7,980.00"
02030005,10-13头南非网鲍,,斤,,1.03,1.00,0.03,"1,333.330","1,333.33",40.00
02030008,25头南非吉品鲍,,斤,,0.86,0.45,0.41,"1,872.710",842.72,767.81
合计,,,,,,,,,"89,088.17","18,709.19"
0403,冬虫草1500支,,斤,,0.124668,0.096575,0.028093,"80,000.000","7,726.00","2,247.44"
合计,,,,,,,,,"7,726.00","2,247.44"
0102,燕盏,,斤,,1.38,0.90,0.48,"2,880.000","2,592.00","1,382.40"
合计,,,,,,,,,"2,592.00","1,382.40"
03050002,11寸牙勾翅,,斤,,1.30,1.30, ,900.000,"1,170.00", 
03050003,12寸牙勾翅,,斤,,1.36, ,1.36,"1,013.311", ,"1,378.10"
0308,23寸鬼春翅,,斤,,4.15,1.95,2.20,"1,666.660","3,249.99","3,666.65"
合计,,,,,,,,,"4,419.99","5,044.75"
,食品,,,,,,,,"103,826.16","27,383.78"
07010112,大鱼,,斤,,20.80,10.70,10.10,125.000,"1,337.50","1,262.50"
合计,肉类,,,,,,,,"1,337.50","1,262.50"
