物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07010001,大苏眉,,斤,,45.30,8.30,37.00,369.000,"3,036.74","13,537.26"
07010005,大龙趸,,斤,,161.50, ,161.50,38.364, ,"6,254.90"
07010006,老虎斑,,斤,,21.00,14.40,6.60,70.333,"1,022.13",468.47
07010008,大东星斑,,斤,,31.50,10.50,21.00,146.000,"1,646.67","3,293.33"
07010009,细东星斑,,斤,,42.60,2.90,39.70,177.000,534.05,"7,310.95"
07010013,老鼠斑,,斤,,2.20, ,2.20,210.000, ,462.00
07010017,金钱斑,,斤,,2.40, ,2.40,130.000, ,312.00
07010018,红星斑,,斤,,3.60, ,3.60,160.000, ,576.00
07010022,红斑,,斤,,22.10,7.40,14.70,152.000,"1,124.73","2,234.27"
07010051,黄丁,,斤,,30.00,0.70,29.30,84.000,58.76,"2,459.74"
07010086,金雕鱼,,斤,,2.30,1.80,0.50,35.000,63.00,17.50
07010108,珍珠龙趸,,斤,,6.40, ,6.40,44.000, ,281.60
07010113,大泰星,,斤,,7.40, ,7.40,130.000, ,962.00
07010139,红玫瑰鱼,,斤,,44.80,0.30,44.50,228.571,69.22,"10,267.28"
07010142,蓝东星,,斤,,26.80,5.30,21.50,87.600,464.82,"1,885.58"
07020001,波斯龙虾,,斤,,30.20,25.80,4.40,92.333,"2,394.36",408.34
07020003,花龙虾,,斤,,87.10,25.10,62.00,316.618,"8,036.49","19,851.08"
07020004,蓝龙虾,,斤,,7.50,3.50,4.00,130.000,455.00,520.00
07020009,富贵虾,,斤,,6.20, ,6.20,180.000, ,"1,116.00"
07020010,斑马富贵虾,,斤,,24.00, ,24.00,145.000, ,"3,480.00"
07020024,青龙虾仔,,斤,,46.50,33.00,13.50,169.000,"5,693.03","2,328.97"
07020033,细青龙,,斤,,2.40, ,2.40,140.000, ,336.00
07030002,大红蟹,,斤,,2.30, ,2.30,130.000, ,299.00
07040001,象拨蚌,,斤,,35.10,2.50,32.60,175.625,437.29,"5,702.21"
07050007,圣子王,,斤,,6.00, ,6.00,70.000, ,420.00
07050052,加拿大生蚝,,只,,15.00, ,15.00,23.000, ,345.00
07060002,大连鲍(5只/斤),,斤,,88.13,20.80,67.33,139.000,"2,891.20","9,358.87"
07060020,南非鲜鲍（6头）,,斤,,2.80, ,2.80,165.000, ,462.00
07060021,南非鲜鲍（5头）,,只,,23.60, ,23.60,160.000, ,"3,776.00"
09120203,6头大虾,,盒,,1.00,1.00, ,160.000,160.00, 
09120225,特大九节虾,1KG 7只/盒,盒,,10.14,2.14,8.00,210.000,449.40,"1,680.00"
09120281,九节虾,,斤,,35.00,1.60,33.40,80.286,127.68,"2,665.32"
合计,海鲜,,,,,,,,"28,664.57","103,071.67"
