物资编码,品名,规格,单位,批次,帐存数量,实存数量,实耗数量,单价,实存金额,实耗金额
07050016,海螺,,斤,,5.00,9.00,-4.00,48.000,432.00,-192.00
09030005,鹅肝,,斤,,6.00,7.30,-1.30,140.000,"1,022.00",-182.00
09030015,鹅亦,,斤,,3.00, ,3.00,24.000, ,72.00
09120001,冻三文鱼,,斤,,12.50,4.00,8.50,40.000,160.00,340.00
09120095,三文鱼籽,,斤,,0.20,1.00,-0.80,190.000,190.00,-152.00
09120122,鸭利,,斤,,64.00,15.00,49.00,28.000,420.00,"1,372.00"
,肉类,,,,,,,,"2,224.00","1,258.00"
11010004,青瓜,,斤,,2.00, ,2.00,2.500, ,5.00
11010032,水果青瓜,,斤,,31.00,2.30,28.70,5.500,12.65,157.85
11020021,杏鲍菇,,斤,,5.00, ,5.00,6.500, ,32.50
11030028,甜蜜豆,,斤,,7.00, ,7.00,9.143, ,64.00
11030052,毛豆,,斤,,7.50,1.00,6.50,4.917,4.90,31.85
11050002,莴笋头,,斤,,17.00, ,17.00,3.527, ,59.98
11060027,韭菜,,斤,,5.10, ,5.10,3.333, ,17.35
11060040,香芹,,斤,,9.00, ,9.00,4.167, ,37.50
11060055,薄荷叶,,斤,,12.50,0.20,12.30,10.000,2.00,123.00
11060060,莲藕,,斤,,37.00,5.00,32.00,4.300,21.50,137.60
11060063,紫心番薯,,斤,,19.70,3.20,16.50,3.583,11.50,59.30
11060065,红洋葱,,斤,,64.00, ,64.00,2.300, ,147.20
11060075,红萝卜,,斤,,20.00, ,20.00,2.000, ,40.00
11060076,白萝卜,,斤,,9.00, ,9.00,1.600, ,14.40
11060081,九芽生菜,,斤,,0.50, ,0.50,8.000, ,4.00
11060181,万年青,,斤,,21.50,6.00,15.50,28.000,168.00,434.00
11070049,生花生,,斤,,10.00,5.00,5.00,9.500,47.50,47.50
11070081,广西老淮山,,斤,,26.00, ,26.00,6.000, ,156.00
,蔬菜,,,,,,,,268.05,"1,569.03"
09120209,海蜇丝,,斤,,38.00,8.00,30.00,12.500,100.00,375.00
09120239,红珊蚌,,盒,,15.50,3.00,12.50,62.857,184.84,770.16
10010008,红谷米,,斤,,7.20,3.90,3.30,7.000,27.30,23.10
10010017,糯米(斤),,斤,,4.60,1.80,2.80,4.600,8.17,12.71
10030023,春卷皮,,包,,10.00, ,10.00,18.000, ,180.00
10030055,越南春卷皮/干,,包,,3.00,4.50,-1.50,18.000,81.00,-27.00
11030046,进口厚腐皮,,斤,,0.70,2.00,-1.30,26.500,53.00,-34.45
11060137,意大利黑醋,,支,,1.00, ,1.00,26.000, ,26.00
11060138,素鲍鱼,,只,,42.00,6.00,36.00,8.500,51.00,306.00
12030019,长城干红,750ml,支,,2.00, ,2.00,24.000, ,48.00
13020007,苹果醋,,支,,9.50,2.50,7.00,5.200,13.00,36.40
13020017,葡萄汁,,支,,2.00, ,2.00,36.000, ,72.00
14020013,红富士苹果,,斤,,1.00, ,1.00,7.500, ,7.50
14030002,新奇士橙,,斤,,19.20,3.50,15.70,9.250,31.61,141.79
14060002,草莓,,合,,27.00,1.00,26.00,8.091,7.15,185.85
14070001,红提子,,斤,,1.00,1.00, ,15.000,15.00, 
14070004,进口红提,,斤,,4.10, ,4.10,13.000, ,54.30
14090010,番茄仔,,斤,,12.50,0.60,11.90,3.583,2.11,41.89
15010011,芥茉油,60毫升,支,,9.00,5.00,4.00,3.800,19.00,15.20
15010051,日本蚝油,,支,,1.00,1.00, ,120.000,120.00, 
15030002,冰糖,9.6千克,件,,1.00,0.50,0.50,65.000,32.50,32.50
15030016,双桥麦芽糖,,桶,,1.00,1.00, ,3.000,3.00, 
15040010,卡夫奇妙酱,700ml,瓶,,1.50, ,1.50,21.000, ,31.50
15040036,味可美草莓酱,,瓶,,2.00, ,2.00,8.900, ,17.80
15040039,排骨酱,,瓶,,5.00,5.00, ,22.000,110.00, 
15040145,李锦记XO酱,,瓶,,1.00, ,1.00,42.000, ,42.00
15040148,丘比蓝莓酱,,瓶,,7.00, ,7.00,17.500, ,122.50
15050016,宁化府陈醋,330ml,支,,24.00,5.00,19.00,10.750,53.75,204.25
15050019,宝鼎上海白醋,,支,,2.50,0.70,1.80,3.600,2.52,6.48
15060010,李锦记旧装蚝油,510克,瓶,,3.00, ,3.00,29.500, ,88.50
15060016,泰国鱼露,725毫升,瓶,,2.00,1.20,0.80,8.000,9.60,6.40
15060031,香槽卤,,瓶,,16.00,10.50,5.50,6.000,63.00,33.00
15060033,家乐浓缩鸡汁,1kg,瓶,,9.00,0.50,8.50,51.000,25.50,433.50
15060042,家乐辣鲜露,400毫升,支,,2.50,3.00,-0.50,15.000,45.00,-7.50
15060062,东古一品鲜酱油,500ML,支,,4.50,4.00,0.50,7.500,30.00,3.75
15060063,丘比焙煎芝麻汁,1.5L,支,,4.20,1.00,3.20,58.000,58.00,185.60
15060069,家乐麻辣鲜露,400ml,支,,3.00, ,3.00,15.000, ,45.00
15060093,苹果汁,,合,,2.00, ,2.00,18.000, ,36.00
15070023,鱼胶粉,500克,盒,,4.60,1.00,3.60,52.000,52.00,187.20
15080016,冬菇,,斤,,1.90,1.00,0.90,52.000,52.00,46.80
15080113,靓老鼠耳,,斤,,10.70,0.80,9.90,105.000,84.00,"1,039.50"
15080120,椰丝,,斤,,1.00,0.90,0.10,12.000,10.80,1.20
15080127,小米椒,,斤,,5.00, ,5.00,4.000, ,20.00
15080139,山楂干,,斤,,0.50,0.40,0.10,15.000,6.00,1.50
15080178,小米辣椒,,斤,,16.00,2.00,14.00,4.000,8.00,56.00
15090005,红豆,,斤,,10.00, ,10.00,6.500, ,65.00
15090009,黑豆,,斤,,14.20,5.00,9.20,8.667,43.52,80.08
15090028,白芝麻,,斤,,0.20,1.00,-0.80,11.500,11.50,-9.20
15090042,大红枣,,斤,,1.30, ,1.30,35.000, ,45.50
15090107,红衣花生,,斤,,24.00,4.60,19.40,8.000,36.80,155.20
15090119,白云豆,,斤,,8.00, ,8.00,10.000, ,80.00
15090146,九制话梅,,包,,22.00,5.00,17.00,5.167,26.14,88.86
15100004,三花淡奶,410克,罐,,2.00, ,2.00,7.000, ,14.00
15100005,保利奶,1kg,罐,,22.00,5.00,17.00,16.000,80.00,272.00
15100071,桂花糖,300g,支,,3.30,1.50,1.80,5.000,7.50,9.00
15120102,虫草花,,斤,,1.80,0.70,1.10,80.000,56.00,88.00
15120165,小茴香,,斤,,0.40,0.40, ,11.000,4.40, 
1601,铁观音,,斤,,3.50,2.00,1.50,24.500,48.29,36.21
1611,红茶,,斤,,0.50,0.50, ,17.000,8.50, 
Y1090017,高山芷扬,,扎,,0.50, ,0.50,12.000, ,6.00
Y1090023,跳舞兰,,扎,,7.00,1.00,6.00,40.000,40.00,240.00
Y1090046,小紫菊,,扎,,1.00, ,1.00,8.000, ,8.00
,食品,,,,,,,,"1,721.50","6,046.58"
合计,,,,,,,,,"4,213.55","8,873.61"
